case_id,state_id,state_label,method_label,eta,TerminalLOH_total_kg,local_hydrogen_preparation_cost_yuan,nominal_expected_outage_loss_yuan,nominal_total_economic_cost_yuan,robust_training_objective_yuan,worst_expected_outage_loss_yuan,secondary_expected_service_distance
1,1,a0=2|loc0=1|lfw0=0,SAA,0.0,0.0,0.0,3975.4633333333336,3975.4633333333336,3975.463333333359,3975.4633333333354,0.0
2,1,a0=2|loc0=1|lfw0=0,ETA_0.03,0.03,112.16669662640508,3647.814364645052,1907.5451555713796,5555.359520216431,9479.82128404,5832.006919394948,11.277783764707577
3,2,a0=2|loc0=2|lfw0=0,SAA,0.0,0.0,0.0,4046.793333333334,4046.793333333334,4046.793333333349,4046.7933333333344,0.0
4,2,a0=2|loc0=2|lfw0=0,ETA_0.03,0.03,110.4657213304822,3592.4963219015776,1939.9315117631068,5532.427833664684,9527.90493469442,5935.408612792842,11.412546424485736
5,3,a0=2|loc0=3|lfw0=0,SAA,0.0,0.0,0.0,3556.7466666666664,3556.7466666666664,3556.7466666666705,3556.746666666668,0.0
6,3,a0=2|loc0=3|lfw0=0,ETA_0.03,0.03,79.48533710376347,2584.9718605112807,2160.3111589031946,4745.283019414475,9234.803729198382,6649.8318686871,13.390054234876407
7,4,a0=2|loc0=4|lfw0=0,SAA,0.0,0.0,0.0,3585.003333333334,3585.003333333334,3585.0033333333336,3585.003333333335,0.0
8,4,a0=2|loc0=4|lfw0=0,ETA_0.03,0.03,67.64313058466331,2199.84711003969,2314.036630492512,4513.883740532202,9256.41023044928,7056.563120409592,6.804444232326071
9,5,a0=2|loc0=5|lfw0=0,SAA,0.0,0.0,0.0,2250.15,2250.15,2250.150000000046,2250.1500000000005,0.0
10,5,a0=2|loc0=5|lfw0=0,ETA_0.03,0.03,30.275751947491138,984.6088560701172,1742.7200429295997,2727.328898999717,6455.236423962286,5470.627567892168,6.560533206187898
11,6,a0=2|loc0=6|lfw0=0,SAA,0.0,0.0,0.0,1982.4,1982.4,1982.4000000000028,1982.4,0.0
12,6,a0=2|loc0=6|lfw0=0,ETA_0.03,0.03,0.7136787584260904,23.20980919496814,1972.2041361832385,1995.4139453782063,6113.017596524447,6089.807787329478,0.0282445724963139
13,7,a0=2|loc0=7|lfw0=0,SAA,0.0,0.0,0.0,1331.4233333333334,1331.4233333333334,1331.4233333333611,1331.4233333333336,0.0
14,7,a0=2|loc0=7|lfw0=0,ETA_0.03,0.03,0.0,0.0,1331.4233333333334,1331.4233333333334,4595.024421429684,4595.024421429684,0.0
15,8,a0=3|loc0=1|lfw0=0,SAA,0.0,371.4916946240078,12081.41793200298,3099.7400000000007,15181.15793200298,15181.157932003149,3099.74,244.5226642124337
16,8,a0=3|loc0=1|lfw0=0,ETA_0.03,0.03,405.3132655874157,13181.341671453984,2169.0174441281574,15350.35911558214,18587.281052517315,5405.939381063332,244.2486764516266
17,9,a0=3|loc0=2|lfw0=0,SAA,0.0,382.1291220031094,12427.3616172806,3036.2966666666666,15463.658283947269,15463.658283947609,3036.2966666666675,251.75011512423944
18,9,a0=3|loc0=2|lfw0=0,ETA_0.03,0.03,405.31327492578464,13181.34197515051,2373.6992333315984,15555.041208482107,18879.79037642845,5698.448401277934,255.13042766021388
19,10,a0=3|loc0=3|lfw0=0,SAA,0.0,372.30995826855406,12108.028984716644,3148.390000000001,15256.418984716644,15256.418984717156,3148.3900000000017,245.1320292489125
20,10,a0=3|loc0=3|lfw0=0,ETA_0.03,0.03,405.31325864695617,13181.341445740749,2239.883483792085,15421.224929532833,18618.176238770968,5436.83479303022,243.6605917492257
21,11,a0=3|loc0=4|lfw0=0,SAA,0.0,355.1264217330823,11549.19687772972,3000.620000000002,14549.816877729723,14549.816877730304,3000.6200000000017,219.86913895089288
22,11,a0=3|loc0=4|lfw0=0,ETA_0.03,0.03,396.0404522859202,12879.77710211902,2030.1411984607992,14909.91830057982,17976.76872301696,5096.991620897942,213.4440614374113
23,12,a0=3|loc0=5|lfw0=0,SAA,0.0,325.6689305294164,10591.198980037852,3040.286666666672,13631.485646704525,13631.485646703684,3040.2866666666728,196.2946093254404
24,12,a0=3|loc0=5|lfw0=0,ETA_0.03,0.03,382.364473540397,12435.01557112145,1638.865936957604,14073.881508079054,16642.12344775301,4207.107876631557,202.28875537128795
25,13,a0=3|loc0=6|lfw0=0,SAA,0.0,240.56951149660424,7823.649497816912,4005.609999999997,11829.259497816907,11829.259497815056,4005.609999999997,115.1619763102532
26,13,a0=3|loc0=6|lfw0=0,ETA_0.03,0.03,355.1264523448013,11549.197873264686,1260.2096481269457,12809.407521391631,15001.986577414254,3452.7887041495683,122.33131572512164
27,14,a0=3|loc0=7|lfw0=0,SAA,0.0,185.7458473120039,6040.70896600149,3768.6366666666663,9809.345632668155,9809.345632666502,3768.6366666666663,87.96240430212626
28,14,a0=3|loc0=7|lfw0=0,ETA_0.03,0.03,299.4844692243058,9739.644490585324,1369.9936797069363,11109.63817029226,13479.703530273053,3740.059039687725,102.71639577365904
29,15,a0=4|loc0=1|lfw0=0,SAA,0.0,576.8758694051223,18760.792163132384,9355.664383333333,28116.45654646572,28116.45654647176,9355.664383333333,1262.3650619082557
30,15,a0=4|loc0=1|lfw0=0,ETA_0.03,0.03,586.1473778788315,19062.314297683355,9088.115032195812,28150.429329879167,33170.22922706489,14107.91492938154,1264.133925230411
31,16,a0=4|loc0=2|lfw0=0,SAA,0.0,571.9662875378446,18601.1258468504,10363.969233333331,28965.09508018373,28965.09508018931,10363.969233333337,1286.507507609106
32,16,a0=4|loc0=2|lfw0=0,ETA_0.03,0.03,585.059146032685,19026.92350986637,9982.689925161874,29009.613435028245,34309.682863999355,15282.759354133026,1288.7142205816658
33,17,a0=4|loc0=3|lfw0=0,SAA,0.0,562.1471238032893,18281.79321428645,10203.84155,28485.63476428645,28485.6347642938,10203.84155,1244.237714213352
34,17,a0=4|loc0=3|lfw0=0,ETA_0.03,0.03,578.5123562242716,18814.012952421814,9722.829565357575,28536.84251777939,33806.56673770881,14992.553785286997,1245.10016127812
35,18,a0=4|loc0=4|lfw0=0,SAA,0.0,546.3273600087281,17767.312861822298,9293.66795,27060.9808118223,27060.98081182758,9293.667950000005,1099.9916397296406
36,18,a0=4|loc0=4|lfw0=0,ETA_0.03,0.03,571.9662875037765,18601.125845742463,8576.33513400655,27177.46097974901,32242.98503214752,13641.859186405054,1101.3752912512125
