case_id,state_id,state_label,intensity,loc,lfw,method_label,eta,mean_shortage_kg,mean_EENS_kWh,service_rate,aggregate_service_rate,probability_positive_shortage,shortage_q95_kg,shortage_q99_kg,shortage_q99_5_kg,shortage_CVaR95_kg,shortage_CVaR99_kg,shortage_CVaR99_5_kg,max_shortage_kg,EENS_q95_kWh,EENS_q99_kWh,EENS_q99_5_kWh,EENS_CVaR95_kWh,EENS_CVaR99_kWh,EENS_CVaR99_5_kWh,max_EENS_kWh
1,1,a0=2|loc0=1|lfw0=0,2,1,0,SAA,0.0,3.0980734437080075,56.79233333333333,0.9815333333333334,0.0,0.0184666666666666,0.0,125.19433761557973,224.2042386056788,3.0980734437080075,258.4358375632868,333.93303911264803,607.9698878978803,0.0,2294.999999999999,4110.0,56.79233333333333,4737.516556291391,6121.493506493507,11144.999999999993
2,1,a0=2|loc0=1|lfw0=0,2,1,0,ETA_0.03,0.03,1.48654747727088,27.25064507959113,0.9948039033265084,0.5201703560998644,0.0112666666666666,0.0,14.664168278267196,112.03754197927364,1.48654747727088,146.85386743799907,223.21014249291352,495.80319127147584,0.0,268.8162007930551,2053.8162007930546,27.25064507959113,2692.05167093968,4091.776727108844,9088.81620079306
3,2,a0=2|loc0=2|lfw0=0,2,2,0,SAA,0.0,3.153660820627518,57.81133333333334,0.9803333333333332,0.0,0.0196666666666666,0.0,121.92128303739466,226.65902953931752,3.153660820627518,258.888927170229,342.8847669455942,532.6896325996237,0.0,2235.0,4154.999999999999,57.81133333333334,4745.8223684210525,6285.592105263159,9765.0
4,2,a0=2|loc0=2|lfw0=0,2,2,0,ETA_0.03,0.03,1.5117861228432767,27.713307310901524,0.9948284334698912,0.5206250104783112,0.0113333333333333,0.0,11.45556170691244,116.19330820883532,1.5117861228432767,147.73657247718432,232.41904674932644,422.2239112691416,0.0,209.99762943026536,2129.9976294302646,27.713307310901524,2708.232978365504,4260.589755485277,7739.997629430268
5,3,a0=2|loc0=3|lfw0=0,2,3,0,SAA,0.0,2.771768085899499,50.810666666666656,0.983,0.0,0.017,0.0,93.82756457463928,220.11292038294735,2.771768085899499,244.1028416567147,340.574789474225,607.9698878978803,0.0,1719.9999999999998,4035.0,50.810666666666656,4474.771241830065,6243.246753246754,11144.999999999993
6,3,a0=2|loc0=3|lfw0=0,2,3,0,ETA_0.03,0.03,1.683527697369629,30.86158798433135,0.9939441484649792,0.3926159602118054,0.0111333333333333,0.0,14.342227470875804,140.62758327918388,1.683527697369629,164.6175045529512,261.0894523704614,528.4845507941169,0.0,262.9145428823598,2577.914542882359,30.86158798433135,3017.6857847124247,4786.161296129113,9687.914542882352
7,4,a0=2|loc0=4|lfw0=0,2,4,0,SAA,0.0,2.793788469756067,51.214333333333336,0.9819333333333332,0.0,0.0180666666666666,0.0,94.37307367100344,214.3850748711235,2.793788469756067,245.12324802618735,342.5868902679742,607.9698878978803,0.0,1729.9999999999995,3930.0,51.214333333333336,4493.476821192054,6280.131578947368,11144.999999999993
8,4,a0=2|loc0=4|lfw0=0,2,4,0,ETA_0.03,0.03,1.803325758933695,33.05766614989303,0.9932598607814136,0.3545231579071024,0.011,0.0,26.72994308634016,146.74194428646018,1.803325758933695,177.55959563537957,274.943759713311,540.3267573132174,0.0,489.99995168724456,2689.9999516872444,33.05766614989303,3254.93372738996,5040.13153118456,9904.999951687245
9,5,a0=2|loc0=5|lfw0=0,2,5,0,SAA,0.0,1.7535389902626628,32.145,0.9857333333333334,0.0,0.0142666666666666,0.0,45.82276409459127,129.83116493467526,1.7535389902626628,163.9905110318377,241.31599762847097,423.58781332678734,0.0,839.9999999999998,2379.999999999999,32.145,3006.1920529801328,4423.684210526315,7765.000000000002
10,5,a0=2|loc0=5|lfw0=0,2,5,0,ETA_0.03,0.03,1.3580994797632489,24.896000613279995,0.9922576040564416,0.2255093914051953,0.0116,0.0,15.547012147100132,99.55541298718413,1.3580994797632489,133.71475908434658,211.04024568097984,393.3120613792962,0.0,285.00005317456606,1825.0000531745657,24.896000613279995,2451.192106154699,3868.6842637008817,7210.000053174568
11,6,a0=2|loc0=6|lfw0=0,2,6,0,SAA,0.0,1.5448817609033632,28.32,0.9888666666666668,0.0,0.0111333333333333,0.0,22.91138204729564,123.83056487466932,1.5448817609033632,152.09949652400522,235.83219565975745,576.8758694051222,0.0,420.0,2270.0000000000005,28.32,2788.2119205298013,4323.1578947368425,10574.999999999996
12,6,a0=2|loc0=6|lfw0=0,2,6,0,ETA_0.03,0.03,1.536936137392886,28.17434480261769,0.9890390292359242,0.0051431919979629,0.0111333333333333,0.0,22.197703288869548,123.1168861162432,1.536936137392886,149.69708424300774,235.11851690133133,576.1621906466962,0.0,406.9171978399121,2256.917197839912,28.17434480261769,2744.1720998006963,4310.075092576755,10561.91719783991
13,7,a0=2|loc0=7|lfw0=0,2,7,0,SAA,0.0,1.0375764849212197,19.020333333333333,0.9912,0.0,0.0088,0.0,0.0,61.64252788915254,1.0375764849212197,1.0375764849212197,181.7765508608277,405.3132585985873,0.0,0.0,1129.9999999999998,19.020333333333333,19.020333333333333,3332.236842105264,7430.000000000003
14,7,a0=2|loc0=7|lfw0=0,2,7,0,ETA_0.03,0.03,1.0375764849212197,19.020333333333333,0.9912,0.0,0.0088,0.0,0.0,61.64252788915254,1.0375764849212197,1.0375764849212197,181.7765508608277,405.3132585985873,0.0,0.0,1129.9999999999998,19.020333333333333,19.020333333333333,3332.236842105264,7430.000000000003
15,8,a0=3|loc0=1|lfw0=0,3,1,0,SAA,0.0,2.415623380519871,44.28200000000001,0.9942109849605928,0.9408763733806158,0.0432666666666666,0.0,58.369473310967486,141.5596105065052,2.415623380519871,151.48895985323998,210.14661274739916,388.6752311594797,0.0,1070.0000000000005,2595.0,44.28200000000001,2777.019867549669,3852.302631578947,7125.000000000002
16,8,a0=3|loc0=1|lfw0=0,3,1,0,ETA_0.03,0.03,1.6903124942064265,30.985963487545103,0.9958766886049518,0.958628730958866,0.0328666666666666,0.0,48.27755502823008,112.64762141037478,1.6903124942064265,127.03159347522012,180.2337078707733,371.3458037897876,0.0,884.9999999999997,2064.9998718842853,30.985963487545103,2328.679655790997,3303.95421583308,6807.32560217249
17,9,a0=3|loc0=2|lfw0=0,3,2,0,SAA,0.0,2.36618207275273,43.37566666666666,0.9943546164512296,0.9445036775211044,0.045,0.0,68.7341461418869,150.56051059651415,2.36618207275273,151.5232799619516,200.2305493707265,274.6638300193656,0.0,1259.9999999999995,2759.999999999999,43.37566666666666,2777.649006622516,3670.526315789473,5035.0
18,9,a0=3|loc0=2|lfw0=0,3,2,0,ETA_0.03,0.03,1.849820748307245,33.90998904759426,0.9955416197758096,0.9566143916149352,0.0329333333333333,0.0,58.09671876278536,130.64941225202406,1.849820748307245,134.53848983908208,181.07673470537296,258.84488521699257,0.0,1064.9999999999998,2394.999700697979,33.90998904759426,2466.292326485133,3319.4081622515446,4745.015013355299
19,10,a0=3|loc0=3|lfw0=0,3,3,0,SAA,0.0,2.453536262717181,44.97700000000001,0.9940189638484966,0.9381469243759728,0.045,0.0,66.82486430461226,145.1054196328724,2.453536262717181,151.28665184399233,205.1473089892721,267.84496631481335,0.0,1224.9999999999995,2660.0000000000005,44.97700000000001,2773.311258278145,3760.657894736841,4910.0
20,10,a0=3|loc0=3|lfw0=0,3,3,0,ETA_0.03,0.03,1.7455383074349655,31.99833548274407,0.995645685723593,0.9559953873211384,0.0331333333333333,0.0,52.36887325096145,125.73984666357488,1.7455383074349655,127.5542185291758,176.0362837072608,267.84496631481335,0.0,959.9999999999998,2304.9999991133222,31.99833548274407,2338.2601569675858,3227.009134779651,4910.0
21,11,a0=3|loc0=4|lfw0=0,3,4,0,SAA,0.0,2.338379292474704,42.86600000000003,0.9943722442087924,0.9335375818260186,0.0382,0.0,58.91498240733164,131.74044677194993,2.338379292474704,146.4350980552601,206.0122280170601,307.12162125303445,0.0,1079.9999999999998,2415.0,42.86600000000003,2684.3750000000005,3776.5131578947367,5630.000000000001
22,11,a0=3|loc0=4|lfw0=0,3,4,0,ETA_0.03,0.03,1.582086415234354,29.00201712086856,0.9961420274917532,0.9550332620310704,0.0336666666666666,0.0,45.82276409459127,97.91888279737064,1.582086415234354,111.3331600206556,173.0344445451309,298.93898739120766,0.0,839.9999999999998,1794.9999999999998,29.00201712086856,2040.903822918648,3171.9809201790667,5480.000047361923
23,12,a0=3|loc0=5|lfw0=0,3,5,0,SAA,0.0,2.3692914746020097,43.43266666666674,0.993982327607959,0.9153346121057118,0.0364666666666666,0.0,79.64432806917075,106.37427379101548,2.3692914746020097,129.0733412184195,185.64894766988672,303.3030575784851,0.0,1460.0000000000036,1950.0,43.43266666666674,2366.107954545457,3403.223684210528,5559.999999999999
24,12,a0=3|loc0=5|lfw0=0,3,5,0,ETA_0.03,0.03,1.2771661090454012,23.41237052796577,0.9966742965949472,0.95436113910555,0.0284666666666666,0.0,36.04091332728096,70.64345664268,1.2771661090454012,96.59242195888432,142.06562635580323,303.30303988872106,0.0,660.6840026590509,1295.000525445288,23.41237052796577,1770.683983139288,2604.276029541407,5559.99967572009
25,13,a0=3|loc0=6|lfw0=0,3,6,0,SAA,0.0,3.121566702124756,57.22299999999996,0.9916606803938812,0.8408518236278988,0.0315333333333333,0.0,144.01440144014384,164.74374710198288,3.121566702124756,187.90078887479348,216.15975056773672,367.4003764012768,0.0,2639.999999999997,3019.999999999998,57.22299999999996,3444.5033112582764,3962.5324675324655,6735.000000000005
26,13,a0=3|loc0=6|lfw0=0,3,6,0,ETA_0.03,0.03,0.9820797519702196,18.00299497324208,0.9973753142345216,0.9499302060495328,0.0204666666666666,0.0,39.27662432650213,53.45989144368981,0.9820797519702196,81.83898666151774,114.16211114448885,252.84343555307936,0.0,719.9994388412738,979.9999999999995,18.00299497324208,1500.2313839856122,2092.762740445197,4634.999438841274
27,14,a0=3|loc0=7|lfw0=0,3,7,0,SAA,0.0,2.936893689368937,53.83766666666666,0.9912180753504144,0.7714782539797078,0.0283333333333333,0.0,146.46919237378287,195.56501104655925,2.936893689368937,201.59769987693957,230.8041808965584,422.2240405858769,0.0,2685.0000000000005,3585.0000000000005,53.83766666666666,3695.588235294117,4230.986842105261,7740.000000000003
28,14,a0=3|loc0=7|lfw0=0,3,7,0,ETA_0.03,0.03,1.0676343060593876,19.571338281527662,0.997068401683146,0.9169266301279436,0.0174666666666666,0.0,45.822788774221365,85.09944371244244,1.0676343060593876,94.26543131693202,123.39274898421472,308.485418673575,0.0,840.0004524146389,1560.0004524146384,19.571338281527662,1728.0267541863393,2261.974178004132,5655.00045241464
29,15,a0=4|loc0=1|lfw0=0,4,1,0,SAA,0.0,7.290857176626753,133.65234833333332,0.9805846550431948,0.9609346100023374,0.1994666666666666,45.82276409459127,111.011101110111,151.65152878924252,79.06736609911889,167.47599805134033,207.3664184600278,391.4027766413005,839.9999999999998,2035.0,2779.999999999999,1449.4234216459977,3070.086258278145,3801.337499999999,7175.0
30,15,a0=4|loc0=1|lfw0=0,4,1,0,ETA_0.03,0.03,7.082356312666965,129.83021474565444,0.9809440760053806,0.9620517855782834,0.1986666666666666,45.82276409459127,110.19283746556474,150.5605105965142,78.75605492491017,166.3669120224849,206.65194385178023,391.4027766413005,839.9999999999998,2020.0,2760.0,1443.7166208559906,3049.755047740182,3788.240108718909,7175.0
31,16,a0=4|loc0=2|lfw0=0,4,2,0,SAA,0.0,8.076627844602642,148.05670333333333,0.9794205655647172,0.9573742181308612,0.2056,45.82276409459127,123.28505577830512,161.47069252379782,80.65837698488464,174.29424760657886,207.3548263917301,333.03330333033307,839.9999999999998,2260.0,2959.9999999999995,1478.5890376984123,3195.0750000000003,3801.125000000001,6105.0
32,16,a0=4|loc0=2|lfw0=0,4,2,0,ETA_0.03,0.03,7.779497371941252,142.60985607374104,0.9799376348065258,0.958942374910897,0.2038666666666666,45.82276409459127,120.5575102964842,159.28865613834114,80.06433007147388,171.90385895593087,205.2442650826908,333.03330333033307,839.9999999999998,2210.0,2920.0000000000005,1467.6992667052232,3151.2555904506467,3762.435245363346,6105.0
33,17,a0=4|loc0=3|lfw0=0,4,3,0,SAA,0.0,7.951840547691132,145.769165,0.9799098195856736,0.956698721242968,0.2011333333333333,45.82276409459127,121.10301939284838,159.2886561383411,78.15120783757705,177.03947697599384,215.27909968030292,333.03330333033296,839.9999999999998,2220.0,2920.0,1432.6288664745434,3245.399172185431,3946.388815789473,6104.999999999998
34,17,a0=4|loc0=3|lfw0=0,4,3,0,ETA_0.03,0.03,7.576988529001661,138.89756521939395,0.9805637630251692,0.9587399558045214,0.1990666666666666,45.82276409459127,117.5572102664812,156.56111065652016,79.46289542169525,173.95343853202513,212.79985729427167,333.03330333033296,839.9999999999998,2155.0,2869.999999999999,1456.6740674228065,3188.8274584498186,3900.940583989941,6104.999999999998
35,18,a0=4|loc0=4|lfw0=0,4,4,0,SAA,0.0,7.242543436161799,132.766685,0.9818720340539044,0.9554238965261532,0.1794666666666666,50.7323459618689,119.99699969997,159.8341652347053,92.16801658376713,176.1092213977569,212.27958920293943,409.9500859176828,929.9999999999995,2199.725,2930.0,1689.577996005327,3228.3461920529803,3891.403289473684,7515.000000000002
36,18,a0=4|loc0=4|lfw0=0,4,4,0,ETA_0.03,0.03,6.683526898668997,122.5190733429507,0.9828554205771328,0.9588645081342868,0.1764,45.82276409459127,113.4658920437498,153.2880560783351,84.06117116602007,170.51854430559732,208.20235846433832,409.9500859176828,839.9999999999998,2079.9999999999995,2809.9999999999995,1540.9673592298968,3125.860694938057,3816.6615341890174,7515.000000000002
37,19,a0=4|loc0=5|lfw0=0,4,5,0,SAA,0.0,6.1871641709625465,113.41999999999992,0.9844634243083488,0.9530432723371522,0.1467333333333333,45.82276409459127,113.7386465919319,157.37937430106643,91.89880026963732,170.21509495922498,207.7492438239039,343.1252216130705,839.9999999999998,2084.9999999999995,2884.999999999999,1684.6428571428564,3120.2980132450325,3808.355263157894,6290.000000000002
