"iteration","lower_bound","forward_completed","backward_completed","cuts_available_before_forward","cumulative_added_cut_rows_before_forward"
"1","7.561914","True","True","False","0"
"2","795.751084","True","True","True","1261"
"3","2402.123909","True","True","True","2522"
"4","3209.646202","True","True","True","3783"
"5","3213.126634","True","True","True","5044"
"6","3214.515033","True","True","True","6305"
"7","3358.152826","True","True","True","7566"
"8","4998.102331","True","True","True","8827"
"9","5215.673104","True","True","True","10088"
"10","5247.414335","True","True","True","11349"
"11","5247.414335","True","True","True","12610"
"12","5696.363945","True","True","True","13871"
"13","5847.826767","True","True","True","15132"
"14","5969.636351","True","True","True","16393"
"15","6020.688888","True","True","True","17654"
"16","6100.185518","True","True","True","18915"
"17","6241.218244","True","True","True","20176"
"18","6320.225139","True","True","True","21437"
"19","6341.320245","True","True","True","22698"
"20","6647.851192","True","True","True","23959"
"21","6706.193834","True","True","True","25220"
"22","6751.057557","True","True","True","26481"
"23","6805.708935","True","True","True","27742"
"24","6882.74898","True","True","True","29003"
"25","7022.029068","True","True","True","30264"
"26","7039.708061","True","True","True","31525"
"27","7066.840548","True","True","True","32786"
"28","7069.709494","True","True","True","34047"
"29","7101.933808","True","True","True","35308"
"30","7108.41609","True","True","True","36569"
"31","7110.153843","True","True","True","37830"
"32","7132.692443","True","True","True","39091"
"33","7155.359956","True","True","True","40352"
"34","7183.653312","True","True","True","41613"
"35","7190.588724","True","True","True","42874"
"36","7190.614455","True","True","True","44135"
"37","7199.936465","True","True","True","45396"
"38","7206.535597","True","True","True","46657"
"39","7210.721203","True","True","True","47918"
"40","7214.713375","True","True","True","49179"
"41","7233.261288","True","True","True","50440"
"42","7235.255677","True","True","True","51701"
"43","7247.140001","True","True","True","52962"
"44","7351.301104","True","True","True","54223"
"45","7463.456125","True","True","True","55484"
"46","7485.640062","True","True","True","56745"
"47","7517.806773","True","True","True","58006"
"48","7542.798653","True","True","True","59267"
"49","7600.578536","True","True","True","60528"
"50","7614.034072","True","True","True","61789"
"51","7623.737991","True","True","True","63050"
"52","7662.512477","True","True","True","64311"
"53","7666.47519","True","True","True","65572"
"54","7674.556991","True","True","True","66833"
"55","7675.197328","True","True","True","68094"
"56","7680.671401","True","True","True","69355"
"57","7694.132939","True","True","True","70616"
"58","7721.824157","True","True","True","71877"
"59","7738.424862","True","True","True","73138"
"60","7743.208676","True","True","True","74399"
"61","7750.247535","True","True","True","75660"
"62","7756.89268","True","True","True","76921"
"63","7768.565037","True","True","True","78182"
"64","7770.490234","True","True","True","79443"
"65","7966.740814","True","True","True","80704"
"66","7984.110628","True","True","True","81965"
"67","8002.262685","True","True","True","83226"
"68","8049.39261","True","True","True","84487"
"69","8075.215317","True","True","True","85748"
"70","8075.604584","True","True","True","87009"
"71","8075.604584","True","True","True","88270"
"72","8095.958897","True","True","True","89531"
"73","8330.997397","True","True","True","90792"
"74","8356.772857","True","True","True","92053"
"75","8425.742244","True","True","True","93314"
"76","8428.165905","True","True","True","94575"
"77","8452.984703","True","True","True","95836"
"78","8483.680802","True","True","True","97097"
"79","8521.037542","True","True","True","98358"
"80","8523.104194","True","True","True","99619"
"81","8557.374963","True","True","True","100880"
"82","8560.601705","True","True","True","102141"
"83","8560.682972","True","True","True","103402"
"84","8562.155001","True","True","True","104663"
"85","8564.9319","True","True","True","105924"
"86","8566.127974","True","True","True","107185"
"87","8566.944422","True","True","True","108446"
"88","8572.170092","True","True","True","109707"
"89","8578.718696","True","True","True","110968"
"90","8582.619373","True","True","True","112229"
"91","8584.480654","True","True","True","113490"
"92","8584.735157","True","True","True","114751"
"93","8588.914807","True","True","True","116012"
"94","8668.317299","True","True","True","117273"
"95","8692.845181","True","True","True","118534"
"96","8718.328274","True","True","True","119795"
"97","8723.273212","True","True","True","121056"
"98","8723.278254","True","True","True","122317"
"99","8732.13091","True","True","True","123578"
"100","8737.889259","True","True","True","124839"
"101","8775.247203","True","True","True","126100"
"102","8790.298376","True","True","True","127361"
"103","8794.715212","True","True","True","128622"
"104","8806.176098","True","True","True","129883"
"105","8816.541498","True","True","True","131144"
"106","8825.888286","True","True","True","132405"
"107","8827.605932","True","True","True","133666"
"108","8842.51778","True","True","True","134927"
"109","8935.300635","True","True","True","136188"
"110","8979.281045","True","True","True","137449"
"111","8979.411483","True","True","True","138710"
"112","8995.279636","True","True","True","139971"
"113","9002.33498","True","True","True","141232"
"114","9002.344831","True","True","True","142493"
"115","9008.760412","True","True","True","143754"
"116","9010.621593","True","True","True","145015"
"117","9010.621593","True","True","True","146276"
"118","9052.162615","True","True","True","147537"
"119","9309.78727","True","True","True","148798"
"120","9320.240394","True","True","True","150059"
"121","9341.039125","True","True","True","151320"
"122","9392.505296","True","True","True","152581"
"123","9404.904721","True","True","True","153842"
"124","9412.237037","True","True","True","155103"
"125","9413.947268","True","True","True","156364"
"126","9421.598493","True","True","True","157625"
"127","9429.165422","True","True","True","158886"
"128","9434.886771","True","True","True","160147"
"129","9437.136314","True","True","True","161408"
"130","9437.962766","True","True","True","162669"
"131","9444.01632","True","True","True","163930"
"132","9447.737272","True","True","True","165191"
"133","9453.109441","True","True","True","166452"
"134","9459.140047","True","True","True","167713"
"135","9463.513862","True","True","True","168974"
"136","9463.543839","True","True","True","170235"
"137","9464.424255","True","True","True","171496"
"138","9492.122329","True","True","True","172757"
"139","9519.853856","True","True","True","174018"
"140","9526.712347","True","True","True","175279"
"141","9533.238006","True","True","True","176540"
"142","9533.246878","True","True","True","177801"
"143","9545.751387","True","True","True","179062"
"144","9555.228355","True","True","True","180323"
"145","9557.058899","True","True","True","181584"
"146","9568.442932","True","True","True","182845"
"147","9582.543317","True","True","True","184106"
"148","9590.830244","True","True","True","185367"
"149","9592.918138","True","True","True","186628"
"150","9598.346463","True","True","True","187889"
"151","9603.856101","True","True","True","189150"
"152","9604.242756","True","True","True","190411"
"153","9606.512459","True","True","True","191672"
"154","9609.282984","True","True","True","192933"
"155","9610.34969","True","True","True","194194"
"156","9610.467891","True","True","True","195455"
"157","9611.75197","True","True","True","196716"
"158","9612.107286","True","True","True","197977"
"159","9612.319132","True","True","True","199238"
"160","9616.097526","True","True","True","200499"
"161","9618.670982","True","True","True","201760"
"162","9618.821435","True","False","True","203021"
