remaining_gap_rank,state_id,terminal_state_k,intensity,loc,site,arrival_count,arrival_frequency_full_oos,T_saa_kg,T_dro_kg,delta_T_kg_per_path,positive_delta_T_mass_kg,saa_surplus_total_kg,new_target_covered_by_saa_surplus_kg,covered_share_of_positive_delta_T,uncovered_new_target_increment_kg,preexisting_saa_gap_kg,required_extra_total_kg,mean_actual_extra_kg,positive_actual_extra_total_kg,required_extra_realized_kg,effective_realization_ratio,unrealized_required_extra_kg,remaining_gap_total_kg,remaining_gap_C_D_total_kg,A_count,A_dro_falls_below_target_count,B_count,C_count,D_count,share_of_C_D_remaining_gap,cumulative_share_of_C_D_remaining_gap
1,17,191,4,3,2,78,0.0078,138.028802880288,141.285253689067,3.25645080877899,254.003163084761,51.478892695836,17.860897332672,0.0703176177641211,236.142265752089,2371.03334476531,2607.1756105174,-1.02597457801033,212.841594928146,212.841594928146,0.0816368464285791,2394.33401558925,2654.15895723987,2651.34211896631,5,4,0,34,39,0.0562806160837986,0.0562806160837986
2,12,151,3,5,1,117,0.0117,202.383874751111,234.531627132872,32.147752381761,3761.28702866604,1219.87034090323,1149.35105868767,0.305573876688505,2611.93596997837,1140.15976753175,3752.09573751012,10.2897269492353,1303.35149680722,1252.98305100701,0.333942185558008,2499.1126865031,2586.29323419273,2586.29323419273,11,0,22,61,23,0.0548998092522577,0.111180425336056
3,17,191,4,3,4,78,0.0078,150,150,0,0,0,0,,0,2223.03720382405,2223.03720382405,-1.81967541476258,205.866162949924,205.866162949924,0.0926058109130133,2017.17104087413,2364.97188617553,2306.42837842657,11,5,6,31,30,0.0489590570611129,0.160139482397169
4,16,183,4,2,4,78,0.0078,150,150,0,0,0,0,,0,1907.2370551239,1907.2370551239,-2.69753434883243,144.985509055664,144.985509055664,0.0760186095724979,1762.25154606824,2117.64473433283,2075.54963917125,9,6,12,18,39,0.0440581438243837,0.204197626221553
5,16,183,4,2,2,78,0.0078,136.665030139378,136.921371377604,0.256341238226014,19.9946165816291,120.744441620509,4.35780104984224,0.217948717948718,15.6368155317869,1875.25998710607,1890.89680263786,-3.18354736646881,135.777388810207,129.797763811257,0.0686434942563683,1761.0990388266,2073.3996516465,2073.3996516465,17,0,0,21,40,0.0440125055713645,0.248210131792917
6,18,199,4,4,4,55,0.0055,150,150,0,0,0,0,,0,1617.20151474208,1617.20151474208,-1.6249455092818,155.517019760741,155.517019760741,0.0961642802972167,1461.68449498134,1706.57351775258,1692.57322958904,4,2,4,19,28,0.0359286202436052,0.284138752036523
7,9,127,3,2,4,133,0.0133,101.191937375556,110.194137130854,9.00219975529801,1197.29256745463,1506.51157986475,413.546899303255,0.345401709276813,783.74566815138,1352.93564992565,2136.68131807703,2.11536095391591,634.99317580413,562.580540698693,0.263296419517069,1574.10077737833,1668.36637725976,1668.36637725976,45,0,14,48,26,0.0354147761218694,0.319553528158392
8,18,199,4,4,1,55,0.0055,243.569811526607,252.702273520957,9.13246199435,502.28540968925,110.851207851872,40.979522181611,0.0815861289042098,461.305887507639,1206.38110367962,1667.68699118726,1.81866504729858,219.984228590547,217.638489656922,0.130503200424908,1450.04850153034,1553.83357008849,1553.83357008849,4,0,0,29,22,0.0329835633020319,0.352537091460424
9,16,183,4,2,1,78,0.0078,242.493794834029,245.768350802666,3.274555968637,255.415365553686,404.172409851623,49.666344433764,0.194453236304315,205.749021119922,1339.68808500024,1545.43710612016,1.6626219362527,248.557454704005,226.58290977387,0.14661412546429,1318.85419634629,1388.39004268476,1388.15038368102,15,1,1,42,20,0.0294665702519705,0.382003661712394
10,17,191,4,3,1,78,0.0078,241.38777514115,242.495486475516,1.107711334366,86.4014840805481,303.124241292022,24.756538886934,0.286529093225467,61.6449451936141,1200.09912775634,1261.74407294995,-0.145167070023803,217.290133333625,203.749915687773,0.161482760296553,1057.99415726218,1207.59585449735,1187.44227473014,21,8,1,28,28,0.0252060955497569,0.407209757262151
