selected_pair_id,focal_state_id,focal_site,selection_reason,method,stage,observed_site,constraint_type,path_count,eligible_count,binding_count,binding_rate,mean_slack,min_slack,max_slack
1,17,2,top8_C_D_remaining_gap,saa,1,1,tank_capacity,73,73,0,0,211.975618987629,211.975618987629,211.975618987629
1,17,2,top8_C_D_remaining_gap,saa,1,1,electrolyzer_capacity,73,73,73,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,1,1,ordinary_shortage_positive,73,73,0,0,-0,-0,-0
1,17,2,top8_C_D_remaining_gap,saa,1,2,tank_capacity,73,73,0,0,132.117949017897,132.117949017897,132.117949017897
1,17,2,top8_C_D_remaining_gap,saa,1,2,electrolyzer_capacity,73,73,73,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,1,2,ordinary_shortage_positive,73,73,0,0,-0,-0,-0
1,17,2,top8_C_D_remaining_gap,saa,1,3,tank_capacity,73,73,0,0,62.2836633343864,62.2836633343863,62.2836633343863
1,17,2,top8_C_D_remaining_gap,saa,1,3,electrolyzer_capacity,73,73,73,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,1,3,ordinary_shortage_positive,73,73,0,0,-0,-0,-0
1,17,2,top8_C_D_remaining_gap,saa,1,4,tank_capacity,73,73,0,0,102.294487987409,102.294487987409,102.294487987409
1,17,2,top8_C_D_remaining_gap,saa,1,4,electrolyzer_capacity,73,73,73,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,1,4,ordinary_shortage_positive,73,73,0,0,-0,-0,-0
1,17,2,top8_C_D_remaining_gap,saa,1,0,htt_aggregate_capacity,73,73,0,0,160,160,160
1,17,2,top8_C_D_remaining_gap,saa,2,1,tank_capacity,73,73,0,0,180.834284722419,116.849606747006,196.965327856959
1,17,2,top8_C_D_remaining_gap,saa,2,1,electrolyzer_capacity,73,73,73,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,2,1,ordinary_shortage_positive,73,73,21,0.287671232876712,-5.7792313185743,-20.0897088693297,-0
1,17,2,top8_C_D_remaining_gap,saa,2,2,tank_capacity,73,73,0,0,121.916135757558,108.717949017897,140.664230299026
1,17,2,top8_C_D_remaining_gap,saa,2,2,electrolyzer_capacity,73,73,73,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,2,2,ordinary_shortage_positive,73,73,21,0.287671232876712,-3.52531268612269,-12.2546583850932,-0
1,17,2,top8_C_D_remaining_gap,saa,2,3,tank_capacity,73,73,0,0,61.5455376620019,50.1199056163834,84.2293977434022
1,17,2,top8_C_D_remaining_gap,saa,2,3,electrolyzer_capacity,73,73,73,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,2,3,ordinary_shortage_positive,73,73,21,0.287671232876712,-2.04030133916713,-7.09247608377144,-0
1,17,2,top8_C_D_remaining_gap,saa,2,4,tank_capacity,73,73,0,0,89.7548751096584,65.396641923623,95.1008238121963
1,17,2,top8_C_D_remaining_gap,saa,2,4,electrolyzer_capacity,73,73,73,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,2,4,ordinary_shortage_positive,73,73,21,0.287671232876712,-2.97921989480176,-10.3563358247871,-0
1,17,2,top8_C_D_remaining_gap,saa,2,0,htt_aggregate_capacity,73,73,0,0,140.013096688757,76.8489533763079,157.028571428571
1,17,2,top8_C_D_remaining_gap,saa,3,1,tank_capacity,73,73,0,0,127.831901079107,82.68411366613,183.519017768942
1,17,2,top8_C_D_remaining_gap,saa,3,1,electrolyzer_capacity,73,73,73,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,3,1,ordinary_shortage_positive,73,73,47,0.643835616438356,-13.9414167926471,-21.6536899119838,-0
1,17,2,top8_C_D_remaining_gap,saa,3,2,tank_capacity,73,73,0,0,114.248710753505,94.3890952285023,123.083014286898
1,17,2,top8_C_D_remaining_gap,saa,3,2,electrolyzer_capacity,73,73,69,0.945205479452055,2.82868412786333,0,95.1764891608895
1,17,2,top8_C_D_remaining_gap,saa,3,2,ordinary_shortage_positive,73,73,47,0.643835616438356,-8.93771802943929,-13.8819875776397,-0
1,17,2,top8_C_D_remaining_gap,saa,3,3,tank_capacity,73,73,0,0,72.152663246638,49.7206847943536,84.6809310587046
1,17,2,top8_C_D_remaining_gap,saa,3,3,electrolyzer_capacity,73,73,70,0.958904109589041,2.71669369030368,0,120
1,17,2,top8_C_D_remaining_gap,saa,3,3,ordinary_shortage_positive,73,73,47,0.643835616438356,-5.42402236549593,-8.42454537619581,-0
1,17,2,top8_C_D_remaining_gap,saa,3,4,tank_capacity,73,73,0,0,70.5131922756727,26.3016510041991,90.128609315412
1,17,2,top8_C_D_remaining_gap,saa,3,4,electrolyzer_capacity,73,73,73,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,3,4,ordinary_shortage_positive,73,73,47,0.643835616438356,-8.09802628289231,-12.5777855032157,-0
1,17,2,top8_C_D_remaining_gap,saa,3,0,htt_aggregate_capacity,73,73,0,0,108.215240242743,66.1182017134594,154.057142857143
1,17,2,top8_C_D_remaining_gap,saa,4,1,tank_capacity,73,73,0,0,89.7737708900298,56.3512964275061,139.965835257573
