selected_pair_id,state_id,site,remaining_gap_rank,selection_reason,terminal_state_k,arrival_count,required_extra_total_kg,required_extra_realized_kg,effective_realization_ratio,remaining_gap_C_D_total_kg,C_count,D_count,first_material_inventory_divergence_stage,first_material_production_divergence_stage,first_material_shortage_divergence_stage,all_site_final_inventory_delta_kg,all_site_cumulative_production_delta_kg,all_site_cumulative_normal_served_delta_kg,all_site_cumulative_normal_shortage_delta_kg,all_site_cumulative_htt_flow_delta_kg,focal_site_final_inventory_delta_kg,focal_site_cumulative_production_delta_kg,focal_site_cumulative_normal_shortage_delta_kg,focal_site_cumulative_net_htt_inflow_delta_kg,saa_tank_binding_rate,dro_tank_binding_rate,saa_electrolyzer_binding_rate,dro_electrolyzer_binding_rate,saa_htt_binding_rate,dro_htt_binding_rate,saa_ordinary_shortage_positive_rate,dro_ordinary_shortage_positive_rate
1,17,2,1,top8_C_D_remaining_gap,191,78,2607.1756105174,212.841594928146,0.0816368464285791,2651.34211896631,34,39,3,3,4,3.86166354936614,3.28849011572862,-0.57317343363745,0.57317343363745,-5.42233465326372,-0.605020663684002,1.82932067599819,0.196325106391544,-2.6306664460735,0.0184075342465753,0.0124143835616438,0.978193146417445,0.987538940809969,0,0,0.492990654205608,0.497663551401869
2,12,1,2,top8_C_D_remaining_gap,151,117,3752.09573751012,1252.98305100701,0.333942185558008,2586.29323419273,61,23,3,3,4,16.2574056839811,15.5240900370599,-0.733315646921284,0.733315646921277,10.6675121159323,10.345923968002,0.854343681093724,0.131046854192931,9.3605334327154,0,0,0.863636363636364,0.925219941348974,0,0,0.168621700879765,0.175953079178886
3,17,4,3,top8_C_D_remaining_gap,191,78,2223.03720382405,205.866162949924,0.0926058109130133,2306.42837842657,31,30,3,3,4,4.29308298336468,3.93540620406878,-0.35767677929465,0.35767677929465,-4.47239635188147,-1.641533423132,0.523674538931004,0.0830218494048047,-2.24822981146838,0,0.000512295081967213,0.973076923076923,0.984615384615385,0,0,0.459615384615385,0.464423076923077
4,16,4,4,top8_C_D_remaining_gap,183,78,1907.2370551239,144.985509055664,0.0760186095724979,2075.54963917125,18,39,3,3,4,2.13687181692677,1.60109876397746,-0.535773052950233,0.535773052950248,-4.74757583583896,-3.329372487047,0.246663940373395,0,-3.57603642741982,0,0,0.987124463519313,0.993562231759657,0,0,0.534334763948498,0.536480686695279
5,16,2,5,top8_C_D_remaining_gap,183,78,1890.89680263786,129.797763811257,0.0686434942563683,2073.3996516465,21,40,3,3,4,1.77433301768184,1.49610868109335,-0.278224336587868,0.278224336587883,-5.53085707080108,-2.99184998374801,0.6287652592341,0,-3.62061524298239,0.0122950819672131,0.00409836065573771,0.988142292490119,0.994071146245059,0,0,0.528656126482213,0.529644268774704
6,18,4,6,top8_C_D_remaining_gap,199,55,1617.20151474208,155.517019760741,0.0961642802972167,1692.57322958904,19,28,3,3,4,3.52674370107326,2.74006332135218,-0.786680379720522,0.786680379720536,-3.91005525522633,-1.835790072053,0.229810061413104,0.309662673683672,-2.37526280715007,0,0,0.976010101010101,0.983585858585859,0,0,0.46969696969697,0.474747474747475
7,9,4,7,top8_C_D_remaining_gap,127,133,2136.68131807703,562.580540698693,0.263296419517069,1668.36637725976,48,26,3,3,,15.0913491559557,15.0913491559563,0,0,6.44615791831077,4.6615096702083,1.29662134955694,0,3.36488832065137,0,0,0.877147766323024,0.929553264604811,0,0,0.134020618556701,0.134020618556701
8,18,1,8,top8_C_D_remaining_gap,199,55,1667.68699118726,217.638489656922,0.130503200424908,1553.83357008849,29,22,3,3,4,3.59370419049083,2.52515639418738,-1.06854779630379,1.06854779630379,-3.82436913386994,2.23242002154402,0.0720471661348938,0.548331302239102,1.61204155317044,0.00735294117647059,0.00490196078431373,0.978211009174312,0.985091743119266,0,0,0.474770642201835,0.485091743119266
9,19,4,17,priority_state19_largest_gap_site,207,44,903.940745044065,117.042686031245,0.129480484946543,846.539133375201,16,10,3,3,4,6.45355034269977,5.45029008237299,-1.00326026032599,1.003260260326,1.08482199392327,2.16032594305601,1.8379439815116,0.120872419046949,0.201509542497419,0,0,0.95,0.968181818181818,0,0,0.384090909090909,0.395454545454545
10,14,1,18,priority_state14_site1,167,188,2271.09180942765,1485.72817803548,0.654191156811891,820.466448125798,36,6,3,3,,16.7186635546531,16.7186635546538,0,0,19.0079571098736,18.978383602396,0.550870652450598,0,18.4275129499461,0,0,0.865646258503401,0.959183673469388,0,0,0.054421768707483,0.054421768707483
11,13,2,59,priority_state13_largest_gap_site,159,89,364.086696653401,223.087747170681,0.612732487128068,201.314837803653,6,6,3,3,,14.7676743527944,14.7676743527953,0,0,23.0801086030936,-3.4211080799671,7.65612990870484,0,-11.0772379886719,0,0,0.8625,0.95,0,0,0.075,0.075
