selected_pair_id,focal_state_id,focal_site,selection_reason,method,path_count,C_count,D_count,stage,observed_site,active_decision_count,active_decision_rate,terminal_event_count,terminal_event_rate,mean_start_inventory_kg,mean_end_inventory_kg,mean_production_kg,mean_electrolyzer_power_kw,mean_normal_served_kg,mean_normal_shortage_kg,mean_htt_inflow_kg,mean_htt_outflow_kg,mean_net_htt_inflow_kg,mean_total_htt_flow_kg,mean_htt_capacity_kg,mean_beta,mean_terminal_target_kg,mean_terminal_gap_kg
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,1,1,73,1,0,0,58.0445570448695,88.0243810123711,35.1,300,5.12017603249831,0,0,0,0,0,160,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,1,2,73,1,0,0,50.3081379386248,67.882050982103,23.4,200,5.82608695652174,0,0,0,0,0,160,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,1,3,73,1,0,0,25.2621334423093,37.7163366656137,14.04,120,1.58579677669568,0,0,0,0,0,160,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,1,4,73,1,0,0,33.0235808462428,47.7055120125908,17.55,150,2.86806883365201,0,0,0,0,0,160,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,2,1,73,1,0,0,88.0243810123711,119.165715277581,35.1,300,14.3104775507554,5.7792313185743,10.3518118159657,0,10.3518118159657,12.7185406237018,152.731637312459,0.0454272667971298,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,2,2,73,1,0,0,67.882050982103,78.083864242442,23.4,200,8.72934569897047,3.52531268612269,0,4.46884104069054,-4.46884104069054,12.7185406237018,152.731637312459,0.0454272667971298,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,2,3,73,1,0,0,37.7163366656137,38.4544623379981,14.04,120,5.05217474460431,2.04030133916713,0,8.24969958301126,-8.24969958301126,12.7185406237018,152.731637312459,0.0454272667971298,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,2,4,73,1,0,0,47.7055120125908,60.2451248903416,17.55,150,7.37711592998531,2.97921989480176,2.36672880773612,0,2.36672880773612,12.7185406237018,152.731637312459,0.0454272667971298,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,3,1,73,1,0,0,119.165715277581,172.168098920893,35.1,300,7.71227311933668,13.9414167926471,25.7515603556578,0.136903593009663,25.6146567626481,31.9924570827629,140.207697325506,0.12370189171559,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,3,2,73,1,0,0,78.083864242442,85.751289246495,23.06904395704,197.171315872137,4.94426954820046,8.93771802943929,0,10.4573494047866,-10.4573494047866,31.9924570827629,140.207697325506,0.12370189171559,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,3,3,73,1,0,0,38.4544623379981,27.847336753362,13.7221468382345,117.283306309696,3.00052301069988,5.42402236549593,0,21.3287494121707,-21.3287494121707,31.9924570827629,140.207697325506,0.12370189171559,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,3,4,73,1,0,0,60.2451248903416,79.4868077243273,17.55,150,4.47975922032341,8.09802628289231,6.24089672710508,0.0694546727959941,6.17144205430909,31.9924570827629,140.207697325506,0.12370189171559,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,4,1,65,0.89041095890411,8,0.10958904109589,172.168098920893,210.22622910997,31.2534246575343,267.123287671233,1.11457879262852,6.13018335945688,9.34987678313955,1.43059245896797,7.91928432417158,22.4428020371679,123.179647749511,0.230127201565558,26.4534548099891,3.82412345641057
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,4,2,65,0.89041095890411,8,0.10958904109589,85.751289246495,95.2620860281259,17.9506965912655,153.424757190303,0.553050285033608,3.04177656768484,1.52772759523187,9.41457711983286,-7.88684952460099,22.4428020371679,123.179647749511,0.230127201565558,15.1264441512644,6.01608365546085
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,4,3,65,0.89041095890411,8,0.10958904109589,27.847336753362,26.170675186944,10.8361217395937,92.6164251247323,0.956482718695722,4.29443255002906,0.036056514850663,11.5923571021667,-11.556300587316,22.4428020371679,123.179647749511,0.230127201565558,3.58690912677818,0.78135494667751
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,4,4,65,0.89041095890411,8,0.10958904109589,79.4868077243273,105.624752344152,15.1891212756878,129.821549364853,0.575042443608933,3.16273343984913,11.5291411439458,0.00527535620037273,11.5238657877454,22.4428020371679,123.179647749511,0.230127201565558,16.4383561643836,6.17071940492325
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,5,1,33,0.452054794520548,32,0.438356164383562,210.22622910997,225.836361071036,15.8671232876712,135.616438356164,0.0701393977054563,2.2444607265746,1.90072364792929,2.08757557682968,-0.186851928900392,9.18243969844182,105.452315720809,0.340923026744945,105.813819239956,8.58445048876745
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,5,2,33,0.452054794520548,32,0.438356164383562,95.2620860281259,104.083583161337,10.5780821917808,90.4109589041096,0.0798094103633115,2.55390113162597,1.41395506935129,3.09073071755769,-1.6767756482064,9.18243969844182,105.452315720809,0.340923026744945,60.5057766050577,16.8698204268043
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,5,3,33,0.452054794520548,32,0.438356164383562,26.170675186944,29.1865344900935,6.34684931506849,54.2465753424658,0.0217232435163792,0.695143792524135,0,3.30926676840262,-3.30926676840262,9.18243969844182,105.452315720809,0.340923026744945,14.3476365071127,2.34754925338638
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,5,4,33,0.452054794520548,32,0.438356164383562,105.624752344152,118.691919719337,7.93356164383562,67.8082191780822,0.0392886141596165,1.25723565310773,5.86776098116124,0.69486663565183,5.17289434550941,9.18243969844182,105.452315720809,0.340923026744945,65.7534246575343,16.2399281899421
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,6,1,4,0.0547945205479452,29,0.397260273972603,225.836361071036,227.156874503752,1.92328767123288,16.4383561643836,0.216921857908028,0.883884107534696,0.0859080559118353,0.471760436520216,-0.385852380608381,0.879463911928743,85.4815394651011,0.465740378343118,95.8937736862105,3.96625982766074
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,6,2,4,0.0547945205479452,29,0.397260273972603,104.083583161337,105.570519298418,1.28219178082192,10.958904109589,0.167872032672509,0.503616098017527,0.374170154402416,0.00155376547108863,0.372616388931328,0.879463911928743,85.4815394651011,0.465740378343118,54.8333600483336,9.38628730931768
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,6,3,4,0.0547945205479452,29,0.397260273972603,29.1865344900935,29.5632251201663,0.769315068493151,6.57534246575342,0.0923299375837521,0.296298888924272,0.0107504593300591,0.311044960166633,-0.300294500836574,0.879463911928743,85.4815394651011,0.465740378343118,13.0025455845709,1.08743890686896
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,6,4,4,0.0547945205479452,29,0.397260273972603,118.691919719337,119.791864382597,0.961643835616438,8.21917808219178,0.17522966486974,0.392240791282976,0.408635242284432,0.0951047497708057,0.313530492513627,0.879463911928743,85.4815394651011,0.465740378343118,59.5890410958904,7.64237746360367
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,7,1,0,0,4,0.0547945205479452,227.156874503752,227.156874503752,0,0,0,0,0,0,0,0,75.7176777560339,0.526764514024788,13.2267274049945,0.064880306015573
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,7,2,0,0,4,0.0547945205479452,105.570519298418,105.570519298418,0,0,0,0,0,0,0,0,75.7176777560339,0.526764514024788,7.56322207563221,0.207717440818583
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,7,3,0,0,4,0.0547945205479452,29.5632251201663,29.5632251201663,0,0,0,0,0,0,0,0,75.7176777560339,0.526764514024788,1.79345456338909,0.079125400162126
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,7,4,0,0,4,0.0547945205479452,119.791864382597,119.791864382597,0,0,0,0,0,0,0,0,75.7176777560339,0.526764514024788,8.21917808219178,0.155110558933701
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,8,1,0,0,0,0,227.156874503752,227.156874503752,0,0,0,0,0,0,0,0,67.6127853881279,0.577420091324201,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,8,2,0,0,0,0,105.570519298418,105.570519298418,0,0,0,0,0,0,0,0,67.6127853881279,0.577420091324201,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,8,3,0,0,0,0,29.5632251201663,29.5632251201663,0,0,0,0,0,0,0,0,67.6127853881279,0.577420091324201,0,0
1,17,2,top8_C_D_remaining_gap,saa,73,34,39,8,4,0,0,0,0,119.791864382597,119.791864382597,0,0,0,0,0,0,0,0,67.6127853881279,0.577420091324201,0,0
2,12,1,top8_C_D_remaining_gap,saa,84,61,23,1,1,84,1,0,0,58.0445570448695,88.0243810123712,35.1,300,5.12017603249831,0,0,0,0,0,160,0,0,0
