method,path_count,stage,site,active_decision_count,active_decision_rate,mean_start_inventory_kg,mean_end_inventory_kg,mean_production_kg,mean_normal_served_kg,mean_normal_shortage_kg,mean_htt_inflow_kg,mean_htt_outflow_kg,mean_net_htt_inflow_kg,mean_total_htt_flow_kg,mean_htt_capacity_kg,tank_binding_rate,electrolyzer_binding_rate,htt_binding_rate
saa,1023,1,1,1023,1,58.0445570448697,88.0243810123717,35.1000000000002,5.12017603249833,0,0,0,0,0,160,0,1,0
saa,1023,1,2,1023,1,50.3081379386245,67.8820509821033,23.3999999999999,5.82608695652175,0,0,0,0,0,160,0,1,0
saa,1023,1,3,1023,1,25.2621334423093,37.7163366656134,14.04,1.58579677669569,0,0,0,0,0,160,0,1,0
saa,1023,1,4,1023,1,33.0235808462428,47.7055120125909,17.5500000000001,2.86806883365201,0,0,0,0,0,160,0,1,0
saa,1023,2,1,1023,1,88.0243810123717,107.013772556995,35.1000000000002,19.5202058808541,0.569502988475622,3.40959742547838,0,3.40959742547838,3.70947551990154,154.361942000652,0,1,0
saa,1023,2,2,1023,1,67.8820509821033,78.9579915657227,23.3999999999999,11.907263377109,0.347395007984068,0,0.416796039271477,-0.416796039271477,3.70947551990154,154.361942000652,0,1,0
saa,1023,2,3,1023,1,37.7163366656134,41.572238585503,14.04,6.89141859948079,0.201057484290686,0,3.29267948063007,-3.29267948063007,3.70947551990154,154.361942000652,0,1,0
saa,1023,2,4,1023,1,47.7055120125909,55.492635649694,17.5500000000001,10.06275445732,0.293581367467082,0.299878094423161,0,0.299878094423161,3.70947551990154,154.361942000652,0,1,0
saa,1023,3,1,1015,0.992179863147605,107.013772556995,136.785592758821,34.8255131964811,20.7011815580842,0.783173535428542,15.6474885634293,0,15.6474885634293,17.0874922852984,147.727449611321,0,0.992179863147605,0
saa,1023,3,2,1015,0.992179863147605,78.9579915657227,82.327747756153,20.3517089415574,13.2713429627876,0.502085572211799,0.0699052743138093,3.7805150626531,-3.71060978833929,17.0874922852984,147.727449611321,0,0.704789833822092,0
saa,1023,3,3,1015,0.992179863147605,41.572238585503,32.2336328707985,11.9664905646778,8.05582800985817,0.302836268576548,0.0553482975720277,13.304616567096,-13.249268269524,17.0874922852984,147.727449611321,0,0.76930596285435,0
saa,1023,3,4,1015,0.992179863147605,55.492635649694,62.1872579082937,17.4067432452461,12.0245104810801,0.454915018200373,1.3147501499833,0.00236065554930663,1.31238949443399,17.0874922852984,147.727449611321,0,0.991202346041056,0
saa,1023,4,1,844,0.825024437927664,136.785592758821,166.076040780902,27.5588127851473,6.49161792797954,0.221131687995902,8.28672987362293,0.0634767087105867,8.22325316491234,9.80916797550431,140.613247684215,0,0.691104594330401,0
saa,1023,4,2,844,0.825024437927664,82.327747756153,77.9852216967435,1.32430254196863,3.22034207027193,0.110501933783841,0.0304672579790709,2.47695378908538,-2.44648653110631,9.80916797550431,140.613247684215,0,0.0342130987292278,0
saa,1023,4,3,844,0.825024437927664,32.2336328707985,21.5517330762724,1.11058128629073,4.70611216956861,0.159206900085817,0.160055900345818,7.24642481159403,-7.08636891124821,9.80916797550431,140.613247684215,0,0.0518084066471163,0
saa,1023,4,4,844,0.825024437927664,62.1872579082937,71.2920615848246,11.1312907427588,3.33608934367023,0.127206358737734,1.3319149435565,0.0223126661143145,1.30960227744218,9.80916797550431,140.613247684215,0,0.349951124144673,0
saa,1023,5,1,395,0.386119257086999,166.076040780902,177.407374721839,12.8776392929597,1.95197326752135,0.0250252983015558,0.466986961289651,0.0613190457905907,0.40566791549906,0.701995542706769,135.205846483266,0,0.313782991202346,0
saa,1023,5,2,395,0.386119257086999,77.9852216967435,78.0099010924057,2.28207467156833,2.21976863793587,0.029795729440559,0.0568098071454203,0.0944364451156619,-0.0376266379702416,0.701995542706769,135.205846483266,0,0.0156402737047898,0
saa,1023,5,3,395,0.386119257086999,21.5517330762724,21.2663682343397,0.829493348061922,0.605274536195346,0.00703213711334847,0.0306309325263062,0.540214586325621,-0.509583653799315,0.701995542706769,135.205846483266,0,0.0117302052785924,0
saa,1023,5,4,395,0.386119257086999,71.2920615848246,75.0949802557337,4.74622777873535,1.0848514840968,0.0225651232272874,0.147567841745392,0.00602546547489536,0.141542376270497,0.701995542706769,135.205846483266,0.000977517106549365,0.172043010752688,0
saa,1023,6,1,72,0.0703812316715543,177.407374721839,177.386860371229,0.952507731307482,1.39847094833189,0.0154675058144838,0.456340492482912,0.030891626068544,0.425448866414368,0.552883494984824,132.597086068054,0,0.00293255131964809,0
saa,1023,6,2,72,0.0703812316715543,78.0099010924057,77.0768609193041,0.0700445264020384,0.85051881265065,0.0119791382063472,0.0529450746878535,0.20551096154082,-0.152565886852967,0.552883494984824,132.597086068054,0,0.00293255131964809,0
saa,1023,6,3,72,0.0703812316715543,21.2663682343397,20.63234370672,0.0648473648693564,0.499177202376876,0,0.00624119175379816,0.205935881865902,-0.199694690112104,0.552883494984824,132.597086068054,0,0.00293255131964809,0
