method,path_id,state,decision_stage,current_k,current_a,current_loc,current_lf,history_node_id,selection_reason,terminal_gap_kg,node_oos_path_count,future_terminal_state_count,realized_terminal_state_probability,conditional_modal_top_site,conditional_modal_top_site_probability,positive_target_modal_top_site,positive_target_modal_top_site_probability,conditional_max_site_target_range_kg,inventory_vs_realized_target_distribution_l1,x1_kg,realized_target_site1_kg,node_conditional_mean_target_site1_kg,x2_kg,realized_target_site2_kg,node_conditional_mean_target_site2_kg,x3_kg,realized_target_site3_kg,node_conditional_mean_target_site3_kg,x4_kg,realized_target_site4_kg,node_conditional_mean_target_site4_kg
chi2_eta003,1902,12,4,85,2,4,5,t4_k85,largest_terminal_gap_distinct_latest_information_node,72.46878740594,295,16,0.0101694915254237,1,0.736842105263158,1,0.884210526315789,234.531627132872,0.152665968238169,181.030267502717,234.531627132872,54.9190201553977,85.666771176701,39.2765472048076,15.9735726664666,22.3605376691637,16.3652905806895,4.57166835854587,73.2235808462428,92.1910086220283,16.4647097400599
saa,1902,12,4,85,2,4,5,t4_k85,largest_terminal_gap_distinct_latest_information_node,72.46878740594,295,16,0.0101694915254237,1,0.736842105263158,1,0.884210526315789,234.531627132872,0.127194186531889,177.130423518279,234.531627132872,54.9190201553977,77.7362653459969,39.2765472048076,15.9735726664666,16.502559371222,16.3652905806895,4.57166835854587,74.1891610365487,92.1910086220283,16.4647097400599
chi2_eta003,4723,12,4,101,2,6,5,t4_k101,largest_terminal_gap_distinct_latest_information_node,63.2621484072467,191,14,0.0209424083769634,1,0.555555555555556,1,0.862068965517241,252.702273520957,0.100850513265278,190.236906501411,234.531627132872,43.2287466050685,69.7405288792451,39.2765472048076,12.2676119962661,16.3880562560068,16.3652905806895,3.57084917757643,73.2235808462428,92.1910086220283,12.7626511377183
saa,4723,12,4,101,2,6,5,t4_k101,largest_terminal_gap_distinct_latest_information_node,63.2621484072467,191,14,0.0209424083769634,1,0.555555555555556,1,0.862068965517241,252.702273520957,0.150153636924782,162.531379683912,234.531627132872,43.2287466050685,77.6326757407103,39.2765472048076,12.2676119962661,21.7241212456779,16.3652905806895,3.57084917757643,74.1467088253184,92.1910086220283,12.7626511377183
chi2_eta003,6908,12,4,109,2,7,5,t4_k109,largest_terminal_gap_distinct_latest_information_node,70.635460442881,412,18,0.0121359223300971,1,0.470394736842105,1,0.794444444444444,245.768350802666,0.115334817099068,182.863594465776,234.531627132872,42.1797420672085,73.9632790951649,39.2765472048076,12.1521201306257,16.4137123730759,16.3652905806895,3.83272201866917,73.2235808462428,92.1910086220283,14.5570926708772
saa,6908,12,4,109,2,7,5,t4_k109,largest_terminal_gap_distinct_latest_information_node,70.635460442881,412,18,0.0121359223300971,1,0.470394736842105,1,0.794444444444444,245.768350802666,0.161132779909095,164.016039464514,234.531627132872,42.1797420672085,78.2797789260852,39.2765472048076,12.1521201306257,21.2735429936602,16.3652905806895,3.83272201866917,61.0752951720989,92.1910086220283,14.5570926708772
chi2_eta003,4434,13,3,166,3,7,6,t3_k166,largest_terminal_gap_distinct_latest_information_node,28.7500721698402,6,4,0.166666666666667,1,1,1,1,184.927597632149,0.0901292479575307,204.455342445293,183.83696804374,173.69919422247,57.3232245247891,85.3716494567399,46.1308056918004,15.6636327414464,16.3652799793359,11.7284532696433,94.2729017981682,69.5525548649856,54.8338067945494
saa,4434,13,3,166,3,7,6,t3_k166,largest_terminal_gap_distinct_latest_information_node,28.7500721698402,6,4,0.166666666666667,1,1,1,1,184.927597632149,0.0370636136715047,204.153428113325,183.83696804374,173.69919422247,75.5824207784218,85.3716494567399,46.1308056918004,17.3335613391396,16.3652799793359,11.7284532696433,74.6456912788111,69.5525548649856,54.8338067945494
chi2_eta003,6257,13,4,110,2,7,6,t4_k110,largest_terminal_gap_distinct_latest_information_node,27.7979618638165,303,12,0.0066006600660066,1,0.456834532374101,1,0.774390243902439,234.531627132872,0.0765829175164061,204.293031921316,183.83696804374,28.387517597343,57.5736875929234,85.3716494567399,5.80908308479157,16.3652905806898,16.3652799793359,1.87279753834707,73.2235808462428,69.5525548649856,7.41829001941411
saa,6257,13,4,110,2,7,6,t4_k110,largest_terminal_gap_distinct_latest_information_node,27.7979618638165,303,12,0.0066006600660066,1,0.456834532374101,1,0.774390243902439,234.531627132872,0.0514807571145547,166.83356286851,183.83696804374,28.387517597343,59.9507379644111,85.3716494567399,5.80908308479157,16.3652728909255,16.3652799793359,1.87279753834707,74.1892371055287,69.5525548649856,7.41829001941411
