state,a,loc,saa_target_total_kg,dro_target_total_kg,delta_target_kg,saa_target_rank_desc_35,dro_target_rank_desc_35,lf,oos_count,saa_infeasible_path_count,dro_infeasible_path_count,saa_infeasible_share,dro_infeasible_share,saa_conditional_mean_capacity_gap_kg,dro_conditional_mean_capacity_gap_kg,saa_unconditional_mean_capacity_gap_kg,dro_unconditional_mean_capacity_gap_kg,saa_actual_final_inventory_mean_kg,dro_actual_final_inventory_mean_kg,delta_actual_inventory_kg,saa_target_total_kg_reached,dro_target_total_kg_reached,delta_target_kg_reached,saa_max_feasible_inventory_mean_kg,dro_max_feasible_inventory_mean_kg,delta_max_feasible_inventory_kg,delta_unconditional_capacity_gap_kg,saa_gap_greater_than_dro_path_count,saa_infeasible_dro_feasible_path_count,oos_reached,saa_headroom_mean_kg,dro_headroom_mean_kg,saa_headroom_rank_ascending_reached,dro_headroom_rank_ascending_reached
1,2,1,0,112.166696626405,112.166696626405,29,29,7,354,0,0,0,0,0,0,0,0,358.968661141181,381.060586207769,22.0919250665888,0,112.166696626405,112.166696626405,395.879412512878,395.898422716233,0.0190102033548669,0,0,0,True,395.879412512878,283.731726089828,27,25
2,2,2,0,110.465721330482,110.465721330482,29,30,7,681,0,0,0,0,0,0,0,0,358.273923002725,379.615212388484,21.3412893857596,0,110.465721330482,110.465721330482,394.279385323726,394.279385323726,0,0,0,0,True,394.279385323726,283.813663993244,26,26
3,2,3,0,79.4853371037635,79.4853371037635,29,31,7,706,0,0,0,0,0,0,0,0,355.809259933872,376.975982952674,21.1667230188024,0,79.4853371037635,79.4853371037635,392.822678276741,392.916274818485,0.0935965417431817,0,0,0,True,392.822678276741,313.430937714721,25,27
4,2,4,0,67.6431305846633,67.6431305846633,29,32,7,716,0,0,0,0,0,0,0,0,357.795849821168,381.919011590155,24.1231617689868,0,67.6431305846633,67.6431305846633,401.589863117098,401.721572487075,0.131709369976875,0,0,0,True,401.589863117098,334.078441902411,29,28
5,2,5,0,30.2757519474911,30.2757519474911,29,33,7,644,0,0,0,0,0,0,0,0,353.956295991862,378.814860870688,24.8585648788258,0,30.2757519474911,30.2757519474911,401.415435546592,401.50531837841,0.0898828318178744,0,0,0,True,401.415435546592,371.229566430919,28,29
6,2,6,0,0.71367875842609,0.71367875842609,29,34,7,445,0,0,0,0,0,0,0,0,354.442680163252,381.423457415541,26.9807772522892,0,0.71367875842609,0.71367875842609,407.389341765493,407.419682246209,0.0303404807158927,0,0,0,True,407.389341765493,406.706003487783,31,30
7,2,7,0,0,0,29,35,7,1023,0,0,0,0,0,0,0,0,349.459336892212,377.381582823474,27.9222459312614,0,0,0,406.738875286112,406.91231016462,0.173434878508431,0,0,0,True,406.738875286112,406.91231016462,30,31
8,3,1,371.491694624008,405.313265587416,33.8215709634079,24,23,7,81,7,33,0.0864197530864197,0.407407407407407,58.7875734974812,28.120363909926,5.08040758620208,11.4564445558958,428.264004059902,440.454238585963,12.190234526061,371.491694624008,405.313265587416,33.821570963408,445.845379606377,447.179919713616,1.33454010723887,6.37603696969368,0,0,True,74.353684982369,41.8666541262,18,18
9,3,2,382.129122003109,405.313274925785,23.1841529226753,22,22,7,133,18,46,0.135338345864662,0.345864661654135,41.8240251428761,34.1799261912704,5.66039438023887,11.8216286075071,433.465913056151,445.276127792073,11.8102147359222,382.129122003109,405.313274925785,23.184152922676,453.09579641782,453.793664361751,0.697867943931271,6.16123422726819,0,0,True,70.9666744147105,48.4803894359665,17,19
10,3,3,372.309958268554,405.313258646956,33.0033003784021,23,24,7,131,17,63,0.129770992366412,0.480916030534351,35.8261553071695,27.4435151850737,4.64919572688459,13.1980263867148,413.586457436135,428.083245544273,14.4967881081381,372.309958268554,405.313258646956,33.0033003784019,435.247739456119,436.018219353796,0.770479897676864,8.54883065983023,0,0,True,62.937781187565,30.7049607068397,16,17
