terminal_state,path_count,path_share_all_10000,delta_i_mean,delta_i_median,delta_production_mean,delta_htt_mean,delta_operating_cost_mean,saa_terminal_loh_total_kg,delta_terminal_loh_total_kg,saa_mean_eens_kwh,saa_q99_5_shortage_kg
1,354,0.0354,22.091925066588793,21.59863293075898,22.072914863234015,11.225363972853959,1057.495267384343,0.0,112.16669662640508,56.79233333333333,224.2042386056788
2,681,0.0681,21.341289385759552,22.595969288800006,21.34128938575967,11.039112403384797,1026.033116501715,0.0,110.4657213304822,57.81133333333334,226.65902953931752
3,706,0.0706,21.166723018802365,22.186457417188024,21.07312647705933,10.415637988581658,1030.1847753383286,0.0,79.48533710376347,50.810666666666656,220.11292038294727
4,716,0.0716,24.12316176898686,23.512365339635494,23.991452399010072,13.34029637601299,1193.5211129122779,0.0,67.64313058466331,51.214333333333336,214.3850748711235
5,644,0.0644,24.858564878825828,25.27447561925652,24.76868204700803,15.828656614400217,1277.495637490037,0.0,30.275751947491138,32.145,129.83116493467526
6,445,0.0445,26.980777252289172,28.41749663544897,26.950436771573433,15.766054371656459,1349.740609881333,0.0,0.7136787584260904,28.32,123.83056487466932
7,1023,0.1023,27.92224593126146,29.39363191394301,27.74881105275306,18.474793009444088,1470.3558465448218,0.0,0.0,19.020333333333333,61.64252788915254
8,81,0.0081,12.190234526061019,3.9840897289469694,10.855694418822335,6.111308801471872,819.3647416992341,371.4916946240078,33.82157096340791,44.28200000000001,141.5596105065052
9,133,0.0133,11.810214735922107,1.0231815394945445e-12,11.11234679199082,4.08297360177699,653.0279932466111,382.1291220031094,23.184152922675253,43.37566666666666,150.56051059651415
10,131,0.0131,14.496788108138057,10.697630746777008,13.726308210461157,6.256852310922807,812.8620332789241,372.30995826855406,33.00330037840212,44.97700000000001,145.1054196328724
11,139,0.0139,10.00892689391528,0.0,9.08605948138946,2.977175131017802,610.1944075735177,355.1264217330823,40.91403055283792,42.86600000000003,131.74044677194993
12,117,0.0117,14.988708460886052,9.748322064990989,13.055596576578658,7.240823122271048,1028.5469926957485,325.6689305294164,56.6955430109806,43.43266666666674,106.37427379101548
13,89,0.0089,15.691094314877382,13.501513918563036,13.75716233576461,7.093098586011214,1078.155232202554,240.56951149660424,114.55694084819706,57.22299999999996,164.74374710198288
14,188,0.0188,17.198848481459066,13.647308043164486,15.487495046615056,10.997209631944253,1154.5599328108487,185.7458473120039,113.73862191230194,53.83766666666666,195.56501104655925
15,34,0.0034,2.4306420055550575,0.0,1.6195362247625855,-2.882334177583935,139.06376509597678,576.8758694051223,9.271508473709218,133.65234833333332,151.65152878924252
16,78,0.0078,2.946752331338222,0.0,1.6915829212968605,-7.475869864251136,118.65406589878955,571.9662875378446,13.09285849484047,148.05670333333333,161.47069252379782
17,78,0.0078,3.8045164973534087,0.0,2.978058008355166,-6.204643596984254,96.77279522671546,562.1471238032893,16.365232420982238,145.769165,159.2886561383411
18,55,0.0055,3.7272475862048693,0.0,2.480026666734962,-4.1785813660462034,254.9861228267712,546.3273600087281,25.638927495048392,132.766685,159.8341652347053
19,44,0.0044,5.999124989598312,0.0,4.10182664594059,-1.9461790108181782,471.7028973970815,511.4147778414206,31.54685849085695,113.41999999999992,157.37937430106643
20,37,0.0037,2.9764988397130803,0.0,2.298925315299105,-0.32530188061915477,177.11423809829205,427.4063770013364,64.4533337505822,101.266,180.56351089654416
21,124,0.0124,4.528100935824871,0.0,2.5385775770592915,-1.2680696011398331,421.3166562912524,405.3132585985871,29.18468930698117,65.74533333333332,171.56261080653522
22,9,0.0009,1.9035176203610087,0.0,0.3046942541304563,-10.857278977898964,69.74555617687899,607.9698878978807,2.1869423393020497,500.886065,218.7491476420369
23,20,0.002,2.3616154917635015,0.0,0.0,-15.088770302959867,36.42160061131379,615.0465046504648,14.744289918767322,523.6500166666667,226.6590295393176
24,28,0.0028,3.1614785238434036,0.0,1.5668265808860318,-9.80011163552383,67.20925954728928,613.4249788615225,13.107881389150862,498.056665,227.47729318386385
25,24,0.0024,2.1149265549044665,0.0,0.6602923000963349,-14.82231023136729,-149.24965329233797,607.9698878978805,14.160795398638015,431.2889566666667,210.02100210021
26,22,0.0022,0.16346701011772521,0.0,-0.5149372744473134,-16.285730251773774,-342.3964109842456,607.9698878978804,1.7442550984014815e-05,337.90534166666663,206.2024384256609
27,9,0.0009,2.1474180458527472e-13,0.0,0.0,-0.5123060724595083,-108.70137344096737,603.461937102801,4.50795081772992,235.59279500000005,188.2006382456428
28,40,0.004,0.4023961175141707,0.0,0.33873920420560066,-12.041220342004733,-371.17875460274536,570.8752693451163,11.047259887741006,160.45166666666665,170.19883806562476
31,1,0.0001,0.0,0.0,0.0,-3.770296062912607,41.0766206844055,671.79445217249,5.215812114302707,1001.5048949999998,324.0324032403241
33,1,0.0001,0.0,0.0,0.0,8.684105598930998,300.725855386896,648.6103155770122,8.456155682900999,679.877115,295.66593022938656
35,2,0.0002,2.468072963228508,2.468072963228508,2.468072963228508,-24.176600222578706,-530.6520280161494,607.9698878978804,2.6028264983324334e-06,307.0884616666667,248.2066388457028
