method,method_label,state_id,path_count,preparation_count_levels,fixed_target_total_kg,prep_vs_gap_rho,prep_vs_gap_p_value,prep_vs_actual_inventory_rho,prep_vs_actual_inventory_p_value,gap_correlation_evaluable,n
chi2_eta003,DRO_eta_0.03,1,354,5,112.166696626405,,,0.897098147653515,6.390133589462002e-127,0,354
chi2_eta003,DRO_eta_0.03,2,681,5,110.46572133048232,,,0.9205226409240417,2.3726662356218257e-279,0,681
chi2_eta003,DRO_eta_0.03,3,706,5,79.48533710376344,,,0.9067645644051524,3.0023063113600412e-266,0,706
chi2_eta003,DRO_eta_0.03,4,716,5,67.64313058466328,,,0.8730095673830611,7.529345926211294e-225,0,716
chi2_eta003,DRO_eta_0.03,5,644,5,30.2757519474911,,,0.8867951847237846,2.229861356336455e-217,0,644
chi2_eta003,DRO_eta_0.03,6,445,5,0.71367875842609,,,0.8852947671595853,2.1150884093096315e-149,0,445
chi2_eta003,DRO_eta_0.03,8,81,5,405.3132655874157,-0.6659819271483214,1.165974651379661e-11,0.6430322529950191,9.61787108274628e-11,1,81
chi2_eta003,DRO_eta_0.03,9,133,4,405.31327492578464,-0.5688242459632139,9.13884655190557e-13,0.6126485138574573,4.6209536555483455e-15,1,133
chi2_eta003,DRO_eta_0.03,10,131,5,405.31325864695617,-0.6662710841985864,3.798310460571863e-18,0.655757821147253,1.8958234146789336e-17,1,131
chi2_eta003,DRO_eta_0.03,11,139,4,396.0404522859204,-0.4782114347560135,2.621356936212836e-09,0.6143807202880159,8.702040827032229e-16,1,139
chi2_eta003,DRO_eta_0.03,12,117,5,382.3644735403974,-0.6761070770395989,6.050106005587511e-17,0.6712090461869402,1.2204891416547372e-16,1,117
chi2_eta003,DRO_eta_0.03,13,89,5,355.12645234480146,-0.5303623972270155,9.013624555499712e-08,0.5986809322555288,5.765516768755652e-10,1,89
chi2_eta003,DRO_eta_0.03,14,188,4,299.48446922430566,-0.550665866862607,2.6773513825090844e-16,0.5518156291260793,2.2557153327412e-16,1,188
chi2_eta003,DRO_eta_0.03,15,34,4,586.1473778788323,-0.7795103444500932,5.5623822968799424e-08,0.7799279765960202,5.413840105482614e-08,1,34
chi2_eta003,DRO_eta_0.03,16,78,4,585.0591460326847,-0.8095544813880627,2.937576943563877e-19,0.8137227948169612,1.3759249049463597e-19,1,78
chi2_eta003,DRO_eta_0.03,17,78,4,578.5123562242709,-0.698758347649934,1.1321215699785097e-12,0.7060430602655309,5.202814607583523e-13,1,78
chi2_eta003,DRO_eta_0.03,18,55,4,571.9662875037768,-0.6188775559144893,4.7489869448635406e-07,0.6031551960164759,1.0958233456162013e-06,1,55
chi2_eta003,DRO_eta_0.03,19,44,4,542.9616363322771,-0.6663043241287739,7.936734087880204e-07,0.6464502733916969,2.134699991111821e-06,1,44
chi2_eta003,DRO_eta_0.03,20,37,4,491.859710751918,-0.776555010563786,1.6118240380340067e-08,0.7887141800529898,6.725243872816353e-09,1,37
chi2_eta003,DRO_eta_0.03,21,124,5,434.497947905568,-0.5706743640352114,4.526443989950375e-12,0.7393530471295243,1.069113733141758e-22,1,124
chi2_eta003,DRO_eta_0.03,23,20,3,629.7907945692316,-0.7042188981179256,0.0005285079666529152,0.7042188981179256,0.0005285079666529152,1,20
chi2_eta003,DRO_eta_0.03,24,28,4,626.5328602506729,-0.8313946381711246,4.258669888209931e-08,0.831736330618527,4.1563552703370995e-08,1,28
chi2_eta003,DRO_eta_0.03,25,24,3,622.1306832965181,-0.7701838584418883,1.0737435844202413e-05,0.7696809632799161,1.0970686187708573e-05,1,24
chi2_eta003,DRO_eta_0.03,26,22,4,607.9699053404318,-0.8731635931704755,1.1405997467470947e-07,0.8734102147240929,1.1198077564245238e-07,1,22
chi2_eta003,DRO_eta_0.03,28,40,4,581.9225292328573,-0.5833733745216934,7.7889158260473e-05,0.5987275325945803,4.480444669141858e-05,1,40
saa,SAA,8,81,5,371.4916946240075,-0.5227937971163533,5.538235180590706e-07,0.4589588990960809,1.637043234269053e-05,1,81
saa,SAA,9,133,4,382.1291220031102,-0.36176440746833644,1.8813918748237568e-05,0.4754188879357557,7.354164145349897e-09,1,133
saa,SAA,10,131,5,372.30995826855394,-0.5001322940831485,1.1852082303854892e-09,0.47821064842436156,7.622006974593213e-09,1,131
saa,SAA,11,139,4,355.1264217330822,-0.38134379313756506,3.6280117906283193e-06,0.4455516525592597,3.8802312609531075e-08,1,139
saa,SAA,12,117,5,325.6689305294161,-0.5096553305207039,4.392054633527289e-09,0.541495567281368,2.900360336609179e-10,1,117
saa,SAA,13,89,5,240.56951149660463,-0.25962118048302735,0.014013269436829474,0.47982448588285065,1.956496733243212e-06,1,89
saa,SAA,14,188,4,185.7458473120035,,,0.40408525244802224,8.886179479759352e-09,0,188
saa,SAA,15,34,4,576.8758694051222,-0.7747977428130555,7.51942036279608e-08,0.7793315645055874,5.6271096206714274e-08,1,34
saa,SAA,16,78,4,571.9662875378451,-0.7775899916064926,5.63961898820708e-17,0.7859469130026516,1.556507387442879e-17,1,78
saa,SAA,17,78,4,562.1471238032889,-0.6468934489080395,1.568745227132737e-10,0.6471729865096649,1.531462569254615e-10,1,78
saa,SAA,18,55,4,546.3273600087277,-0.5728160442914119,4.876097917624179e-06,0.5792937701557737,3.590018677933442e-06,1,55
saa,SAA,19,44,4,511.41477784142,-0.5952218772422204,2.029392256979296e-05,0.6280789242039857,5.015420797800258e-06,1,44
saa,SAA,20,37,4,427.4063770013365,-0.6028006305129545,7.870779927605199e-05,0.7765140896722496,1.616424000995452e-08,1,37
saa,SAA,21,124,5,405.31325859858686,-0.4699923805723507,3.6443363844943003e-08,0.7065849844253491,4.8027036033560386e-20,1,124
saa,SAA,23,20,3,615.0465046504655,-0.7299061228081561,0.0002590550685226833,0.7050156763076668,0.0005175182788454341,1,20
saa,SAA,24,28,4,613.424978861522,-0.8020420667620998,2.8723275596512893e-07,0.8020420667620998,2.8723275596512893e-07,1,28
saa,SAA,25,24,3,607.9698878978809,-0.7766865545719057,8.092770566855337e-06,0.7773634057283063,7.853868664797524e-06,1,24
saa,SAA,26,22,4,607.9698878978811,-0.8138223781006375,4.084197020354064e-06,0.8736570453676312,1.0993357289805904e-07,1,22
saa,SAA,28,40,4,570.875269345116,-0.5814014420695557,8.345441674284255e-05,0.598502700617973,4.51779742859529e-05,1,40
