experiment,delta_i_bin,path_count,share
Baseline_6h,<=1,1642,0.2712704444077317
Baseline_6h,1-10,356,0.05881381133322319
Baseline_6h,10-20,856,0.14141747893606477
Baseline_6h,20-30,1150,0.1899884354865356
Baseline_6h,30-50,1881,0.31075499752188995
Baseline_6h,50-100,168,0.027754832314554768
Baseline_6h,>100,0,0.0
E1_8h,<=1,117,0.019329258219064928
E1_8h,1-10,215,0.035519577069221875
E1_8h,10-20,583,0.09631587642491327
E1_8h,20-30,1845,0.30480753345448536
E1_8h,30-50,2816,0.4652238559392037
E1_8h,50-100,477,0.07880389889311086
E1_8h,>100,0,0.0
E2_6h_pmax_4over3,<=1,192,0.03171980835949116
E2_6h_pmax_4over3,1-10,446,0.07368247150173468
E2_6h_pmax_4over3,10-20,764,0.1262184040971419
E2_6h_pmax_4over3,20-30,708,0.11696679332562365
E2_6h_pmax_4over3,30-50,2944,0.48637039484553113
E2_6h_pmax_4over3,50-100,999,0.16504212787047745
E2_6h_pmax_4over3,>100,0,0.0
E3_8h_htt_4over3,<=1,136,0.022468197587972905
E3_8h_htt_4over3,1-10,193,0.031885015694696844
E3_8h_htt_4over3,10-20,593,0.0979679497769701
E3_8h_htt_4over3,20-30,1801,0.2975384107054353
E3_8h_htt_4over3,30-50,2875,0.47497108871633903
E3_8h_htt_4over3,50-100,455,0.07516933751858583
E3_8h_htt_4over3,>100,0,0.0
