scheme,method,stage,mean_utilization,median_utilization,q95_utilization,util_ge80_share,util_ge95_share,max_utilization
Reference_08,saa,1,0.0,0.0,0.0,0.0,0.0,0.0
Reference_08,saa,2,0.03062220998919745,0.0,0.198138681939572,0.0,0.0,0.628392613695365
Reference_08,saa,3,0.04725493443797251,0.0153579989751633,0.2816385799036437,0.0,0.0,0.603095050508705
Reference_08,saa,4,0.03190665469960785,0.0,0.1859333980302774,0.0,0.0,0.620972715048568
Reference_08,saa,5,0.043855859933867536,0.0057431606067599,0.19504337529652593,0.0,0.0,0.504855949131855
Reference_08,saa,6,0.04892888171226317,0.0273754823789382,0.1539398502373533,0.0,0.0,0.29212612680193
Reference_08,chi2_eta003,1,0.0,0.0,0.0,0.0,0.0,0.0
Reference_08,chi2_eta003,2,0.031706777521713726,0.0,0.236996491061718,0.0,0.0,0.65232979371533
Reference_08,chi2_eta003,3,0.10485070715553259,0.09487317691607534,0.409686817829041,0.0,0.0,0.732391718616589
Reference_08,chi2_eta003,4,0.05694465265841749,0.0379264246666817,0.206337965259001,0.0,0.0,0.554070862781348
Reference_08,chi2_eta003,5,0.04164787600112021,0.0137756201593235,0.16489053430440517,0.0,0.0,0.309406924008288
Reference_08,chi2_eta003,6,0.02764912730402293,0.0077817479763279,0.1572229534358726,0.0,0.0,0.245200388463476
H04,saa,1,0.0,0.0,0.0,0.0,0.0,0.0
H04,saa,2,0.0516012996550575,0.0,0.336099026782645,0.0,0.0,0.564132426151506
H04,saa,3,0.08483998975167945,0.0521150760673432,0.345927252659163,0.0,0.0,0.583358193253507
H04,saa,4,0.05615453559987836,0.0326532891134877,0.20781090371397662,0.0,0.0,0.533017118231486
H04,saa,5,0.061695468644325534,0.0366225124883676,0.22145612387443653,0.0,0.0,0.425913752710953
H04,saa,6,0.06690801744228633,0.0399491513976215,0.205425609259635,0.0,0.0,0.39477297278676
H04,chi2_eta003,1,0.0,0.0,0.0,0.0,0.0,0.0
H04,chi2_eta003,2,0.04825034610425074,0.0,0.325199217503692,0.0,0.0,0.704111511162835
H04,chi2_eta003,3,0.13747521977623217,0.137870965391873,0.435854032457647,0.0,0.0,0.665985469271392
H04,chi2_eta003,4,0.08568018138895837,0.0910853457093199,0.21636296090893453,0.0,0.0,0.647993446239157
H04,chi2_eta003,5,0.06076275850858756,0.0389305822926711,0.203579462250625,0.0,0.0,0.430517379542237
H04,chi2_eta003,6,0.052167424608791764,0.0054695298218936,0.16820645572802975,0.0,0.0,0.417180708163629
H02,saa,1,0.0,0.0,0.0,0.0,0.0,0.0
H02,saa,2,0.05482643501181907,0.0,0.36062149109851,0.0,0.0,0.515270815188768
H02,saa,3,0.12885770383611347,0.113879349494907,0.376658814824741,0.0,0.0,0.640669223753871
H02,saa,4,0.11681610328881749,0.0872458426373669,0.2780384280549336,0.0,0.0,0.502645390470556
H02,saa,5,0.06703667088506053,0.0389329992581888,0.2558462225664736,0.0,0.0,0.473083568598132
H02,saa,6,0.06889876518017513,0.0540651131241583,0.18804214356933227,0.0,0.0,0.296824077793141
H02,chi2_eta003,1,0.0,0.0,0.0,0.0,0.0,0.0
H02,chi2_eta003,2,0.04875150414179945,0.0,0.384639300508935,0.00011234692731153803,0.0,0.805200373045179
H02,chi2_eta003,3,0.18207448448950295,0.196616288127548,0.459434453807199,0.0,0.0,0.667774122034044
H02,chi2_eta003,4,0.12848942753790457,0.115361058199608,0.302797202559558,0.0,0.0,0.575080548665853
H02,chi2_eta003,5,0.07771061841099061,0.0486958651086854,0.2274844133230084,0.0,0.0,0.439584740160963
H02,chi2_eta003,6,0.03973669955037607,0.0073577281109604,0.15240418449330967,0.0,0.0,0.43026534138816
H01,saa,1,0.0,0.0,0.0,0.0,0.0,0.0
H01,saa,2,0.06155931302927302,0.0,0.408038189737452,0.00011234692731153803,0.0,0.817025071791427
H01,saa,3,0.1773969593277174,0.221898469912581,0.488398271543734,0.0,0.0,0.731029871080548
H01,saa,4,0.1736651729782974,0.136220054368035,0.399293281762012,0.0,0.0,0.728329205322131
H01,saa,5,0.06932738901626122,0.0396346578391895,0.258723071181031,0.0,0.0,0.493136693686249
H01,saa,6,0.0830943753707901,0.0634860684003354,0.22229220791216345,0.0,0.0,0.441755157646843
H01,chi2_eta003,1,0.0,0.0,0.0,0.0,0.0,0.0
H01,chi2_eta003,2,0.05928999714998644,0.0,0.391660003719987,0.0,0.0,0.63362625974832
H01,chi2_eta003,3,0.20095936929097202,0.239313990383552,0.481554834494101,0.0,0.0,0.643277537634455
H01,chi2_eta003,4,0.16117366503759872,0.14516945186441,0.3461978028764896,0.0,0.0,0.753579868499054
H01,chi2_eta003,5,0.08464168091358219,0.0506654608760619,0.235774329644803,0.0,0.0,0.554752543844896
H01,chi2_eta003,6,0.038698258174119156,0.0188667216844288,0.13322877746421022,0.0,0.0,0.311060540701147
