path_id,path_type,t,k,a,loc,lf,status,beta,stage_cost,ordinary_stage_cost,loh_demand_cost,theta_value,x_total_before,x_total_after,delta_x_total,production_total,normal_served_total,normal_shortage_total,htt_in_total,htt_out_total,htt_transport_total,TerminalLOH_total,terminal_shortage_total,terminal_surplus_total
986,H02_chi2_eta003,1,65,2,2,1,normal,0,2328.18791403364,2328.18791403364,0,12549.939923665,166.638409272046,271.358280672679,104.719871400632,120.12,15.4001285993677,0,0,0,0,0,0,166.638409272046
986,H02_chi2_eta003,2,83,2,4,3,normal,0.0471428571428571,4926.60425507548,4926.60425507548,0,7672.43487226646,271.358280672679,341.685101509697,70.3268208370186,120.12,49.7931791629814,0,0,0,0,0,0,271.358280672679
986,H02_chi2_eta003,3,109,2,7,5,normal,0.114285714285714,2820.36907473335,2820.36907473335,0,3153.65164179163,341.685101509697,347.172023366921,5.48692185722401,62.024930226259,56.538008369035,0,53.0186561475004,53.0186561475004,53.0186561475004,0,0,341.685101509697
986,H02_chi2_eta003,4,110,2,7,6,normal,0.142857142857143,2040.98477353015,2040.98477353015,0,253.287159130019,347.172023366921,428.459575792329,81.2875524254083,103.556236294024,22.2686838686158,0,4.68324357605204,4.68324357605204,4.68324357605204,0,0,347.172023366921
986,H02_chi2_eta003,5,111,2,7,7,loh_demand_stage,0.171428571428571,0,0,0,0,428.459575792329,428.459575792329,0,0,0,0,0,0,0,0,0,428.459575792329
986,H02_chi2_eta003,6,112,2,7,8,post_absorb,0.2,0,0,0,0,428.459575792329,428.459575792329,0,0,0,0,0,0,0,0,0,428.459575792329
986,H02_chi2_eta003,7,104,2,6,8,post_absorb,0.188333333333333,0,0,0,0,428.459575792329,428.459575792329,0,0,0,0,0,0,0,0,0,428.459575792329
986,H02_chi2_eta003,8,16,1,2,8,post_absorb,0,0,0,0,0,428.459575792329,428.459575792329,0,0,0,0,0,0,0,0,0,428.459575792329
2017,H02_chi2_eta003,1,65,2,2,1,normal,0,2328.18791403364,2328.18791403364,0,12549.939923665,166.638409272046,271.358280672679,104.719871400632,120.12,15.4001285993677,0,0,0,0,0,0,166.638409272046
2017,H02_chi2_eta003,2,74,2,3,2,normal,0.0219047619047619,4926.60425507548,4926.60425507548,0,7363.00653798843,271.358280672679,341.685101509697,70.3268208370186,120.12,49.7931791629814,0,0,0,0,0,0,271.358280672679
2017,H02_chi2_eta003,3,68,2,2,4,normal,0.0607142857142857,3268.74394511985,3268.74394511985,0,4112.82302247662,341.685101509697,363.030679367085,21.3455778573881,77.8835862264231,56.538008369035,0,31.6182972791577,31.6182972791577,31.6182972791577,0,0,341.685101509697
2017,H02_chi2_eta003,4,151,3,5,7,loh_demand_stage,0.302857142857143,132203.931120193,0,132203.931120193,0,363.030679367085,363.030679367085,0,0,0,0,0,0,0,382.364473540397,66.1019655600966,46.7681713867849
2017,H02_chi2_eta003,5,168,3,7,8,post_absorb,0.4,0,0,0,0,363.030679367085,363.030679367085,0,0,0,0,0,0,0,0,0,363.030679367085
2017,H02_chi2_eta003,6,160,3,6,8,post_absorb,0.376666666666667,0,0,0,0,363.030679367085,363.030679367085,0,0,0,0,0,0,0,0,0,363.030679367085
2017,H02_chi2_eta003,7,168,3,7,8,post_absorb,0.4,0,0,0,0,363.030679367085,363.030679367085,0,0,0,0,0,0,0,0,0,363.030679367085
2017,H02_chi2_eta003,8,160,3,6,8,post_absorb,0.376666666666667,0,0,0,0,363.030679367085,363.030679367085,0,0,0,0,0,0,0,0,0,363.030679367085
5380,H02_chi2_eta003,1,65,2,2,1,normal,0,2328.18791403364,2328.18791403364,0,12549.939923665,166.638409272046,271.358280672679,104.719871400632,120.12,15.4001285993677,0,0,0,0,0,0,166.638409272046
5380,H02_chi2_eta003,2,66,2,2,2,normal,0.0202380952380952,4926.60425507548,4926.60425507548,0,7434.57095980736,271.358280672679,341.685101509697,70.3268208370186,120.12,49.7931791629814,0,0,0,0,0,0,271.358280672679
5380,H02_chi2_eta003,3,117,3,1,5,normal,0.148571428571429,16643.3518460909,16643.3518460909,0,24349.573361344,341.685101509697,461.805101509697,120.12,120.12,0,56.538008369035,85.1576577124644,85.1576577124644,85.1576577124644,0,0,341.685101509697
5380,H02_chi2_eta003,4,150,3,5,6,normal,0.252380952380952,3028.35260589842,3028.35260589842,0,4169.80187198026,461.805101509697,561.758923201945,99.9538216922476,120.12,20.1661783077524,2.10250556086341,33.9579294655212,33.9579294655212,33.9579294655212,0,0,461.805101509697
5380,H02_chi2_eta003,5,167,3,7,7,loh_demand_stage,0.342857142857143,0,0,0,0,561.758923201945,561.758923201945,0,0,0,0,0,0,0,299.484469224306,0,262.274453977639
