path_id,path_type,t,k,a,loc,lf,status,holding_cost,production_electricity_cost,electrolyzer_om_cost,transport_cost,normal_shortage_cost,loh_demand_cost,theta_value,stage_cost_without_theta,stage_cost_with_theta_if_available
986,H02_saa,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,11107.665720978,2328.18791403364,13435.8536350117
986,H02_saa,2,83,2,4,3,normal,17.0842550754849,4835.6,73.92,0,0,0,6062.13952306518,4926.60425507548,10988.7437781407
986,H02_saa,3,109,2,7,5,normal,14.2649580145884,5.8779802638863,0.0935797852957023,486.845289606986,0,0,3378.05685611958,507.081807670757,3885.13866379033
986,H02_saa,4,110,2,7,6,normal,16.2561710716361,1158.27224344773,38.2110430828118,0.47257905055562,0,0,876.982243686993,1213.21203665274,2090.19428033973
986,H02_saa,5,111,2,7,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
986,H02_saa,6,112,2,7,8,post_absorb,0,0,0,0,0,0,0,0,0
986,H02_saa,7,104,2,6,8,post_absorb,0,0,0,0,0,0,0,0,0
986,H02_saa,8,16,1,2,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,H02_saa,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,11107.665720978,2328.18791403364,13435.8536350117
2017,H02_saa,2,74,2,3,2,normal,16.4831014785969,4351.5942835312,66.52118649984,0,0,0,6565.72143560081,4434.59857150964,11000.3200071104
2017,H02_saa,3,68,2,2,4,normal,16.9968864345053,2582.60677017844,41.1161276844329,96.9124531625931,0,0,3715.44833722268,2737.63223745997,6453.08057468265
2017,H02_saa,4,151,3,5,7,loh_demand_stage,0,0,0,0,0,71299.1029749374,0,71299.1029749374,71299.1029749374
2017,H02_saa,5,168,3,7,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,H02_saa,6,160,3,6,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,H02_saa,7,168,3,7,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,H02_saa,8,160,3,6,8,post_absorb,0,0,0,0,0,0,0,0,0
5380,H02_saa,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,11107.665720978,2328.18791403364,13435.8536350117
5380,H02_saa,2,66,2,2,2,normal,16.4510236572818,4325.76752483136,66.1263825451928,0,0,0,6679.53109278984,4408.34493103383,11087.8760238237
5380,H02_saa,3,117,3,1,5,normal,22.4570236572818,4643.1,73.92,310.734748700217,11307.601673807,0,23237.5182617412,16357.8134461645,39595.3317079057
5380,H02_saa,4,150,3,5,6,normal,27.349589463851,2240.7,73.92,228.187314902068,0,0,3547.24183875726,2570.15690436592,6117.39874312318
5380,H02_saa,5,167,3,7,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
5380,H02_saa,6,112,2,7,8,post_absorb,0,0,0,0,0,0,0,0,0
5380,H02_saa,7,80,2,3,8,post_absorb,0,0,0,0,0,0,0,0,0
5380,H02_saa,8,64,2,1,8,post_absorb,0,0,0,0,0,0,0,0,0
6826,H02_saa,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,11107.665720978,2328.18791403364,13435.8536350117
6826,H02_saa,2,75,2,3,3,normal,17.0842550754849,4835.6,73.92,0,0,0,6267.28319042124,4926.60425507548,11193.8874454967
6826,H02_saa,3,117,3,1,5,normal,23.0902550754849,4643.1,73.92,452.996556437562,11307.601673807,0,18971.0177143601,16500.7084853201,35471.7261996802
6826,H02_saa,4,134,3,3,6,normal,28.5797589926336,2240.7,73.92,5.62283354273729,2387.75244231814,0,827.467968406196,4736.57503485351,5564.0430032597
6826,H02_saa,5,143,3,4,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
6826,H02_saa,6,184,4,2,8,post_absorb,0,0,0,0,0,0,0,0,0
6826,H02_saa,7,192,4,3,8,post_absorb,0,0,0,0,0,0,0,0,0
6826,H02_saa,8,208,4,5,8,post_absorb,0,0,0,0,0,0,0,0,0
9114,H02_saa,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,11107.665720978,2328.18791403364,13435.8536350117
9114,H02_saa,2,58,2,1,2,normal,16.6039551291283,4448.89696626677,68.0086160448424,0,0,0,6586.72302430624,4533.50953744074,11120.232561747
9114,H02_saa,3,67,2,2,3,normal,16.1170547106766,1809,28.8,0,0,0,4570.51487651724,1853.91705471068,6424.43193122791
9114,H02_saa,4,116,3,1,4,normal,22.1230547106766,2240.7,73.92,153.728609621017,4453.73677372317,0,16831.6149164991,6944.20843805486,23775.823354554
9114,H02_saa,5,134,3,3,6,normal,28.1290547106766,4835.6,73.92,190.763851698645,3080.02571987355,0,2852.65972774008,8208.43862628287,11061.098354023
9114,H02_saa,6,71,2,2,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
9114,H02_saa,7,40,1,5,8,post_absorb,0,0,0,0,0,0,0,0,0
9114,H02_saa,8,16,1,2,8,post_absorb,0,0,0,0,0,0,0,0,0
