path_id,path_type,t,k,a,loc,lf,status,holding_cost,production_electricity_cost,electrolyzer_om_cost,transport_cost,normal_shortage_cost,loh_demand_cost,theta_value,stage_cost_without_theta,stage_cost_with_theta_if_available
986,Reference_08_chi2_eta003,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,13109.2371502387,2328.18791403364,15437.4250642723
986,Reference_08_chi2_eta003,2,83,2,4,3,normal,17.0842550754849,4835.6,73.92,0,0,0,8334.8980719843,4926.60425507548,13261.5023270598
986,Reference_08_chi2_eta003,3,109,2,7,5,normal,17.5797363357885,2568.45660549932,40.890851430835,862.706978298022,0,0,3439.38757488744,3489.63417156397,6929.02174645141
986,Reference_08_chi2_eta003,4,110,2,7,6,normal,20.7634041994576,1603.14961361037,52.8874099335381,0,0,0,566.717004373503,1676.80042774337,2243.51743211687
986,Reference_08_chi2_eta003,5,111,2,7,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
986,Reference_08_chi2_eta003,6,112,2,7,8,post_absorb,0,0,0,0,0,0,0,0,0
986,Reference_08_chi2_eta003,7,104,2,6,8,post_absorb,0,0,0,0,0,0,0,0,0
986,Reference_08_chi2_eta003,8,16,1,2,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,Reference_08_chi2_eta003,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,13109.2371502387,2328.18791403364,15437.4250642723
2017,Reference_08_chi2_eta003,2,74,2,3,2,normal,16.6385876798006,4476.78060962855,68.4348628223472,0,0,0,8208.02884610403,4561.8540601307,12769.8829062347
2017,Reference_08_chi2_eta003,3,68,2,2,4,normal,17.6565046467198,2972.33959407522,47.3208293584115,350.737602503146,0,0,4809.97331679613,3388.0545305835,8198.02784737964
2017,Reference_08_chi2_eta003,4,151,3,5,7,loh_demand_stage,0,0,0,0,0,167740.737629881,0,167740.737629881,167740.737629881
2017,Reference_08_chi2_eta003,5,168,3,7,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,Reference_08_chi2_eta003,6,160,3,6,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,Reference_08_chi2_eta003,7,168,3,7,8,post_absorb,0,0,0,0,0,0,0,0,0
2017,Reference_08_chi2_eta003,8,160,3,6,8,post_absorb,0,0,0,0,0,0,0,0,0
5380,Reference_08_chi2_eta003,1,65,2,2,1,normal,13.5679140336339,2240.7,73.92,0,0,0,13109.2371502387,2328.18791403364,15437.4250642723
5380,Reference_08_chi2_eta003,2,66,2,2,2,normal,16.6458022465216,4482.58926078343,68.5236574896831,0,0,0,8275.00481717773,4567.75872051964,12842.7635376974
5380,Reference_08_chi2_eta003,3,117,3,1,5,normal,22.6518022465216,4643.1,73.92,1551.66188884257,11307.601673807,0,28281.2367395022,17598.9353648961,45880.1721043983
5380,Reference_08_chi2_eta003,4,150,3,5,6,normal,28.0865221358798,2240.7,73.92,426.530174714736,2168.61633115591,0,4177.09887226502,4937.85302800653,9114.95190027155
5380,Reference_08_chi2_eta003,5,167,3,7,7,loh_demand_stage,0,0,0,0,0,0,0,0,0
5380,Reference_08_chi2_eta003,6,112,2,7,8,post_absorb,0,0,0,0,0,0,0,0,0
5380,Reference_08_chi2_eta003,7,80,2,3,8,post_absorb,0,0,0,0,0,0,0,0,0
5380,Reference_08_chi2_eta003,8,64,2,1,8,post_absorb,0,0,0,0,0,0,0,0,0
