selection_class,path_id,class_rank,ranking_metric,ranking_value,eligibility_rule
A,6826,1,late_htt_dro,125.63799456199116,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,5380,2,late_htt_dro,119.11558717798553,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,8474,3,late_htt_dro,119.01460422027849,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,4752,4,late_htt_dro,118.27066853211632,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,8283,5,late_htt_dro,118.11321927034624,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,1369,6,late_htt_dro,117.85756008391303,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,1888,7,late_htt_dro,117.82653427091594,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,6834,8,late_htt_dro,117.61039873137778,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,5736,9,late_htt_dro,117.35473954494458,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,8513,10,late_htt_dro,117.1014979885713,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,6490,11,late_htt_dro,114.9167580920198,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,4344,12,late_htt_dro,114.55660469853802,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,5368,13,late_htt_dro,112.94520714716465,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,3410,14,late_htt_dro,112.71468890462818,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,5067,15,late_htt_dro,112.71468890462818,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,5649,16,late_htt_dro,112.71468890462818,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,9361,17,late_htt_dro,112.71468890462818,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,7173,18,late_htt_dro,112.22001679715402,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,8724,19,late_htt_dro,112.22001679715402,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
A,3203,20,late_htt_dro,111.7304475891777,terminal-hit; DRO terminal gap zero; rank late-stage HTT descending
B,4737,1,focus_htt_dro,85.1576577124644,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,5380,2,focus_htt_dro,85.1576577124644,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,5422,3,focus_htt_dro,85.1576577124644,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,6826,4,focus_htt_dro,85.1576577124644,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,6885,5,focus_htt_dro,85.1576577124644,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,7134,6,focus_htt_dro,85.1576577124644,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,7691,7,focus_htt_dro,85.1576577124644,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,3318,8,focus_htt_dro,84.8301003476229,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,185,9,focus_htt_dro,78.9542614544412,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,1734,10,focus_htt_dro,78.9542614544412,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,4609,11,focus_htt_dro,78.9542614544412,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,5025,12,focus_htt_dro,78.9542614544412,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,5865,13,focus_htt_dro,78.9542614544412,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,6228,14,focus_htt_dro,78.9542614544412,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,7399,15,focus_htt_dro,78.9542614544412,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,7728,16,focus_htt_dro,78.9542614544412,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,9460,17,focus_htt_dro,78.9542614544412,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,9859,18,focus_htt_dro,78.9542614544412,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,5541,19,focus_htt_dro,78.63867306775407,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
B,1021,20,focus_htt_dro,78.5089507213196,"terminal-hit; rank stage3+ flow on 3->1,2->4,2->1 descending"
C,986,1,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,1401,2,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,1561,3,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,1767,4,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,2070,5,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,2217,6,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,2319,7,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,2606,8,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,3363,9,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,3783,10,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,4167,11,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,4345,12,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,5295,13,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,6592,14,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,7667,15,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
