tau,stage,hour_in_stage,constrained_status,constrained_feasible,diagnostic_status,min_voltage_pu,min_voltage_bus,max_voltage_pu,max_true_branch_s_mva,max_true_branch_utilization,tight_branch_from,tight_branch_to,slack_p_kw,slack_q_kvar
1,1,1,INFEASIBLE,0,OPTIMAL,0.934819904639515,18,1,3.42138506247874,0.570230843746456,1,2,2909.00103,1800.9966
2,1,2,INFEASIBLE,0,OPTIMAL,0.938707313677102,18,1,3.22379428791567,0.537299047985945,1,2,2741.0013,1696.986
3,1,3,INFEASIBLE,0,OPTIMAL,0.939976499462418,18,1,3.15910605171634,0.526517675286056,1,2,2686.000725,1662.9345
4,1,4,INFEASIBLE,0,OPTIMAL,0.941266987498855,18,1,3.09324246019531,0.515540410032552,1,2,2630.000815,1628.2643
5,1,5,INFEASIBLE,0,OPTIMAL,0.942049629506017,18,1,3.05325416315402,0.508875693859004,1,2,2596.001135,1607.2147
6,1,6,INFEASIBLE,0,OPTIMAL,0.943842670248739,18,1,2.96151527715327,0.493585879525545,1,2,2518.000995,1558.9239
7,1,7,INFEASIBLE,0,OPTIMAL,0.945127879387662,18,1,2.89565168563225,0.482608614272041,1,2,2462.001085,1524.2537
8,1,8,INFEASIBLE,0,OPTIMAL,0.941266987498855,18,1,3.09324246019531,0.515540410032552,1,2,2630.000815,1628.2643
9,2,1,INFEASIBLE,0,OPTIMAL,0.933695183382614,18,1,3.49001019097837,0.581668365163062,1,2,2964.025855,1842.4771
10,2,2,INFEASIBLE,0,OPTIMAL,0.934506838151662,18,1,3.47082660621506,0.578471101035844,1,2,2941.413855,1842.4771
11,2,3,INFEASIBLE,0,OPTIMAL,0.932348215697739,18,1,3.62045027682417,0.603408379470696,1,2,3057.01027,1939.6774
12,2,4,INFEASIBLE,0,OPTIMAL,0.932029559840564,18,1,3.69865614117145,0.616442690195241,1,2,3105.46369,2009.0178
13,2,5,INFEASIBLE,0,OPTIMAL,0.931940611513906,33,1,3.73411946633581,0.622353244389301,1,2,3125.218,2043.688
14,2,6,INFEASIBLE,0,OPTIMAL,0.93136217871749,33,1,3.77598811848273,0.629331353080456,1,2,3133.996105,2106.2181
15,2,7,INFEASIBLE,0,OPTIMAL,0.934351791079408,33,1,3.62379850356587,0.603966417260978,1,2,2992.5332,2043.688
16,2,8,INFEASIBLE,0,OPTIMAL,0.933579509550005,33,1,3.65900271030544,0.609833785050907,1,2,3035.0684,2043.688
17,3,1,INFEASIBLE,0,OPTIMAL,0.933475249017343,33,1,3.65851472983338,0.60975245497223,1,2,3048.55112,2022.6384
18,3,2,INFEASIBLE,0,OPTIMAL,0.934719750392014,18,1,3.5648728686945,0.594145478115749,1,2,2990.98147,1939.6774
19,3,3,INFEASIBLE,0,OPTIMAL,0.929315773171461,18,1,3.74073835966949,0.623456393278249,1,2,3168.77041,1987.9682
20,3,4,INFEASIBLE,0,OPTIMAL,0.918067572956939,18,1,4.26349874969047,0.710583124948412,1,2,3625.00041,2244.2802
21,3,5,INFEASIBLE,0,OPTIMAL,0.915940163768486,18,1,4.36935063825278,0.728225106375464,1,2,3715,2300
22,3,6,INFEASIBLE,0,OPTIMAL,0.918067572956939,18,1,4.26349874969047,0.710583124948412,1,2,3625.00041,2244.2802
23,3,7,INFEASIBLE,0,OPTIMAL,0.919105863079785,18,1,4.211748160731,0.701958026788501,1,2,3580.99995,2217.039
24,3,8,INFEASIBLE,0,OPTIMAL,0.925685799078383,18,1,3.88243020312589,0.647071700520982,1,2,3301.0004,2043.688
25,4,1,INFEASIBLE,0,OPTIMAL,0.934819904639515,18,1,3.42138506247874,0.570230843746456,1,2,2909.00103,1800.9966
26,4,2,INFEASIBLE,0,OPTIMAL,0.938707313677102,18,1,3.22379428791567,0.537299047985945,1,2,2741.0013,1696.986
27,4,3,INFEASIBLE,0,OPTIMAL,0.939976499462418,18,1,3.15910605171634,0.526517675286056,1,2,2686.000725,1662.9345
28,4,4,INFEASIBLE,0,OPTIMAL,0.941266987498855,18,1,3.09324246019531,0.515540410032552,1,2,2630.000815,1628.2643
29,4,5,INFEASIBLE,0,OPTIMAL,0.942049629506017,18,1,3.05325416315402,0.508875693859004,1,2,2596.001135,1607.2147
30,4,6,INFEASIBLE,0,OPTIMAL,0.943842670248739,18,1,2.96151527715327,0.493585879525545,1,2,2518.000995,1558.9239
31,4,7,INFEASIBLE,0,OPTIMAL,0.945127879387662,18,1,2.89565168563225,0.482608614272041,1,2,2462.001085,1524.2537
32,4,8,INFEASIBLE,0,OPTIMAL,0.941266987498855,18,1,3.09324246019531,0.515540410032552,1,2,2630.000815,1628.2643
33,5,1,INFEASIBLE,0,OPTIMAL,0.933695183382614,18,1,3.49001019097837,0.581668365163062,1,2,2964.025855,1842.4771
34,5,2,INFEASIBLE,0,OPTIMAL,0.934506838151662,18,1,3.47082660621506,0.578471101035844,1,2,2941.413855,1842.4771
35,5,3,INFEASIBLE,0,OPTIMAL,0.932348215697739,18,1,3.62045027682417,0.603408379470696,1,2,3057.01027,1939.6774
36,5,4,INFEASIBLE,0,OPTIMAL,0.932029559840564,18,1,3.69865614117145,0.616442690195241,1,2,3105.46369,2009.0178
37,5,5,INFEASIBLE,0,OPTIMAL,0.931940611513906,33,1,3.73411946633581,0.622353244389301,1,2,3125.218,2043.688
38,5,6,INFEASIBLE,0,OPTIMAL,0.93136217871749,33,1,3.77598811848273,0.629331353080456,1,2,3133.996105,2106.2181
39,5,7,INFEASIBLE,0,OPTIMAL,0.934351791079408,33,1,3.62379850356587,0.603966417260978,1,2,2992.5332,2043.688
40,5,8,INFEASIBLE,0,OPTIMAL,0.933579509550005,33,1,3.65900271030544,0.609833785050907,1,2,3035.0684,2043.688
41,6,1,INFEASIBLE,0,OPTIMAL,0.933475249017343,33,1,3.65851472983338,0.60975245497223,1,2,3048.55112,2022.6384
42,6,2,INFEASIBLE,0,OPTIMAL,0.934719750392014,18,1,3.5648728686945,0.594145478115749,1,2,2990.98147,1939.6774
43,6,3,INFEASIBLE,0,OPTIMAL,0.929315773171461,18,1,3.74073835966949,0.623456393278249,1,2,3168.77041,1987.9682
44,6,4,INFEASIBLE,0,OPTIMAL,0.918067572956939,18,1,4.26349874969047,0.710583124948412,1,2,3625.00041,2244.2802
45,6,5,INFEASIBLE,0,OPTIMAL,0.915940163768486,18,1,4.36935063825278,0.728225106375464,1,2,3715,2300
46,6,6,INFEASIBLE,0,OPTIMAL,0.918067572956939,18,1,4.26349874969047,0.710583124948412,1,2,3625.00041,2244.2802
47,6,7,INFEASIBLE,0,OPTIMAL,0.919105863079785,18,1,4.211748160731,0.701958026788501,1,2,3580.99995,2217.039
48,6,8,INFEASIBLE,0,OPTIMAL,0.925685799078383,18,1,3.88243020312589,0.647071700520982,1,2,3301.0004,2043.688
