tau,stage,hour_in_stage,bus,load_multiplier,p_base_kw,p_load_kw,q_load_kvar
1,1,1,1,0.783042,0,0,0
1,1,1,2,0.783042,100,78.3042,46.98252
1,1,1,3,0.783042,90,70.47378,31.32168
1,1,1,4,0.783042,120,93.96504,62.64336
1,1,1,5,0.783042,60,46.98252,23.49126
1,1,1,6,0.783042,60,46.98252,15.66084
1,1,1,7,0.783042,200,156.6084,78.3042
1,1,1,8,0.783042,200,156.6084,78.3042
1,1,1,9,0.783042,60,46.98252,15.66084
1,1,1,10,0.783042,60,46.98252,15.66084
1,1,1,11,0.783042,45,35.23689,23.49126
1,1,1,12,0.783042,60,46.98252,27.40647
1,1,1,13,0.783042,60,46.98252,27.40647
1,1,1,14,0.783042,120,93.96504,62.64336
1,1,1,15,0.783042,60,46.98252,7.83042
1,1,1,16,0.783042,60,46.98252,15.66084
1,1,1,17,0.783042,60,46.98252,15.66084
1,1,1,18,0.783042,90,70.47378,31.32168
1,1,1,19,0.783042,90,70.47378,31.32168
1,1,1,20,0.783042,90,70.47378,31.32168
1,1,1,21,0.783042,90,70.47378,31.32168
1,1,1,22,0.783042,90,70.47378,31.32168
1,1,1,23,0.783042,90,70.47378,39.1521
1,1,1,24,0.783042,420,328.87764,156.6084
1,1,1,25,0.783042,420,328.87764,156.6084
1,1,1,26,0.783042,60,46.98252,19.57605
1,1,1,27,0.783042,60,46.98252,19.57605
1,1,1,28,0.783042,60,46.98252,15.66084
1,1,1,29,0.783042,120,93.96504,54.81294
1,1,1,30,0.783042,200,156.6084,469.8252
1,1,1,31,0.783042,150,117.4563,54.81294
1,1,1,32,0.783042,210,164.43882,78.3042
1,1,1,33,0.783042,60,46.98252,31.32168
2,1,2,1,0.73782,0,0,0
2,1,2,2,0.73782,100,73.782,44.2692
2,1,2,3,0.73782,90,66.4038,29.5128
2,1,2,4,0.73782,120,88.5384,59.0256
2,1,2,5,0.73782,60,44.2692,22.1346
2,1,2,6,0.73782,60,44.2692,14.7564
2,1,2,7,0.73782,200,147.564,73.782
2,1,2,8,0.73782,200,147.564,73.782
2,1,2,9,0.73782,60,44.2692,14.7564
2,1,2,10,0.73782,60,44.2692,14.7564
2,1,2,11,0.73782,45,33.2019,22.1346
2,1,2,12,0.73782,60,44.2692,25.8237
2,1,2,13,0.73782,60,44.2692,25.8237
2,1,2,14,0.73782,120,88.5384,59.0256
2,1,2,15,0.73782,60,44.2692,7.3782
2,1,2,16,0.73782,60,44.2692,14.7564
2,1,2,17,0.73782,60,44.2692,14.7564
2,1,2,18,0.73782,90,66.4038,29.5128
2,1,2,19,0.73782,90,66.4038,29.5128
2,1,2,20,0.73782,90,66.4038,29.5128
2,1,2,21,0.73782,90,66.4038,29.5128
2,1,2,22,0.73782,90,66.4038,29.5128
2,1,2,23,0.73782,90,66.4038,36.891
2,1,2,24,0.73782,420,309.8844,147.564
2,1,2,25,0.73782,420,309.8844,147.564
2,1,2,26,0.73782,60,44.2692,18.4455
2,1,2,27,0.73782,60,44.2692,18.4455
2,1,2,28,0.73782,60,44.2692,14.7564
2,1,2,29,0.73782,120,88.5384,51.6474
2,1,2,30,0.73782,200,147.564,442.692
2,1,2,31,0.73782,150,110.673,51.6474
2,1,2,32,0.73782,210,154.9422,73.782
2,1,2,33,0.73782,60,44.2692,29.5128
3,1,3,1,0.723015,0,0,0
3,1,3,2,0.723015,100,72.3015,43.3809
3,1,3,3,0.723015,90,65.07135,28.9206
3,1,3,4,0.723015,120,86.7618,57.8412
3,1,3,5,0.723015,60,43.3809,21.69045
3,1,3,6,0.723015,60,43.3809,14.4603
3,1,3,7,0.723015,200,144.603,72.3015
3,1,3,8,0.723015,200,144.603,72.3015
3,1,3,9,0.723015,60,43.3809,14.4603
3,1,3,10,0.723015,60,43.3809,14.4603
3,1,3,11,0.723015,45,32.535675,21.69045
3,1,3,12,0.723015,60,43.3809,25.305525
3,1,3,13,0.723015,60,43.3809,25.305525
3,1,3,14,0.723015,120,86.7618,57.8412
3,1,3,15,0.723015,60,43.3809,7.23015
