tau,stage,hour_in_stage,site_id,electrical_bus,pv_capacity_kw,pv_profile,pv_available_kw
1,1,1,1,24,200,0,0
1,1,1,2,14,200,0,0
1,1,1,3,18,200,0,0
1,1,1,4,31,200,0,0
2,1,2,1,24,200,0,0
2,1,2,2,14,200,0,0
2,1,2,3,18,200,0,0
2,1,2,4,31,200,0,0
3,1,3,1,24,200,0,0
3,1,3,2,14,200,0,0
3,1,3,3,18,200,0,0
3,1,3,4,31,200,0,0
4,1,4,1,24,200,0,0
4,1,4,2,14,200,0,0
4,1,4,3,18,200,0,0
4,1,4,4,31,200,0,0
5,1,5,1,24,200,0,0
5,1,5,2,14,200,0,0
5,1,5,3,18,200,0,0
5,1,5,4,31,200,0,0
6,1,6,1,24,200,0,0
6,1,6,2,14,200,0,0
6,1,6,3,18,200,0,0
6,1,6,4,31,200,0,0
7,1,7,1,24,200,0,0
7,1,7,2,14,200,0,0
7,1,7,3,18,200,0,0
7,1,7,4,31,200,0,0
8,1,8,1,24,200,0,0
8,1,8,2,14,200,0,0
8,1,8,3,18,200,0,0
8,1,8,4,31,200,0,0
9,2,1,1,24,200,0.014969,2.9938
9,2,1,2,14,200,0.014969,2.9938
9,2,1,3,18,200,0.014969,2.9938
9,2,1,4,31,200,0.014969,2.9938
10,2,2,1,24,200,0.043234,8.6468
10,2,2,2,14,200,0.043234,8.6468
10,2,2,3,18,200,0.043234,8.6468
10,2,2,4,31,200,0.043234,8.6468
11,2,3,1,24,200,0.094988,18.9976
11,2,3,2,14,200,0.094988,18.9976
11,2,3,3,18,200,0.094988,18.9976
11,2,3,4,31,200,0.094988,18.9976
12,2,4,1,24,200,0.174421,34.8842
12,2,4,2,14,200,0.174421,34.8842
12,2,4,3,18,200,0.174421,34.8842
12,2,4,4,31,200,0.174421,34.8842
13,2,5,1,24,200,0.219728,43.9456
13,2,5,2,14,200,0.219728,43.9456
13,2,5,3,18,200,0.219728,43.9456
13,2,5,4,31,200,0.219728,43.9456
14,2,6,1,24,200,0.335005,67.001
14,2,6,2,14,200,0.335005,67.001
14,2,6,3,18,200,0.335005,67.001
14,2,6,4,31,200,0.335005,67.001
15,2,7,1,24,200,0.385584,77.1168
15,2,7,2,14,200,0.385584,77.1168
15,2,7,3,18,200,0.385584,77.1168
15,2,7,4,31,200,0.385584,77.1168
16,2,8,1,24,200,0.332415,66.483
16,2,8,2,14,200,0.332415,66.483
16,2,8,3,18,200,0.332415,66.483
16,2,8,4,31,200,0.332415,66.483
17,3,1,1,24,200,0.273062,54.6124
17,3,1,2,14,200,0.273062,54.6124
