tau,stage,bus,v_sq,v_pu,lower_margin_pu,below_0p95,diagnostic_class
1,1,1,1,1,-0.05,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,2,0.995581143570375,0.997788125590987,-0.047788125590987,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,3,0.974797784367527,0.987318481730959,-0.0373184817309595,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,4,0.963908902438999,0.981788624113663,-0.0317886241136628,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,5,0.953169211987863,0.976303852285682,-0.0263038522856823,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,6,0.926499665905865,0.962548526520022,-0.0125485265200216,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,7,0.921449639192179,0.959921683884774,-0.00992168388477355,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,8,0.914425459961254,0.956255959438295,-0.00625595943829516,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,9,0.905390525319924,0.951520112935047,-0.00152011293504672,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,10,0.897043971304216,0.947124052753501,0.0028759472464992,1,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,11,0.895806322543631,0.946470455187921,0.00352954481207857,1,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,12,0.893650249934301,0.945330762185544,0.00466923781445638,1,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,13,0.884881824612542,0.940681574504647,0.00931842549535267,1,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,14,0.881633713577375,0.938953520456351,0.0110464795436488,1,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,15,0.879611955802393,0.937876300906678,0.0121236990933223,1,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,16,0.877654560883066,0.936832194623491,0.0131678053765091,1,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,17,0.874756326995687,0.93528408892469,0.01471591107531,1,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,18,0.873888254110233,0.934819904639515,0.0151800953604846,1,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,19,0.994759581568923,0.997376349012208,-0.0473763490122084,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,20,0.989201902236024,0.994586297028078,-0.0445862970280777,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,21,0.988107704376287,0.994036067945367,-0.0440360679453674,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,22,0.987117950810479,0.993538097312065,-0.0435380973120654,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
1,1,23,0.969342028360474,0.984551689024235,-0.0345516890242351,0,RELAXED_DIAGNOSTIC_FOR_BASE_GATE
