method,field_order,field,class_and_first_path_size
saa,1,method,string [1 1]
saa,2,path_id,double [1 1]
saa,3,state_sequence,double [1 8]
saa,4,global_hour,double [1 24]
saa,5,stage,double [1 24]
saa,6,markov_state,double [1 24]
saa,7,p_el_kw,double [4 24]
saa,8,h2_production_kg,double [4 24]
saa,9,pv_available_kw,double [4 24]
saa,10,pv_utilized_kw,double [4 24]
saa,11,pv_curtailed_kw,double [4 24]
saa,12,grid_import_kw,double [1 24]
saa,13,bus_voltage_pu,double [33 24]
saa,14,branch_p_kw,double [32 24]
saa,15,branch_q_kvar,double [32 24]
saa,16,branch_true_s_mva,double [32 24]
saa,17,site_electrical_bus,double [1 4]
saa,18,branch_from,double [1 32]
saa,19,branch_to,double [1 32]
chi2_eta003,1,method,string [1 1]
chi2_eta003,2,path_id,double [1 1]
chi2_eta003,3,state_sequence,double [1 8]
chi2_eta003,4,global_hour,double [1 24]
chi2_eta003,5,stage,double [1 24]
chi2_eta003,6,markov_state,double [1 24]
chi2_eta003,7,p_el_kw,double [4 24]
chi2_eta003,8,h2_production_kg,double [4 24]
chi2_eta003,9,pv_available_kw,double [4 24]
chi2_eta003,10,pv_utilized_kw,double [4 24]
chi2_eta003,11,pv_curtailed_kw,double [4 24]
chi2_eta003,12,grid_import_kw,double [1 24]
chi2_eta003,13,bus_voltage_pu,double [33 24]
chi2_eta003,14,branch_p_kw,double [32 24]
chi2_eta003,15,branch_q_kvar,double [32 24]
chi2_eta003,16,branch_true_s_mva,double [32 24]
chi2_eta003,17,site_electrical_bus,double [1 4]
chi2_eta003,18,branch_from,double [1 32]
chi2_eta003,19,branch_to,double [1 32]
