method,branch_index,from_bus,to_bus,observed_hour_records,true_mva_mean,true_mva_q95,true_mva_q99,true_mva_q995,true_mva_max,utilization_mean,utilization_q95,utilization_q99,utilization_q995,utilization_max,unit_note
chi2_eta003,1,1,2,284328,4.04572639862236,4.80888601334955,4.875916901539,4.87591690153901,4.95640698938082,0.674287733103732,0.801481002224925,0.812652816923167,0.812652816923168,0.82606783156347,MVA/MVA
chi2_eta003,2,2,3,284328,3.63323816542433,4.31176858589234,4.37865511311041,4.37865511311041,4.44688258520566,0.605539694237392,0.718628097648723,0.729775852185069,0.729775852185069,0.741147097534276,MVA/MVA
chi2_eta003,3,3,4,284328,2.50511125317163,2.97406557971293,3.01448017373169,3.01448017373169,3.07011975556325,0.417518542195273,0.495677596618822,0.502413362288615,0.502413362288616,0.511686625927208,MVA/MVA
chi2_eta003,4,4,5,284328,2.38850275970056,2.83520393676171,2.8739176534857,2.8739176534857,2.92604160814829,0.398083793283427,0.472533989460286,0.47898627558095,0.47898627558095,0.487673601358048,MVA/MVA
chi2_eta003,5,5,6,284328,2.33438607865735,2.76971913381119,2.80864735122848,2.80864735122848,2.85917148526853,0.389064346442893,0.461619855635198,0.468107891871413,0.468107891871413,0.476528580878088,MVA/MVA
chi2_eta003,6,6,7,284328,1.16984927948116,1.3719818539825,1.39449031064499,1.39687015244416,1.43890898979473,0.194974879913526,0.228663642330417,0.232415051774165,0.232811692074026,0.239818164965788,MVA/MVA
chi2_eta003,7,7,8,284328,0.989928382201471,1.15713326127007,1.17917756138425,1.17917756138425,1.2200309313373,0.164988063700246,0.192855543545012,0.196529593564042,0.196529593564042,0.203338488556216,MVA/MVA
chi2_eta003,8,8,9,284328,0.810520077992069,0.960138664483917,0.965590656641423,0.965590656641423,1.00406540875045,0.135086679665345,0.160023110747319,0.160931776106904,0.160931776106904,0.167344234791742,MVA/MVA
chi2_eta003,9,9,10,284328,0.759424718516697,0.903969455090779,0.904628019133293,0.904628019133293,0.942360178485256,0.12657078641945,0.150661575848463,0.150771336522216,0.150771336522216,0.157060029747543,MVA/MVA
chi2_eta003,10,10,11,284328,0.708360625330003,0.843665619880313,0.84780399115956,0.84780399115956,0.880656088455036,0.118060104221668,0.140610936646719,0.14130066519326,0.14130066519326,0.146776014742506,MVA/MVA
chi2_eta003,11,11,12,284328,0.666224693474534,0.793609237452938,0.802036460606823,0.802036460606823,0.83013166596092,0.111037448912423,0.132268206242156,0.13367274343447,0.13367274343447,0.138355277660153,MVA/MVA
chi2_eta003,12,12,13,284328,0.611553796673834,0.728613612645239,0.742541091837374,0.742541091837374,0.764501362009325,0.101925632778973,0.12143560210754,0.123756848639562,0.123756848639562,0.127416893668221,MVA/MVA
chi2_eta003,13,13,14,284328,0.557172339286999,0.664007812737581,0.683440642720054,0.683440642720054,0.699281190919116,0.0928620565478331,0.110667968789597,0.113906773786676,0.113906773786676,0.116546865153186,MVA/MVA
chi2_eta003,14,14,15,284328,0.305138801682904,0.341005646373319,0.36868867186503,0.36868867186503,0.40024992192379,0.0508564669471504,0.0568342743955531,0.0614481119775051,0.0614481119775051,0.0667083203206317,MVA/MVA
chi2_eta003,15,15,16,284328,0.256209303005683,0.292343190102596,0.314730260885095,0.314730260885095,0.339558536926993,0.0427015505009469,0.0487238650170993,0.0524550434808492,0.0524550434808492,0.0565930894878321,MVA/MVA
chi2_eta003,16,16,17,284328,0.205267076937809,0.242059603393958,0.258834164284702,0.258834164284702,0.276586333718787,0.0342111794896348,0.0403432672323264,0.0431390273807836,0.0431390273807836,0.0460977222864644,MVA/MVA
chi2_eta003,17,17,18,284328,0.154716394734834,0.193031884686211,0.203104463451496,0.203104463451496,0.21377558326432,0.0257860657891393,0.0321719807810352,0.0338507439085826,0.0338507439085826,0.0356292638773866,MVA/MVA
chi2_eta003,18,2,19,284328,0.319211914733096,0.384410374907592,0.393954312071844,0.393954312071844,0.393954312071844,0.0532019857888497,0.0640683958179319,0.065659052011974,0.065659052011974,0.065659052011974,MVA/MVA
chi2_eta003,19,19,20,284328,0.239408936049823,0.288307781180694,0.295465734053883,0.295465734053883,0.295465734053883,0.039901489341637,0.048051296863449,0.0492442890089805,0.0492442890089805,0.0492442890089805,MVA/MVA
