method,bus,global_hour,observed_records,mean_voltage_pu,q01_voltage_pu,q05_voltage_pu,q50_voltage_pu,minimum_voltage_pu,lower_bound_hit_frequency,lower_bound_hit_count,unit_note
chi2_eta003,1,1,10000,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,2,10000,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,3,10000,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,4,10000,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,5,10000,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,6,10000,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,7,10000,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,8,10000,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,9,8914,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,10,8914,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,11,8914,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,12,8914,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,13,8914,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,14,8914,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,15,8914,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,16,8914,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,17,7936,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,18,7936,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,19,7936,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,20,7936,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,21,7936,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,22,7936,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,23,7936,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,24,7936,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,25,5788,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,26,5788,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,27,5788,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,28,5788,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,29,5788,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,30,5788,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,31,5788,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,32,5788,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,33,2476,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,34,2476,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,35,2476,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,36,2476,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,37,2476,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,38,2476,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,39,2476,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,40,2476,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,41,427,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,42,427,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,43,427,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,44,427,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,45,427,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,46,427,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,47,427,1,1,1,1,1,0,0,p.u.
chi2_eta003,1,48,427,1,1,1,1,1,0,0,p.u.
chi2_eta003,2,1,10000,0.997344095350997,0.997344095350982,0.997344095350982,0.997344095350982,0.997344095350982,0,0,p.u.
chi2_eta003,2,2,10000,0.997472025153914,0.997472025153933,0.997472025153933,0.997472025153933,0.997472025153933,0,0,p.u.
chi2_eta003,2,3,10000,0.997513903874908,0.997513903874905,0.997513903874905,0.997513903874905,0.997513903874905,0,0,p.u.
chi2_eta003,2,4,10000,0.997556541706529,0.99755654170653,0.99755654170653,0.99755654170653,0.99755654170653,0,0,p.u.
chi2_eta003,2,5,10000,0.997582427870346,0.997582427870302,0.997582427870302,0.997582427870302,0.997582427870302,0,0,p.u.
chi2_eta003,2,6,10000,0.997641811902945,0.997641811902935,0.997641811902935,0.997641811902935,0.997641811902935,0,0,p.u.
chi2_eta003,2,7,10000,0.997684444268133,0.997684444268182,0.997684444268182,0.997684444268182,0.997684444268182,0,0,p.u.
chi2_eta003,2,8,10000,0.997556541706529,0.99755654170653,0.99755654170653,0.99755654170653,0.99755654170653,0,0,p.u.
chi2_eta003,2,9,8914,0.997299978566091,0.997299978566055,0.997299978566055,0.997299978566055,0.997299978566055,0,0,p.u.
chi2_eta003,2,10,8914,0.997313021456196,0.997313021456214,0.997313021456214,0.997313021456214,0.997313021456214,0,0,p.u.
chi2_eta003,2,11,8914,0.99721733386515,0.997217333865188,0.997217333865188,0.997217333865188,0.997217333865188,0,0,p.u.
chi2_eta003,2,12,8914,0.997168687483481,0.997168687483474,0.997168687483474,0.997168687483474,0.997168687483474,0,0,p.u.
chi2_eta003,2,13,8914,0.997153797331973,0.997146943556173,0.997146943556173,0.997146943556173,0.997146943556173,0,0,p.u.
