method,bus,observed_hour_records,mean_voltage_pu,q01_voltage_pu,q05_voltage_pu,q50_voltage_pu,minimum_voltage_pu,lower_bound_hit_frequency,lower_bound_hit_count,minimum_bus_frequency,unit_note
saa,1,284328,1,1,1,1,1,0,0,0,p.u.
saa,2,284328,0.997403876680336,0.996836939327739,0.997016862762584,0.997382037517924,0.996784681345933,0,0,0,p.u.
saa,3,284328,0.984900565337833,0.981557885942012,0.982695177727947,0.984888503806045,0.981265833173402,0,0,0,p.u.
saa,4,284328,0.978464151829045,0.973675036917557,0.975333823580352,0.978692814963362,0.97327389526226,0,0,0,p.u.
saa,5,284328,0.972035120010042,0.965784714025689,0.967912211295263,0.972545138478371,0.96527783591913,0,0,0,p.u.
saa,6,284328,0.956130277255508,0.946245427575739,0.949624833748259,0.957045742688954,0.945444571961547,0,0,0,p.u.
saa,7,284328,0.953154805749326,0.942599987530806,0.94620783906962,0.95416490297025,0.941748147412152,0,0,0,p.u.
saa,8,284328,0.948424985434684,0.93674404367608,0.940477459979331,0.949259257060118,0.935904864127783,0,0,0,p.u.
saa,9,284328,0.942157786180586,0.928961636768686,0.93280893514316,0.943469210488248,0.92816060320113,0,0,0,p.u.
saa,10,284328,0.936215350394009,0.921561823992759,0.925477378248652,0.93716305228961,0.920813376891495,0,0,0,p.u.
saa,11,284328,0.935275932775574,0.920386598229176,0.924293732034869,0.936133946951405,0.919654088246171,0,0,0,p.u.
saa,12,284328,0.933595594873524,0.918280674186161,0.922159024440038,0.934270277264177,0.917582114160544,0,0,0,p.u.
saa,13,284328,0.926800663358847,0.909761025700358,0.913545487779851,0.926770089653105,0.909191570706142,0,0,0,p.u.
saa,14,284328,0.92427324518467,0.906588580612909,0.910338880106468,0.923981065440649,0.906067125065814,0,0,0,p.u.
saa,15,284328,0.922872528731825,0.904979195210208,0.908591053989314,0.92249079196391,0.904537498895517,0,0,0,p.u.
saa,16,284328,0.921435286324417,0.903353720237221,0.906751904721576,0.920904116980308,0.903023495052563,0,0,0,p.u.
saa,17,284328,0.919219173177805,0.90087311841606,0.90386949229449,0.918399781369966,0.90074467709348,0,0,0,p.u.
saa,18,284328,0.918396658707284,0.9,0.902717507319239,0.917366076845495,0.9,0.0422258799696126,12006,0.876600264483273,p.u.
saa,19,284328,0.996977599922353,0.996323295214344,0.996509546492422,0.996932135368309,0.996258253767793,0,0,0,p.u.
saa,20,284328,0.994089060245836,0.992841631051608,0.993012397068959,0.994044441497082,0.992689759557041,0,0,0,p.u.
saa,21,284328,0.993519358746362,0.992154720269796,0.992325287954247,0.993472543930286,0.991985680690933,0,0,0,p.u.
saa,22,284328,0.993003750956151,0.991532967165396,0.991701395552974,0.992962811993926,0.991348377418608,0,0,0,p.u.
saa,23,284328,0.981360699004827,0.977224743154629,0.978409244248196,0.981069102325955,0.976845002359453,0,0,0,p.u.
saa,24,284328,0.974657120638296,0.969003652767402,0.97027724667225,0.974247247050156,0.968458702953408,0,0,0,p.u.
saa,25,284328,0.971973524619621,0.965752858632793,0.967044671634002,0.97132849360612,0.965125179421714,0,0,0,p.u.
saa,26,284328,0.954481500530907,0.944208845035732,0.947759153708816,0.955334900179978,0.943360598493633,0,0,0,p.u.
saa,27,284328,0.952278453578834,0.941484264581176,0.945262582997561,0.952982467990963,0.940572775884132,0,0,0,p.u.
saa,28,284328,0.942532528502665,0.92944214693892,0.93410074736723,0.942547939329723,0.928244086026808,0,0,0,p.u.
saa,29,284328,0.935440758963882,0.920654277284828,0.925591957968156,0.934956285399865,0.91924555711219,0,0,0,p.u.
saa,30,284328,0.932243830307804,0.91666439675678,0.922037310492042,0.931551705119012,0.915162987803426,0,0,0,p.u.
saa,31,284328,0.928228172118213,0.911594360744448,0.917593641030727,0.927317950516878,0.909983024065746,0,0,0,p.u.
saa,32,284328,0.927494756842497,0.910695650184011,0.916678634285181,0.926521779572548,0.909060356952583,0,0,0,p.u.
saa,33,284328,0.927267427166175,0.910417052399762,0.916394982622865,0.926274989396842,0.908774327434581,0,0,0.123399735516727,p.u.
