method,branch_index,from_bus,to_bus,observed_hour_records,true_mva_mean,true_mva_q95,true_mva_q99,true_mva_q995,true_mva_max,utilization_mean,utilization_q95,utilization_q99,utilization_q995,utilization_max,unit_note
saa,1,1,2,284328,4.00671073711854,4.60045894715093,4.875916901539,4.875916901539,4.95640698938082,0.667785122853095,0.766743157858488,0.812652816923167,0.812652816923167,0.82606783156347,MVA/MVA
saa,2,2,3,284328,3.59439331951694,4.10983451970964,4.37865511311041,4.37865511311041,4.44688258520566,0.599065553252827,0.684972419951607,0.729775852185069,0.729775852185069,0.741147097534276,MVA/MVA
saa,3,3,4,284328,2.47576934147833,2.83330782835659,3.01448017373169,3.01448017373169,3.06015959177741,0.412628223579723,0.472217971392765,0.502413362288615,0.502413362288615,0.510026598629569,MVA/MVA
saa,4,4,5,284328,2.35915627807343,2.70544982388414,2.8739176534857,2.8739176534857,2.91606875072344,0.393192713012239,0.45090830398069,0.47898627558095,0.47898627558095,0.486011458453907,MVA/MVA
saa,5,5,6,284328,2.30509720191759,2.64593645094097,2.80864735122848,2.80864735122848,2.84920990361276,0.384182866986266,0.440989408490161,0.468107891871413,0.468107891871413,0.474868317268793,MVA/MVA
saa,6,6,7,284328,1.14420110470394,1.3533289333445,1.39449031064499,1.39449031064499,1.43890898979473,0.190700184117323,0.225554822224083,0.232415051774165,0.232415051774165,0.239818164965788,MVA/MVA
saa,7,7,8,284328,0.964177610537335,1.15637614328218,1.17917756138425,1.17917756138425,1.2200309313373,0.160696268422889,0.192729357213696,0.196529593564042,0.196529593564042,0.203338488556216,MVA/MVA
saa,8,8,9,284328,0.784623649337254,0.960138664483917,0.965590656641423,0.965590656641423,1.00406540875045,0.130770608222876,0.160023110747319,0.160931776106904,0.160931776106904,0.167344234791742,MVA/MVA
saa,9,9,10,284328,0.733603593325698,0.903969455090779,0.904628019133293,0.904628019133293,0.942360178485255,0.122267265554283,0.150661575848463,0.150771336522216,0.150771336522216,0.157060029747543,MVA/MVA
saa,10,10,11,284328,0.682633023369763,0.843665619880312,0.84780399115956,0.84780399115956,0.880656088455035,0.113772170561628,0.140610936646719,0.14130066519326,0.14130066519326,0.146776014742506,MVA/MVA
saa,11,11,12,284328,0.640345866547756,0.793609237452937,0.802036460606823,0.802036460606823,0.830131665960919,0.106724311091293,0.132268206242156,0.13367274343447,0.13367274343447,0.138355277660153,MVA/MVA
saa,12,12,13,284328,0.585527417906639,0.728613612645239,0.742541091837374,0.742541091837374,0.764501362009324,0.09758790298444,0.12143560210754,0.123756848639562,0.123756848639562,0.127416893668221,MVA/MVA
saa,13,13,14,284328,0.530970784845153,0.66400781273758,0.683440642720054,0.683440642720054,0.699281190919114,0.0884951308075255,0.110667968789597,0.113906773786676,0.113906773786676,0.116546865153186,MVA/MVA
saa,14,14,15,284328,0.295268629135538,0.341005646373319,0.36868867186503,0.36868867186503,0.40024992192379,0.0492114381892561,0.0568342743955531,0.0614481119775051,0.0614481119775051,0.0667083203206317,MVA/MVA
saa,15,15,16,284328,0.246477910206227,0.292343190102596,0.314730260885095,0.314730260885095,0.339558536926993,0.0410796517010375,0.0487238650170993,0.0524550434808492,0.0524550434808492,0.0565930894878321,MVA/MVA
saa,16,16,17,284328,0.195616226558303,0.242059603393958,0.258834164284702,0.258834164284702,0.276586333718787,0.0326027044263837,0.0403432672323264,0.0431390273807836,0.0431390273807836,0.0460977222864644,MVA/MVA
saa,17,17,18,284328,0.145397491507088,0.193031884686211,0.203104463451496,0.203104463451496,0.21377558326432,0.0242329152511816,0.0321719807810352,0.0338507439085826,0.0338507439085826,0.0356292638773866,MVA/MVA
saa,18,2,19,284328,0.319211914733096,0.384410374907592,0.393954312071844,0.393954312071844,0.393954312071844,0.0532019857888497,0.0640683958179319,0.065659052011974,0.065659052011974,0.065659052011974,MVA/MVA
saa,19,19,20,284328,0.239408936049823,0.288307781180694,0.295465734053883,0.295465734053883,0.295465734053883,0.039901489341637,0.048051296863449,0.0492442890089805,0.0492442890089805,0.0492442890089805,MVA/MVA
saa,20,20,21,284328,0.159605957366548,0.192205187453796,0.196977156035922,0.196977156035922,0.196977156035922,0.0266009928944249,0.032034197908966,0.032829526005987,0.032829526005987,0.032829526005987,MVA/MVA
saa,21,21,22,284328,0.079802978683274,0.0961025937268979,0.098488578017961,0.098488578017961,0.098488578017961,0.0133004964472124,0.016017098954483,0.0164147630029935,0.0164147630029935,0.0164147630029935,MVA/MVA
saa,22,3,23,284328,1.05317443743264,1.27265841423622,1.28483099405086,1.28483099405086,1.30973279717658,0.17552907290544,0.212109735706037,0.214138499008477,0.214138499008477,0.218288799529431,MVA/MVA
saa,23,23,24,284328,0.970842033586385,1.17477764724455,1.18573102541858,1.18573102541858,1.20813906484312,0.161807005597731,0.195796274540758,0.197621837569763,0.197621837569763,0.201356510807186,MVA/MVA
saa,24,24,25,284328,0.376931005474651,0.453918486250611,0.46518813398452,0.46518813398452,0.46518813398452,0.0628218342457753,0.0756530810417686,0.0775313556640867,0.0775313556640867,0.0775313556640867,MVA/MVA
saa,25,6,26,284328,1.1484956415954,1.35382914862901,1.39892900069804,1.39892900069804,1.43087385887086,0.191415940265899,0.225638191438168,0.233154833449673,0.233154833449673,0.238478976478477,MVA/MVA
saa,26,26,27,284328,1.0990784801838,1.29392295305296,1.33907396598489,1.33907396598489,1.36957110074651,0.183179746697299,0.215653825508827,0.223178994330816,0.223178994330816,0.228261850124418,MVA/MVA
saa,27,27,28,284328,1.04998139982031,1.23435773545271,1.27956295806818,1.27956295806818,1.30862523283024,0.174996899970052,0.205726289242119,0.213260493011364,0.213260493011364,0.218104205471707,MVA/MVA
saa,28,28,29,284328,1.00413191088277,1.17909559820508,1.22386443880786,1.22386443880786,1.25159897730863,0.167355318480463,0.19651593303418,0.203977406467976,0.203977406467976,0.208599829551438,MVA/MVA
saa,29,29,30,284328,0.896172147628154,1.04786509197315,1.09301890490905,1.09301890490905,1.11758668567588,0.149362024604693,0.174644181995525,0.182169817484842,0.182169817484842,0.186264447612647,MVA/MVA
saa,30,30,31,284328,0.477987676075554,0.555474465325635,0.596148697261227,0.596148697261227,0.607453701939498,0.079664612679259,0.0925790775542725,0.0993581162102045,0.0993581162102045,0.101242283656583,MVA/MVA
saa,31,31,32,284328,0.246435971718612,0.296770076261961,0.304138126514911,0.304138126514911,0.304138126514911,0.0410726619531017,0.0494616793769935,0.0506896877524852,0.0506896877524852,0.0506896877524852,MVA/MVA
saa,32,32,33,284328,0.0584298681873203,0.070364063805292,0.0721110255092798,0.0721110255092798,0.0721110255092798,0.0097383113645533,0.0117273439675487,0.0120185042515466,0.0120185042515466,0.0120185042515466,MVA/MVA
chi2_eta003,1,1,2,284328,4.04572639862236,4.80888601334955,4.875916901539,4.87591690153901,4.95640698938082,0.674287733103732,0.801481002224925,0.812652816923167,0.812652816923168,0.82606783156347,MVA/MVA
chi2_eta003,2,2,3,284328,3.63323816542433,4.31176858589234,4.37865511311041,4.37865511311041,4.44688258520566,0.605539694237392,0.718628097648723,0.729775852185069,0.729775852185069,0.741147097534276,MVA/MVA
chi2_eta003,3,3,4,284328,2.50511125317163,2.97406557971293,3.01448017373169,3.01448017373169,3.07011975556325,0.417518542195273,0.495677596618822,0.502413362288615,0.502413362288616,0.511686625927208,MVA/MVA
chi2_eta003,4,4,5,284328,2.38850275970056,2.83520393676171,2.8739176534857,2.8739176534857,2.92604160814829,0.398083793283427,0.472533989460286,0.47898627558095,0.47898627558095,0.487673601358048,MVA/MVA
chi2_eta003,5,5,6,284328,2.33438607865735,2.76971913381119,2.80864735122848,2.80864735122848,2.85917148526853,0.389064346442893,0.461619855635198,0.468107891871413,0.468107891871413,0.476528580878088,MVA/MVA
chi2_eta003,6,6,7,284328,1.16984927948116,1.3719818539825,1.39449031064499,1.39687015244416,1.43890898979473,0.194974879913526,0.228663642330417,0.232415051774165,0.232811692074026,0.239818164965788,MVA/MVA
chi2_eta003,7,7,8,284328,0.989928382201471,1.15713326127007,1.17917756138425,1.17917756138425,1.2200309313373,0.164988063700246,0.192855543545012,0.196529593564042,0.196529593564042,0.203338488556216,MVA/MVA
chi2_eta003,8,8,9,284328,0.810520077992069,0.960138664483917,0.965590656641423,0.965590656641423,1.00406540875045,0.135086679665345,0.160023110747319,0.160931776106904,0.160931776106904,0.167344234791742,MVA/MVA
chi2_eta003,9,9,10,284328,0.759424718516697,0.903969455090779,0.904628019133293,0.904628019133293,0.942360178485256,0.12657078641945,0.150661575848463,0.150771336522216,0.150771336522216,0.157060029747543,MVA/MVA
chi2_eta003,10,10,11,284328,0.708360625330003,0.843665619880313,0.84780399115956,0.84780399115956,0.880656088455036,0.118060104221668,0.140610936646719,0.14130066519326,0.14130066519326,0.146776014742506,MVA/MVA
