tail,method,column,direction,threshold,path_count,tail_mean,tail_extreme,paired_other_mean,paired_other_minus_selected_mean,q01,q05,q90,q95,q99,q995,minimum_voltage_0900_hit_count,top_path_ids,boundary_cn
terminal_gap,saa,terminal_gap_kg,high,1.70530256582424e-13,501,26.29790553591324,185.397588732444,27.816590931890747,1.5186853959775073,0.0,0.0,0.0,1.70530256582424e-13,45.429798702038376,80.95756060799057,,4469;3414;4133;9608;1955;7937;3833;1087;6295;503;2613;2197;5075;2368;2402;8275;9968;1369;5407;7395,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
operating_cost,saa,operating_cost,high,103717.62303139087,500,109939.925059555,134083.144795294,111473.152884243,1533.2278246880117,9988.49075738363,9988.49075738363,89002.53158069425,103717.62303139087,116794.23556179891,120569.83074994388,,8461;4459;9990;4401;1318;7698;7350;2374;9;9600;3577;1734;1073;902;5513;6736;7332;7083;8487;4105,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
total_cost,saa,total_cost,high,106081.22484890785,500,147094.85518247867,415235.611411309,146447.3760837883,-647.47909869038,9988.49075738363,9988.49075738363,94070.96544652198,106081.22484890785,174323.9624874117,235885.51858920755,,4469;3414;4133;1955;7937;9608;3833;1087;6295;503;2197;5075;2613;2368;2402;8275;9968;7395;1369;5407,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
ordinary_shortage,saa,ordinary_shortage_kg,high,56.538008369035,570,75.92409672817105,128.599871400632,83.25166915729594,7.32757242912488,0.0,0.0,25.5081407166829,56.538008369035,99.03758953657422,106.331187532016,,131;4541;8557;481;2981;3604;6870;121;185;8754;3265;3615;4947;8345;4191;6092;7302;7648;6788;7885,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
low_voltage,saa,minimum_voltage_pu,low,0.9,7766,0.9000000000000001,0.9,0.9000000000000001,0.0,0.9,0.9,0.912081659455724,0.912081659455724,0.912081659455724,0.912081659455724,7766,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;19;20;21;22,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
branch_utilization,saa,max_branch_utilization,high,0.82606783156347,1095,0.8260678315634699,0.82606783156347,0.8259621864285096,-0.00010564513496017477,0.682695583126847,0.682695583126847,0.82606783156347,0.82606783156347,0.82606783156347,0.82606783156347,,9;12;15;20;28;32;41;50;64;69;100;113;121;129;131;134;135;155;168;176,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
site3_grid_limiting,saa,site3_grid_limited_frequency,high,0.0833333333333333,1100,0.08503787878787877,0.166666666666667,0.08454545454545452,-0.0004924242424242445,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.104166666666667,,3837;7126;7379;7350;2895;6388;7136;8190;9670;20;69;135;221;369;482;623;751;796;805;1149,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
terminal_gap,chi2_eta003,terminal_gap_kg,high,0.5967856994436821,500,29.305078661834962,194.669097206153,25.987205957881947,-3.317872703953015,0.0,0.0,0.0,0.5967856994436821,50.216681361659184,81.52520646429276,,4469;3414;4133;5075;6295;1369;2197;5407;7395;7937;9608;8651;9613;3153;1955;2402;5476;6536;1087;3833,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
operating_cost,chi2_eta003,operating_cost,high,106434.19253145078,500,111484.1717555006,134610.776593401,109921.75973969471,-1562.4120158058915,9988.49075738363,9988.49075738363,90874.2900912255,106434.19253145078,117194.44743648445,121131.08974167229,,4459;8461;4401;1318;9990;3577;1734;2374;902;7698;9600;5513;7350;1073;9;6736;7083;2487;4105;8487,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
total_cost,chi2_eta003,total_cost,high,107557.40143426345,500,149103.8903042404,433893.25098576,143238.53020920212,-5865.360095038315,9988.49075738363,9988.49075738363,97811.31341704579,107557.40143426345,171927.2506257865,238811.88568302285,,4469;3414;4133;7937;5075;6295;1369;2197;7395;5407;9608;6536;5476;1955;9613;3153;8651;2402;3833;1087,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
ordinary_shortage,chi2_eta003,ordinary_shortage_kg,high,61.5400474003066,506,89.82492839328377,128.599871400632,76.75015274620164,-13.074775647082152,0.0,0.0,37.6688124679836,61.5400474003066,106.331187532016,109.373489897099,,131;481;2981;3265;3604;3615;6870;8557;4947;8345;6788;7885;121;185;8754;4191;7648;6092;7302;6659,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
low_voltage,chi2_eta003,minimum_voltage_pu,low,0.9,7936,0.9000000000000001,0.9,0.9000570593197145,5.7059319714223944e-05,0.9,0.9,0.912081659455724,0.912081659455724,0.912081659455724,0.912081659455724,7936,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20;21,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
branch_utilization,chi2_eta003,max_branch_utilization,high,0.82606783156347,1384,0.8260678315634699,0.82606783156347,0.8228618633498487,-0.0032059682136214673,0.682695583126847,0.682695583126847,0.82606783156347,0.82606783156347,0.82606783156347,0.82606783156347,,9;12;15;28;32;41;50;57;64;69;93;100;113;121;129;131;134;135;149;155,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
site3_grid_limiting,chi2_eta003,site3_grid_limited_frequency,high,0.0833333333333333,1297,0.08450591107684396,0.166666666666667,0.07779169879208428,-0.006714212284759693,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.104166666666667,,7379;3837;7126;6388;69;135;221;369;482;623;796;805;1149;1244;1696;1956;2210;2221;2508;2824,主 FA-MSP OOS tail；不是 W1-W3 EENS tail
