prefix_length,shared_prefix,path_count,branch_count,next_states,definition_cn,saa_pre_production_range,saa_post_production_range,saa_pre_ending_inventory_range,saa_post_ending_inventory_range,saa_pre_htt_range,saa_post_htt_range,saa_pre_p_el_range,saa_post_p_el_range,saa_pre_within_accepted_tolerance,chi2_eta003_pre_production_range,chi2_eta003_post_production_range,chi2_eta003_pre_ending_inventory_range,chi2_eta003_post_ending_inventory_range,chi2_eta003_pre_htt_range,chi2_eta003_post_htt_range,chi2_eta003_pre_p_el_range,chi2_eta003_post_p_el_range,chi2_eta003_pre_within_accepted_tolerance
2,65-74,1182,59,100;101;107;108;109;11;115;116;117;12;123;124;125;13;132;133;139;140;141;147;148;149;155;156;157;163;164;19;20;21;27;28;29;3;35;36;37;4;43;44;45;51;52;59;60;61;67;68;69;75;76;77;83;84;85;91;92;93;99,前 prefix_length 个 state 完全相同，下一 state 至少有两种,0.0,395.7680693306968,0.0,329.2499777524678,0.0,184.78311902240753,0.0,2536.974803401902,True,0.0,365.9299037427612,0.0,301.1019761001241,0.0,150.6074415689191,0.0,2345.704511171547,True
2,65-58,795,46,100;107;108;11;12;123;124;125;13;131;132;133;139;140;147;155;163;164;165;19;20;27;28;29;35;36;37;44;45;51;53;59;60;67;68;69;75;76;77;83;84;85;91;92;93;99,前 prefix_length 个 state 完全相同，下一 state 至少有两种,0.0,403.15975673551065,0.0,315.69776510454574,0.0,174.52943501347184,0.0,2584.357414971223,True,0.0,380.2964502348344,0.0,297.5936539561075,0.0,117.08542670648552,0.0,2437.7977579156054,True
2,65-66,995,56,100;101;107;108;109;11;115;116;117;12;123;124;125;13;131;132;133;139;140;141;147;148;149;164;19;20;21;27;28;29;3;35;36;37;4;43;44;5;51;52;59;60;61;67;68;69;75;76;77;83;84;85;91;92;93;99,前 prefix_length 个 state 完全相同，下一 state 至少有两种,0.0,388.7929140620105,0.0,328.34244823494936,0.0,179.665188647717,0.0,2492.2622696282724,True,0.0,364.07293435276597,0.0,297.87699888644164,0.0,144.65368223036367,0.0,2333.8008612356793,True
2,65-90,570,43,100;101;107;108;109;11;116;12;123;124;131;132;133;139;140;141;155;163;164;165;19;20;27;28;29;3;43;44;51;52;59;60;67;68;69;75;76;77;83;84;85;91;99,前 prefix_length 个 state 完全相同，下一 state 至少有两种,0.0,365.6581405888538,0.0,325.665758775699,0.0,157.2911173131267,0.0,2343.9624396721406,True,0.0,347.5017215075894,0.0,311.4779623232292,0.0,111.50628739907602,0.0,2227.5751378691634,True
2,65-106,120,28,100;101;107;108;109;131;147;149;155;156;157;163;164;19;36;44;51;52;59;60;67;77;83;84;91;92;93;99,前 prefix_length 个 state 完全相同，下一 state 至少有两种,0.0,385.05452966509495,0.0,322.44734278200724,0.0,147.3006417234067,0.0,2468.298267083941,True,0.0,365.98604412198665,0.0,294.89555459630145,0.0,106.9324848359711,0.0,2346.06438539735,True
2,65-82,1067,56,100;101;107;108;109;11;115;117;12;123;124;125;13;131;132;139;147;148;155;156;157;163;164;165;19;20;21;27;28;3;35;36;37;4;43;44;45;5;51;52;59;60;61;67;68;69;75;76;77;83;84;85;91;92;93;99,前 prefix_length 个 state 完全相同，下一 state 至少有两种,0.0,411.57816530224164,0.0,330.18618021848323,0.0,159.28328046418272,0.0,2638.3215724502666,True,0.0,384.33223563416266,0.0,303.8512819854186,0.0,119.67085140511868,0.0,2463.6681771420685,True
2,65-114,46,22,123;124;125;131;132;133;139;140;147;148;155;156;179;180;187;188;203;212;69;75;77;83,前 prefix_length 个 state 完全相同，下一 state 至少有两种,0.0,295.15776715554875,0.0,324.0711289845307,0.0,113.64362485141353,0.0,1892.036968945826,True,0.0,278.719741493141,0.0,285.9108156413256,0.0,112.96883495298577,0.0,1786.665009571417,True
2,65-91,300,41,100;101;102;108;109;110;12;124;125;13;132;134;140;141;156;157;158;164;165;166;20;22;28;30;44;45;46;52;53;60;61;62;68;69;70;76;77;78;84;85;86,前 prefix_length 个 state 完全相同，下一 state 至少有两种,0.0,318.74151013266095,0.0,324.7295563096836,0.0,74.1335654179039,0.0,2043.2148085426988,True,0.0,290.3548596624132,0.0,303.60878133842,0.0,79.7975328033384,0.0,1861.2491004000856,True
2,65-83,614,51,100;101;102;108;109;110;116;12;124;125;126;13;132;133;14;148;150;156;157;164;165;20;21;22;28;36;37;38;4;44;45;5;52;53;54;6;60;61;62;68;69;70;76;77;78;84;85;86;92;93;94,前 prefix_length 个 state 完全相同，下一 state 至少有两种,0.0,298.63912735429255,0.0,317.50832325534424,0.0,71.96301157528215,0.0,1914.3533804762346,True,0.0,274.3730524784005,0.0,293.2422483794522,0.0,73.19665026115969,0.0,1758.801618451286,True
2,65-59,335,42,100;101;102;108;12;124;125;126;13;132;133;134;14;140;141;142;148;164;20;21;22;28;29;30;36;37;52;60;61;62;68;69;70;76;77;78;84;85;86;92;93;94,前 prefix_length 个 state 完全相同，下一 state 至少有两种,0.0,264.03,0.0,258.0323393159573,0.0,77.78581649300422,0.0,1692.5,True,0.0,257.2774310439087,0.0,249.49360415386326,0.0,56.6775203827934,0.0,1649.2143015635174,True
