method,category,path_count,metric,value_mean,value_median,value_std,denominator,unit
saa,both_limited,7707,site3_average_p_el_kw,81.15159863829122,80.8605401461251,13.820349979525062,该 paired limitation category 内 paths,见 metric
saa,both_limited,7707,site3_production_kg,51.18538267695614,50.4569770511821,10.795487153979025,该 paired limitation category 内 paths,见 metric
saa,both_limited,7707,site3_beginning_inventory_kg,25.26213344230935,25.2621334423093,4.974121862350259e-14,该 paired limitation category 内 paths,见 metric
saa,both_limited,7707,site3_ending_inventory_kg,24.09013012706095,22.0931184027422,8.875301428479696,该 paired limitation category 内 paths,见 metric
saa,both_limited,7707,site3_net_htt_kg,-31.287941814188592,-31.37471062116098,8.065821241471003,该 paired limitation category 内 paths,见 metric
saa,both_limited,7707,other_site_production_kg,322.23379250705045,322.193137020341,58.732265726414525,该 paired limitation category 内 paths,见 metric
saa,both_limited,7707,total_htt_kg,56.6891419506383,52.6583664345361,23.91735178238283,该 paired limitation category 内 paths,见 metric
saa,both_limited,7707,total_terminal_inventory_kg,403.30951481002216,390.509881117066,72.15324982135981,该 paired limitation category 内 paths,见 metric
saa,both_limited,7707,terminal_gap_kg,1.5962673072856477,0.0,10.432020663347316,该 paired limitation category 内 paths,见 metric
saa,both_limited,7707,ordinary_shortage_kg,8.997183313440285,0.0,22.066957007533276,该 paired limitation category 内 paths,见 metric
saa,both_limited,7707,operating_cost,72843.3163749542,65700.8387731509,15505.762218665332,该 paired limitation category 内 paths,见 metric
saa,both_limited,7707,grid_import_kwh,116539.44402331683,113196.56422706,22789.221316232917,该 paired limitation category 内 paths,见 metric
saa,neither_limited,2073,site3_average_p_el_kw,113.09993982315235,120.0,9.631413566110613,该 paired limitation category 内 paths,见 metric
saa,neither_limited,2073,site3_production_kg,25.592342790557655,18.72,7.566799207727681,该 paired limitation category 内 paths,见 metric
saa,neither_limited,2073,site3_beginning_inventory_kg,25.26213344230928,25.2621334423093,1.7767854452309298e-14,该 paired limitation category 内 paths,见 metric
saa,neither_limited,2073,site3_ending_inventory_kg,42.99695765753493,42.3963366656137,7.910993747361611,该 paired limitation category 内 paths,见 metric
