method,stage,path_count,beginning_inventory_mean_kg,ending_inventory_mean_kg
chi2_eta003,1,10000,166.6384092720464,271.3582806726787
chi2_eta003,2,8914,271.3582806726787,343.2360666499736
chi2_eta003,3,7936,343.557816039952,367.95822413279166
chi2_eta003,4,5788,365.3544377222783,450.72752051129584
chi2_eta003,5,2476,452.55711426486,462.4049069997717
chi2_eta003,6,427,469.59809831918705,466.679339949953
saa,1,10000,166.6384092720464,271.3582806726787
saa,2,8914,271.3582806726787,333.1105323465532
saa,3,7936,333.36596172763814,342.594791240095
saa,4,5788,340.4291948023071,418.0339294689774
saa,5,2476,422.4126554270342,431.66781539461647
saa,6,427,439.11901902859825,434.2583981613758
