relative_path,extension,b0001_size_bytes,base_size_bytes,b0001_sha256,base_sha256,exists_in_b0001,exists_in_base,same_sha_if_both_exist,runtime_role,required_by,classification,action
audit_stage89d_single_factor_checkpoints_h2.m,m,2183,,a6c5f50a4244a2ab12a56b236e83ef7466abd18f8e15f4240f042bc9b6072b2f,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
audit_stage89e_stage1_production_source_h2.m,m,25943,,0e613c47ef0cf6c01524b02a3f83ca446fee5b2676894b5acd59cff60d876700,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
base_reference_options_h2.m,m,,764,,7b1d18dd3d6e79c14298432cea32ac681612d9219f1acbd5ac990f96153fbae5,NO,YES,N/A,PROGRAM_SOURCE,load_current_stage89_hourly_h2,PROGRAM_SOURCE,RETAIN_OR_COPY_GENERIC_SOURCE
build_stage88_candidate_msp_input_h2.m,m,4043,,128675c3252281196829f67d2bdbb6f0ce0fe7cd8124e7cf5ec45b9b74f0dbd5,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/.ipynb_checkpoints/data-checkpoint.jl,jl,5219,,2e2f555c8e10dc37d453f835de3077d7a84dce16911a197bdc39d77c28be6351,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/.ipynb_checkpoints/inOOS-checkpoint.csv,csv,20973,,3d24bed6c0a006ab8ab3dae4762e03d8d0ca958ffe4ec1808cb2eefb7d316a39,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/OOS.csv,csv,1029673,,4ce86851abbc9fd2d6c3e5e985c4adc499fc4def257e2a8a90030650fd50ed57,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/OOS177.csv,csv,39853,,91a13e1c611f1c4fcc28d81b5bb641604dfbaef1f57b215bb938d744c38df28c,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/OOS289.csv,csv,40003,,2c50621e1d7471c5b6c31a038a8d33c28779e703ab920fec06d743434dba35a7,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/OOS65.csv,csv,32194,,c641b3e1068eddc5958927820bdd113fa99eae1c9ceaa755ad496cb1d54b849f,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/OOS_main.csv,csv,1029673,,4ce86851abbc9fd2d6c3e5e985c4adc499fc4def257e2a8a90030650fd50ed57,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/data.jl,jl,5193,,ac7301d831d236dce4bf65660eadcca5fbae4cff708ebe525830b5a42bc3893f,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/inOOS.csv,csv,20973,,3d24bed6c0a006ab8ab3dae4762e03d8d0ca958ffe4ec1808cb2eefb7d316a39,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/intensity.csv,csv,173,173,e0fecf329412507c2411bd3f52445bfd69fa700f280b0cca663d5c098f10d0f6,e0fecf329412507c2411bd3f52445bfd69fa700f280b0cca663d5c098f10d0f6,YES,YES,YES,STATIC_DATA,load_data_h2_near Markov transition,STATIC_DATA,RETAIN_OR_COPY_STATIC_INPUT
data/landfall_7.csv,csv,189,189,f9fc71c9da41616894ee8efa910bf143efd12c4b12f6ddc4aabbcd3017962e35,f9fc71c9da41616894ee8efa910bf143efd12c4b12f6ddc4aabbcd3017962e35,YES,YES,YES,STATIC_DATA,load_data_h2_near Markov transition,STATIC_DATA,RETAIN_OR_COPY_STATIC_INPUT
data/location.csv,csv,306,306,1450bb3bbb15bcfc32f50ce2854f0d3eb8ed9fd10d7f3c99383358db3b9f0daa,1450bb3bbb15bcfc32f50ce2854f0d3eb8ed9fd10d7f3c99383358db3b9f0daa,YES,YES,YES,STATIC_DATA,load_data_h2_near Markov transition,STATIC_DATA,RETAIN_OR_COPY_STATIC_INPUT
data/nodes.csv,csv,27411,,23f6dbee6b1b6808f4a400d5e327b98ac9305557103fef32ca55dce7cec32665,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/yuanqi/beta_template_v2.csv,csv,39809,39809,deb2210a1812789eba07dc7ca63f03d4e8e82409c831e89ffe89c9d0d403c850,deb2210a1812789eba07dc7ca63f03d4e8e82409c831e89ffe89c9d0d403c850,YES,YES,YES,STATIC_DATA,build_beta_h2,STATIC_DATA,RETAIN_OR_COPY_STATIC_INPUT
data/yuanqi/near_stage_msp_README.txt,txt,3261,,313933530df8675afe0ccf663ed071bc68244755adb35a6961c3648f17a74aff,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/yuanqi/near_stage_msp_beta_template.csv,csv,11667,,05aa052d387bca7e411edadd3c704d7fb67ed205ccdb5b7936fd7ade80449c72,,YES,NO,N/A,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
data/yuanqi/near_stage_msp_critical_node_input.csv,csv,3499,3499,1e73aa316c74b02155159f064e94fcabc82db6383809a090ed306c57410c09c2,1e73aa316c74b02155159f064e94fcabc82db6383809a090ed306c57410c09c2,YES,YES,YES,HISTORICAL_RESULT,not read by formal training chain,NOT_REQUIRED_FOR_RUNTIME,DO_NOT_COPY
