arm,threshold,path_count,positive_target_count,rate
SAA,1.0,701,1019,0.6879293424926398
SAA,0.99,738,1019,0.7242394504416094
SAA,0.95,803,1019,0.788027477919529
SAA,0.9,881,1019,0.8645731108930323
SAA,0.8,939,1019,0.9214916584887144
SAA,mean,1019,1019,0.9568442219577427
SAA,median,1019,1019,1.0
SAA,mass_weighted,1019,1019,0.9096628204664219
DRO,1.0,677,1123,0.6028495102404274
DRO,0.99,718,1123,0.6393588601959038
DRO,0.95,811,1123,0.7221727515583259
DRO,0.9,911,1123,0.811219946571683
DRO,0.8,1026,1123,0.9136242208370436
DRO,mean,1123,1123,0.9506842260930982
DRO,median,1123,1123,1.0
DRO,mass_weighted,1123,1123,0.9277700957993613
