cohort,arm,path_count,positive_target_count,production_kg,ordinary_shortage_kg,HTT_kg,actual_operating_cost,terminal_penalty,reported_objective,terminal_gap_kg,service_mean_positive_only
PHYSICAL_DISSIPATION,SAA,3497,0,75.2037224187028,0.0,0.1601917315862169,33918.591323865556,0.0,33918.591323865556,0.0,
PHYSICAL_DISSIPATION,DRO,3497,0,115.27754712561556,0.0,0.5054452029966535,34685.412998992564,0.0,34685.412998992564,0.0,
OTHER_ABSORPTION,SAA,379,0,125.35802991201098,0.5279408798323539,3.9887793105434977,58663.67500071541,0.0,58663.67500071541,0.0,
OTHER_ABSORPTION,DRO,379,0,177.58068213211325,0.6255772278102391,9.371904949515248,59809.91730354903,0.0,59809.91730354903,0.0,
TRUE_STAGE7_ZERO_TARGET_SAA,SAA,5105,0,108.89088198266776,0.2852866659723128,2.2801744349536817,63516.86673163037,2.1325068166866643e-11,63516.866731630376,2.132506816686664e-14,
TRUE_STAGE7_ZERO_TARGET_SAA,DRO,5105,104,167.95652820589467,0.33777832292028925,5.537952642613632,64722.929967412005,0.0,64722.929967412005,0.0,1.0
TRUE_STAGE7_ZERO_TARGET_DRO,SAA,5001,0,103.7510342264734,0.17511968328430436,1.8066524899238237,63169.36521499906,2.1768540890192805e-11,63169.36521499907,2.17685408901928e-14,
TRUE_STAGE7_ZERO_TARGET_DRO,DRO,5001,0,163.27083520203215,0.2339451213988087,4.596600321633205,64372.88103475316,0.0,64372.88103475316,0.0,
COMMON_POSITIVE,SAA,1019,1019,292.4763971459026,8.605391760753559,26.03863831441342,75499.7980357376,12505.245157680312,88005.043193418,12.505245157680305,0.9568442219577427
COMMON_POSITIVE,DRO,1019,1019,335.0389914256563,8.907378756033747,45.077906623932265,76829.3545989163,15000.994915797422,91830.34951471373,15.000994915797419,0.9456510165873887
ZERO_TO_POSITIVE,SAA,104,0,356.0483687974044,5.582835516190873,25.050205657015354,80227.01177656637,0.0,80227.01177656637,0.0,
ZERO_TO_POSITIVE,DRO,104,104,393.27528505508445,5.330757561467629,50.80432723129819,81555.5714311328,0.0,81555.5714311328,0.0,1.0
POSITIVE_TO_ZERO,SAA,0,0,,,,,,,,
POSITIVE_TO_ZERO,DRO,0,0,,,,,,,,
