path_id,base_frozen_tail_group,base_terminal_site_gap_kg,selection_rank,selection_rule
1,NORMAL95,0.0,1,retrospective Base terminal_site_gap rank; ties path_id
2,NORMAL95,0.0,2,retrospective Base terminal_site_gap rank; ties path_id
3,NORMAL95,0.0,3,retrospective Base terminal_site_gap rank; ties path_id
4,NORMAL95,0.0,4,retrospective Base terminal_site_gap rank; ties path_id
5,NORMAL95,0.0,5,retrospective Base terminal_site_gap rank; ties path_id
6,NORMAL95,0.0,6,retrospective Base terminal_site_gap rank; ties path_id
7,NORMAL95,0.0,7,retrospective Base terminal_site_gap rank; ties path_id
8,NORMAL95,0.0,8,retrospective Base terminal_site_gap rank; ties path_id
9,NORMAL95,0.0,9,retrospective Base terminal_site_gap rank; ties path_id
10,NORMAL95,0.0,10,retrospective Base terminal_site_gap rank; ties path_id
12,NORMAL95,0.0,11,retrospective Base terminal_site_gap rank; ties path_id
13,NORMAL95,0.0,12,retrospective Base terminal_site_gap rank; ties path_id
14,NORMAL95,0.0,13,retrospective Base terminal_site_gap rank; ties path_id
15,NORMAL95,0.0,14,retrospective Base terminal_site_gap rank; ties path_id
17,NORMAL95,0.0,15,retrospective Base terminal_site_gap rank; ties path_id
18,NORMAL95,0.0,16,retrospective Base terminal_site_gap rank; ties path_id
19,NORMAL95,0.0,17,retrospective Base terminal_site_gap rank; ties path_id
20,NORMAL95,0.0,18,retrospective Base terminal_site_gap rank; ties path_id
21,NORMAL95,0.0,19,retrospective Base terminal_site_gap rank; ties path_id
22,NORMAL95,0.0,20,retrospective Base terminal_site_gap rank; ties path_id
23,NORMAL95,0.0,21,retrospective Base terminal_site_gap rank; ties path_id
25,NORMAL95,0.0,22,retrospective Base terminal_site_gap rank; ties path_id
26,NORMAL95,0.0,23,retrospective Base terminal_site_gap rank; ties path_id
27,NORMAL95,0.0,24,retrospective Base terminal_site_gap rank; ties path_id
28,NORMAL95,0.0,25,retrospective Base terminal_site_gap rank; ties path_id
30,NORMAL95,0.0,26,retrospective Base terminal_site_gap rank; ties path_id
31,NORMAL95,0.0,27,retrospective Base terminal_site_gap rank; ties path_id
32,NORMAL95,0.0,28,retrospective Base terminal_site_gap rank; ties path_id
33,NORMAL95,0.0,29,retrospective Base terminal_site_gap rank; ties path_id
34,NORMAL95,0.0,30,retrospective Base terminal_site_gap rank; ties path_id
35,NORMAL95,0.0,31,retrospective Base terminal_site_gap rank; ties path_id
36,NORMAL95,0.0,32,retrospective Base terminal_site_gap rank; ties path_id
37,NORMAL95,0.0,33,retrospective Base terminal_site_gap rank; ties path_id
38,NORMAL95,0.0,34,retrospective Base terminal_site_gap rank; ties path_id
39,NORMAL95,0.0,35,retrospective Base terminal_site_gap rank; ties path_id
40,NORMAL95,0.0,36,retrospective Base terminal_site_gap rank; ties path_id
41,NORMAL95,0.0,37,retrospective Base terminal_site_gap rank; ties path_id
43,NORMAL95,0.0,38,retrospective Base terminal_site_gap rank; ties path_id
44,NORMAL95,0.0,39,retrospective Base terminal_site_gap rank; ties path_id
45,NORMAL95,0.0,40,retrospective Base terminal_site_gap rank; ties path_id
46,NORMAL95,0.0,41,retrospective Base terminal_site_gap rank; ties path_id
47,NORMAL95,0.0,42,retrospective Base terminal_site_gap rank; ties path_id
48,NORMAL95,0.0,43,retrospective Base terminal_site_gap rank; ties path_id
49,NORMAL95,0.0,44,retrospective Base terminal_site_gap rank; ties path_id
50,NORMAL95,0.0,45,retrospective Base terminal_site_gap rank; ties path_id
51,NORMAL95,0.0,46,retrospective Base terminal_site_gap rank; ties path_id
52,NORMAL95,0.0,47,retrospective Base terminal_site_gap rank; ties path_id
53,NORMAL95,0.0,48,retrospective Base terminal_site_gap rank; ties path_id
54,NORMAL95,0.0,49,retrospective Base terminal_site_gap rank; ties path_id
56,NORMAL95,0.0,50,retrospective Base terminal_site_gap rank; ties path_id
57,NORMAL95,0.0,51,retrospective Base terminal_site_gap rank; ties path_id
58,NORMAL95,0.0,52,retrospective Base terminal_site_gap rank; ties path_id
59,NORMAL95,0.0,53,retrospective Base terminal_site_gap rank; ties path_id
60,NORMAL95,0.0,54,retrospective Base terminal_site_gap rank; ties path_id
62,NORMAL95,0.0,55,retrospective Base terminal_site_gap rank; ties path_id
63,NORMAL95,0.0,56,retrospective Base terminal_site_gap rank; ties path_id
64,NORMAL95,0.0,57,retrospective Base terminal_site_gap rank; ties path_id
65,NORMAL95,0.0,58,retrospective Base terminal_site_gap rank; ties path_id
66,NORMAL95,0.0,59,retrospective Base terminal_site_gap rank; ties path_id
67,NORMAL95,0.0,60,retrospective Base terminal_site_gap rank; ties path_id
68,NORMAL95,0.0,61,retrospective Base terminal_site_gap rank; ties path_id
