arm,origin_site,destination_site,flow_kg,path_count,first_global_hour,last_global_hour
BASE,1,2,994.4022312362998,96,17,48
BASE,1,3,227.68168048392505,50,17,47
BASE,1,4,6378.9861036394595,394,17,48
BASE,2,1,14927.968096597691,722,9,48
BASE,2,3,5880.918757128363,1100,17,48
BASE,2,4,25127.36430337938,1734,9,48
BASE,3,1,10606.554557508422,892,9,48
BASE,3,2,8215.465396636468,639,17,48
BASE,3,4,4782.1770563927275,595,17,48
BASE,4,1,1033.801296017763,109,17,48
BASE,4,2,1119.7326211692446,93,17,48
BASE,4,3,230.0768408855332,21,17,37
CANDIDATE,1,2,90.52081106142461,34,17,45
CANDIDATE,1,3,213.46999326347208,59,17,45
CANDIDATE,1,4,1414.7223405259647,174,17,48
CANDIDATE,2,1,3607.8240964822307,355,17,41
CANDIDATE,2,3,3115.5927714084664,1580,17,48
CANDIDATE,2,4,14327.672204816145,1061,9,48
CANDIDATE,3,1,5686.713793207429,640,17,45
CANDIDATE,3,2,2080.6535520004168,589,17,48
CANDIDATE,3,4,8463.592251410393,715,10,48
CANDIDATE,4,1,521.9695119282806,42,17,48
CANDIDATE,4,2,339.228042519644,96,17,48
CANDIDATE,4,3,383.6414082549637,79,17,48
