arm,metric,count,denominator,rate
BASE,ZERO_TARGET,8877,10000,0.8877
BASE,POSITIVE_TARGET,1123,10000,0.1123
BASE,SITEWISE_ADEQUATE,677,1123,0.6028495102404274
BASE,SITEWISE_FAILURE,446,1123,0.39715048975957257
BASE,QUANTITY_ADEQUATE,888,1123,0.7907390917186109
BASE,QUANTITY_FAILURE,235,1123,0.20926090828138913
BASE,ADEQUATE,677,1123,0.6028495102404274
BASE,PURE_QUANTITY,89,1123,0.0792520035618878
BASE,PURE_LOCATION,211,1123,0.18788958147818344
BASE,MIXED,146,1123,0.13000890471950133
CANDIDATE,ZERO_TARGET,8981,10000,0.8981
CANDIDATE,POSITIVE_TARGET,1019,10000,0.1019
CANDIDATE,SITEWISE_ADEQUATE,701,1019,0.6879293424926398
CANDIDATE,SITEWISE_FAILURE,318,1019,0.3120706575073602
CANDIDATE,QUANTITY_ADEQUATE,849,1019,0.8331697742885181
CANDIDATE,QUANTITY_FAILURE,170,1019,0.16683022571148184
CANDIDATE,ADEQUATE,701,1019,0.6879293424926398
CANDIDATE,PURE_QUANTITY,76,1019,0.0745829244357213
CANDIDATE,PURE_LOCATION,148,1019,0.1452404317958783
CANDIDATE,MIXED,94,1019,0.09224730127576054
