"process_label","exit_code","started_at","ended_at","runtime_sec","log_path","pass"
"audit-input","1","2026-08-22T16:49:29.5376676+08:00","2026-08-22T16:49:33.9377847+08:00","4.4001171","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89l_h2_island_incremental_ablation\run-001\process_logs\audit-input-attempt-001.txt","False"
"audit-input","0","2026-08-22T16:49:46.2254608+08:00","2026-08-22T16:49:54.9686608+08:00","8.7432","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89l_h2_island_incremental_ablation\run-001\process_logs\audit-input-attempt-002.txt","True"
"smoke-saa-state-011","0","2026-08-22T16:50:02.0375091+08:00","2026-08-22T16:50:05.9751633+08:00","3.9376542","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89l_h2_island_incremental_ablation\run-001\process_logs\smoke-saa-state-011-attempt-001.txt","True"
"smoke-dro-state-011","0","2026-08-22T16:50:05.9995071+08:00","2026-08-22T16:50:43.0306082+08:00","37.0311011","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89l_h2_island_incremental_ablation\run-001\process_logs\smoke-dro-state-011-attempt-001.txt","True"
"smoke-saa-state-025","0","2026-08-22T16:50:43.0638003+08:00","2026-08-22T16:51:08.1320712+08:00","25.0682709","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89l_h2_island_incremental_ablation\run-001\process_logs\smoke-saa-state-025-attempt-001.txt","True"
"smoke-dro-state-025","0","2026-08-22T16:51:08.1466193+08:00","2026-08-22T16:55:51.4262751+08:00","283.2796558","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89l_h2_island_incremental_ablation\run-001\process_logs\smoke-dro-state-025-attempt-001.txt","True"
"smoke-saa-state-032","0","2026-08-22T16:55:51.4473780+08:00","2026-08-22T16:56:30.8778246+08:00","39.4304466","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89l_h2_island_incremental_ablation\run-001\process_logs\smoke-saa-state-032-attempt-001.txt","True"
"smoke-dro-state-032","0","2026-08-22T16:56:30.9033054+08:00","2026-08-22T17:04:34.8085599+08:00","483.9052545","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89l_h2_island_incremental_ablation\run-001\process_logs\smoke-dro-state-032-attempt-001.txt","True"
"formal-saa-state-001","0","2026-08-22T17:04:46.0399402+08:00","2026-08-22T17:04:47.6480298+08:00","1.6080896","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89l_h2_island_incremental_ablation\run-001\process_logs\formal-saa-state-001-attempt-001.txt","True"
"formal-dro-state-001","0","2026-08-22T17:04:47.6665402+08:00","2026-08-22T17:04:49.4102992+08:00","1.743759","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89l_h2_island_incremental_ablation\run-001\process_logs\formal-dro-state-001-attempt-001.txt","True"
"formal-saa-state-002","0","2026-08-22T17:04:49.4317556+08:00","2026-08-22T17:04:51.1313265+08:00","1.6995709","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89l_h2_island_incremental_ablation\run-001\process_logs\formal-saa-state-002-attempt-001.txt","True"
"formal-dro-state-002","0","2026-08-22T17:04:51.1640364+08:00","2026-08-22T17:04:53.0757311+08:00","1.9116947","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89l_h2_island_incremental_ablation\run-001\process_logs\formal-dro-state-002-attempt-001.txt","True"
