policy,iteration,iteration_budget,cumulative_wall_time_s,LB,LB_increment,forward_cost_UB_like,cuts_before,cumulative_cuts,cuts_added,forward_stage_solve_count,backward_cut_solve_count,forward_time_s,backward_time_s,iteration_wall_time_s,cut_violation_flag,warning_id,warning_message,training_identity,convergence_scope,stage1_production_kg,stage1_site1_production_kg,stage1_site2_production_kg,stage1_site3_production_kg,stage1_site4_production_kg,stage1_inventory_kg,stage2_inventory_kg,stage3_inventory_kg
LOC4_GAP1000,1,10,39.7244841,7666.68421740672,,47308.1057426305,0,1051,1051,3,1051,0.1282953,38.05823,39.7015205,1,,,TEN_ITERATION_CANDIDATE_DIAGNOSTIC,NOT_CONVERGENCE_CERTIFICATE,120.12,46.8,31.2,18.72,23.4,127.627481134483,68.134475203772,22.6384092720463
LOC4_GAP1000,2,10,95.9704115,42398.2513893521,34731.5671719454,34060.2608720669,1051,2102,1051,2,1051,0.0523426,53.8562075,55.3515402,1,,,TEN_ITERATION_CANDIDATE_DIAGNOSTIC,NOT_CONVERGENCE_CERTIFICATE,0.0,0.0,0.0,0.0,0.0,247.747481134483,308.374475203772,308.374475203772
LOC4_GAP1000,3,10,150.4845299,53677.9820523609,11279.7306630088,77636.0835316125,2102,3153,1051,5,1051,0.1906899,51.4833605,53.8335113,1,,,TEN_ITERATION_CANDIDATE_DIAGNOSTIC,NOT_CONVERGENCE_CERTIFICATE,92.5865840156767,40.9115840156767,19.5,11.7,20.475,127.627481134483,77.7570592582599,84.6039504270365
LOC4_GAP1000,4,10,202.5946898,54304.8029813809,626.820929020047,78122.5226047836,3153,4204,1051,5,1051,0.1434658,50.3329752,51.695071,1,,,TEN_ITERATION_CANDIDATE_DIAGNOSTIC,NOT_CONVERGENCE_CERTIFICATE,98.865,40.95,23.4,14.04,20.475,220.21406515016,177.717044927356,158.350978995631
LOC4_GAP1000,5,10,254.3301944,55839.6995847478,1534.89660336685,256983.678194066,4204,5255,1051,5,1051,0.1295276,48.8398958,51.2678567,1,,,TEN_ITERATION_CANDIDATE_DIAGNOSTIC,NOT_CONVERGENCE_CERTIFICATE,98.865,40.95,23.4,14.04,20.475,226.492481134483,287.119475203772,356.200670107713
LOC4_GAP1000,6,10,306.1206768,55844.1670904278,4.46750568000425,78714.3331765614,5255,6306,1051,5,1051,0.1255732,50.6577535,51.3512314,1,,,TEN_ITERATION_CANDIDATE_DIAGNOSTIC,NOT_CONVERGENCE_CERTIFICATE,101.79,40.95,23.4,14.04,23.4,226.492481134483,166.999475203772,147.633409272046
LOC4_GAP1000,7,10,349.851363,56015.9602312843,171.793140856469,9471.51371740672,6306,7357,1051,1,1051,0.0295489,42.4460213,43.3832605,1,,,TEN_ITERATION_CANDIDATE_DIAGNOSTIC,NOT_CONVERGENCE_CERTIFICATE,101.79,40.95,23.4,14.04,23.4,229.417481134483,229.417481134483,229.417481134483
LOC4_GAP1000,8,10,404.047618,56017.1231312857,1.16290000140725,58273.9149498269,7357,8408,1051,4,1051,0.0851926,53.144331,54.1631504,1,,,TEN_ITERATION_CANDIDATE_DIAGNOSTIC,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,229.417481134483,178.699475203772,147.243409272046
LOC4_GAP1000,9,10,456.732304,56272.2296150417,255.106483756019,9704.96321740672,8408,9459,1051,1,1051,0.0407587,51.4466583,52.3007301,0,,,TEN_ITERATION_CANDIDATE_DIAGNOSTIC,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,237.607481134483,237.607481134483
LOC4_GAP1000,10,10,511.2146397,56272.4836782711,0.254063229396706,9704.96321740672,9459,10510,1051,1,1051,0.0381579,53.1044291,54.1271018,0,,,TEN_ITERATION_CANDIDATE_DIAGNOSTIC,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,237.607481134483,237.607481134483
