metric,Stage89H,Stage89N,paired_difference_B_minus_A,percent_change
training_stage1_production_kg,120.12000000001045,109.97999999998692,-10.140000000023534,-8.441558441577298
stage1_system_utilization,1.000000000000087,0.9155844155843066,-0.08441558441578045,-8.44155844157731
stage1_ending_inventory_kg,247.74748113445142,237.607481134539,-10.139999999912419,-4.092877131779793
stage2_ending_inventory_kg,293.17742230081905,186.97324376964636,-106.20417853117269,-36.22522419963169
stage3_ending_inventory_kg,307.9277737602515,171.12621558580835,-136.80155817444316,-44.42650836717153
mean_total_production_kg,322.676642150327,186.0051651603773,-136.6714769899497,-42.35555324958348
q95_total_production_kg,499.3038817090228,400.6419789386828,-98.66190277033996,-19.759890997169684
q99_total_production_kg,579.4986740051327,507.4291528579922,-72.06952114714045,-12.43652908626019
mean_ordinary_shortage_kg,6.140345017436756,1.541823801366809,-4.598521216069947,-74.89027412973557
q95_ordinary_shortage_kg,45.6320367995973,4.554139912615419,-41.07789688698188,-90.01986272798673
q99_ordinary_shortage_kg,75.90215477911329,39.44373918300208,-36.45841559611121,-48.03343950143536
ordinary_shortage_positive_probability,0.1477,0.0534,-0.0943,-63.84563303994584
mean_terminal_gap_kg,6.351062805234934,5.5830268941242975,-0.7680359111106361,-12.09302969697566
q95_terminal_gap_kg,54.4113347912912,29.505984572529094,-24.90535021876211,-45.77235665012271
q99_terminal_gap_kg,144.82581500663215,150.09114192908746,5.265326922455301,3.635627337718887
terminal_gap_positive_probability,0.0971,0.0906,-0.006500000000000006,-6.694129763130799
mean_htt_kg,24.832791655798843,22.511338232014786,-2.3214534237840567,-9.348338503222458
htt_positive_probability,0.5247,0.4487,-0.07600000000000007,-14.484467314656005
mean_operating_cost_yuan,62094.5875469643,56182.45041731101,-5912.137129653289,-9.52117948312602
mean_reported_objective_yuan,68445.6503521993,61765.47731143465,-6680.173040764646,-9.75982112287724
q95_reported_objective_yuan,145037.68856695745,115200.74229259828,-29836.946274359172,-20.571857266316528
q99_reported_objective_yuan,231439.58308271982,239051.3606798582,7611.777597138367,3.288883213386108
stage1_site1_production_kg,46.799999999992195,46.799999999992195,0.0,0.0
stage1_site1_utilization,0.9999999999998332,0.9999999999998332,0.0,0.0
stage1_site2_production_kg,31.200000000005886,23.399999999996098,-7.800000000009788,-25.000000000026656
stage1_site2_utilization,1.0000000000001887,0.749999999999875,-0.25000000000031375,-25.000000000026656
stage1_site3_production_kg,18.720000000001036,16.380000000002337,-2.3399999999986996,-12.499999999992362
stage1_site3_utilization,1.0000000000000555,0.8750000000001249,-0.12499999999993061,-12.499999999992367
stage1_site4_production_kg,23.399999999996098,23.399999999996098,0.0,0.0
stage1_site4_utilization,0.9999999999998332,0.9999999999998332,0.0,0.0
