tail_group,dimension,value,tail_count,tail_share,all_share,enrichment_ratio,descriptive_only
WORST1,cohort,EARLY_STAGE7,76,0.76,0.5683,1.3373218370578919,NO
WORST1,cohort,STAGE6_TO_STAGE7,24,0.24,0.0441,5.442176870748299,YES
WORST1,termination_type,STAGE7,100,1.0,0.6124,1.6329196603527105,NO
WORST1,termination_stage,6,48,0.48,0.2107,2.2781205505457995,NO
WORST1,termination_stage,5,27,0.27,0.3273,0.8249312557286894,YES
WORST1,termination_stage,7,24,0.24,0.0474,5.063291139240507,YES
WORST1,termination_stage,4,1,0.01,0.2051,0.04875670404680644,YES
WORST1,terminal_a,4.0,51,0.51,0.0429,11.888111888111888,NO
WORST1,terminal_a,5.0,49,0.49,0.0153,32.02614379084967,NO
WORST1,terminal_loc,2.0,32,0.32,0.0899,3.559510567296997,NO
WORST1,terminal_loc,1.0,20,0.2,0.0438,4.566210045662101,YES
WORST1,terminal_loc,5.0,19,0.19,0.0853,2.2274325908558033,YES
WORST1,terminal_loc,4.0,19,0.19,0.0858,2.2144522144522143,YES
WORST1,terminal_loc,3.0,6,0.06,0.0817,0.7343941248470013,YES
WORST1,terminal_loc,6.0,4,0.04,0.0681,0.5873715124816447,YES
WORST1,shared_prefix_divergence_stage,3.0,43,0.43,0.0519,8.285163776493256,NO
WORST1,shared_prefix_divergence_stage,4.0,30,0.3,0.1529,1.962066710268149,NO
WORST1,shared_prefix_divergence_stage,NA,20,0.2,0.6306,0.3171582619727244,YES
WORST1,shared_prefix_divergence_stage,5.0,5,0.05,0.1352,0.36982248520710065,YES
WORST1,shared_prefix_divergence_stage,2.0,2,0.02,0.0021,9.523809523809524,YES
WORST5,cohort,EARLY_STAGE7,287,0.574,0.5683,1.010029913777934,NO
WORST5,cohort,EARLY_A1,162,0.324,0.3464,0.9353348729792148,NO
WORST5,cohort,STAGE6_TO_STAGE7,50,0.1,0.0441,2.2675736961451247,NO
WORST5,cohort,EARLY_LF8,1,0.002,0.0379,0.05277044854881266,YES
WORST5,termination_type,STAGE7,337,0.674,0.6124,1.100587851077727,NO
WORST5,termination_type,A1,162,0.324,0.3497,0.9265084358021161,NO
WORST5,termination_type,LF8,1,0.002,0.0379,0.05277044854881266,YES
WORST5,termination_stage,2,161,0.322,0.1078,2.987012987012987,NO
WORST5,termination_stage,6,157,0.314,0.2107,1.4902705268153773,NO
WORST5,termination_stage,5,120,0.24,0.3273,0.7332722273143905,NO
WORST5,termination_stage,7,50,0.1,0.0474,2.1097046413502114,NO
WORST5,termination_stage,4,12,0.024,0.2051,0.11701608971233544,YES
WORST5,terminal_a,NA,163,0.326,0.3876,0.8410732714138287,NO
WORST5,terminal_a,4.0,147,0.294,0.0429,6.8531468531468525,NO
WORST5,terminal_a,5.0,107,0.214,0.0153,13.986928104575163,NO
WORST5,terminal_a,3.0,77,0.154,0.0851,1.809635722679201,NO
WORST5,terminal_a,2.0,4,0.008,0.4687,0.017068487305312567,YES
WORST5,terminal_a,6.0,2,0.004,0.0004,10.0,YES
WORST5,terminal_loc,NA,163,0.326,0.3876,0.8410732714138287,NO
WORST5,terminal_loc,4.0,74,0.148,0.0858,1.724941724941725,NO
WORST5,terminal_loc,5.0,71,0.142,0.0853,1.6647127784290736,NO
WORST5,terminal_loc,2.0,54,0.108,0.0899,1.2013348164627364,NO
WORST5,terminal_loc,3.0,51,0.102,0.0817,1.2484700122399022,NO
WORST5,terminal_loc,7.0,36,0.072,0.1578,0.4562737642585551,NO
WORST5,terminal_loc,1.0,29,0.058,0.0438,1.3242009132420092,YES
WORST5,terminal_loc,6.0,22,0.044,0.0681,0.6461086637298091,YES
WORST5,shared_prefix_divergence_stage,NA,242,0.484,0.6306,0.7675229939739929,NO
WORST5,shared_prefix_divergence_stage,4.0,129,0.258,0.1529,1.6873773708306081,NO
WORST5,shared_prefix_divergence_stage,3.0,104,0.208,0.0519,4.007707129094412,NO
WORST5,shared_prefix_divergence_stage,5.0,17,0.034,0.1352,0.25147928994082847,YES
WORST5,shared_prefix_divergence_stage,2.0,8,0.016,0.0021,7.6190476190476195,YES
