figure,machine_readable_csv,description,bytes,sha256
figure01_training_progress.png,training_progress_10iter.csv,"Ten-iteration lower bound, Stage1 decision, and sampled Stage1-3 inventories",141501,84c2fee88681b4402acbc4616d91475a09f33a0211c24e41eaa7434e92f124a5
figure02_production_by_stage.png,production_by_stage.csv,Stage89N active-path mean production with 95% CI,61835,7a30a575d1a373ee475540c771e55ef03409efe14d844f1de5454c489b56b858
figure03_cumulative_production.png,production_by_stage.csv,Conditional active-path and unconditional per-initial-path cumulative production,69241,9cfb5a0a115b678192f116f55cc2bb4244b9704beefe1c89276287416f535a0d
figure04_total_inventory_by_stage.png,inventory_by_stage.csv,Stage89N mean total ending inventory with 95% CI,63928,873ddbb01fc4b143e066dc0b9d3486c45f5f39ab1041109f94ddd0ef5cfc943a
figure05_site_inventory_by_stage.png,inventory_by_stage.csv,Stage89N four-site mean ending inventory among active paths,72992,8c415323e3f57f73dcaa9c6c90265731af7443fd17f2846fe0bf86197c7bc559
figure06_intensity_conditioned_production.png,production_by_observed_intensity_and_stage.csv,Discrete Stage89N mean production by observed intensity and stage,109768,6595dd31c080b46e2543015d8bc4c17d470168b66b38b8c307821863ebe71b3b
figure07_dissipation_timing.png,production_by_termination_timing.csv,Stage89N cumulative production for A1 timing cohorts with 95% CI,54122,411c4c8d3d814f63dbd5d8490a5e5a1a11d03ab14b7e185efd94c5cc01aaa0df
figure08_stage7_arrival_timing.png,production_by_termination_timing.csv,Stage89N cumulative production for STAGE7 timing cohorts with 95% CI,52853,8b2b29615c997a651d7c93f5b624f24f557d9758639fdb1230b564d292204013
figure09_h_vs_n_production.png,stage89h_vs_stage89n_primary_results.csv,Stage89H and Stage89N active-path mean production by stage,44551,40f1d4efa7da9bc9a6a807c993f8bfe4722b27be6a6286ab54f661567926bfc1
figure10_h_vs_n_inventory.png,stage89h_vs_stage89n_primary_results.csv,Stage89H and Stage89N active-path mean ending inventory by stage,78327,f5d7d5e6faa1d1d1a7e00cc4ed9dd92cf571d4c79c56da6bf00504353dfe426b
figure11_primary_oos_results.png,primary_oos_results.csv,Primary economic/service metrics; Terminal gap uses the Stage7 conditional denominator,92048,1dfafa81eb8b08d09990b393e8ab092c884fce0c58682d871c41672ccb966d20
figure12_location_conditioned_production.png,production_inventory_by_observed_loc.csv,Discrete Stage89N mean production by observed location and stage; location is categorical,93590,e82a195d155128ba65b299a75b04ac5b547102dcbe9f63b28626174b13b25554
