field,observed,expected,pass
STAGE89N_STATUS,PASS,PASS,1
INITIAL_LOCATION,loc4,loc4,1
FORMAL_8H_MAINLINE_USED,YES,YES,1
OPERATING_STAGES,6,6,1
HOURS_PER_STAGE,8,8,1
TOTAL_OPERATING_HOURS,48,48,1
TRAINING_ITERATIONS,10,10,1
FRESH_TRAINING,YES,YES,1
WARM_START,NONE,NONE,1
TERMINAL_GAP_PENALTY_YUAN_PER_KG,1000,1000,1
ORDINARY_SHORTAGE_PENALTY_YUAN_PER_KG,200,200,1
TERMINALLOH_MODE,DRO,DRO,1
TERMINALLOH_SOURCE,Stage89K adopted,Stage89K adopted,1
TERMINALLOH_ETA,0.03,0.03,1
OOS_PATH_COUNT,10000,10000,1
COMMON_PATH_WITH_STAGE89H,YES,YES,1
CHECKPOINT_LIFECYCLE,PASS,PASS,1
FULLY_CONVERGED,NO,NO,1
STAGE89O_ACCEPTED_RUN,run-005,run-005,1
