policy,stage,a,path_count,information_timing,sample_scope,descriptive_only,mean_production_kg,CI95_low_production_kg,CI95_high_production_kg,mean_ending_inventory_kg,CI95_low_ending_inventory_kg,CI95_high_ending_inventory_kg,mean_ordinary_shortage_kg,CI95_low_ordinary_shortage_kg,CI95_high_ordinary_shortage_kg,mean_htt_kg,CI95_low_htt_kg,CI95_high_htt_kg,state_variable,weighted_mean_slope_kg_per_state_level,rank_correlation_of_group_means,state_group_count,adjacent_increase_count_gt_1kg,adjacent_decrease_count_lt_minus_1kg,adjacent_comparison_count
Stage89N,2,2,8333,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,1.26575663027,1.23093428828,1.30057897225,179.380231834,179.345409492,179.415054176,0,0,0,0,0,0,a,115.016727487,1,2,1,0,1
Stage89N,2,3,589,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,116.282484117,115.725129028,116.839839206,294.396959321,293.839604232,294.95431441,0,0,0,49.1369138869,46.847611097,51.4262166769,a,115.016727487,1,2,1,0,1
Stage89N,3,2,6927,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,16.4625567429,16.292800986,16.6323124998,151.589857717,151.283008015,151.89670742,0,0,0,4.82123483691,4.56707368975,5.07539598407,a,73.8350739147,1,3,2,0,2
Stage89N,3,3,820,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,111.032035479,110.263432042,111.800638916,296.290859128,292.608195618,299.973522639,1.3694423339,0.932485810891,1.80639885691,48.781768551,46.4112385353,51.1522985667,a,73.8350739147,1,3,2,0,2
Stage89N,3,4,158,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,114.493554334,114.254247589,114.732861079,378.046109578,375.822751037,380.26946812,14.5732393429,12.6761130996,16.4703655861,88.2216310484,81.0587028765,95.3845592203,a,73.8350739147,1,3,2,0,2
Stage89N,4,2,4781,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,53.6442145837,52.845910974,54.4425181934,170.127877365,169.113064195,171.142690536,0,0,0,1.86421705376,1.69928090743,2.02915320008,a,38.1156839786,0.2,4,1,1,3
Stage89N,4,3,772,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,114.412344724,113.006825075,115.817864374,313.318636855,308.128639305,318.508634404,4.63045215331,3.89901609756,5.36188820907,46.9261416359,44.7868456825,49.0654375893,a,38.1156839786,0.2,4,1,1,3
Stage89N,4,4,268,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,112.595223248,110.789209039,114.401237458,409.573441861,404.169007709,414.977876013,10.7955389539,8.80586426346,12.7852136443,82.689972967,76.4151996133,88.9647463207,a,38.1156839786,0.2,4,1,1,3
Stage89N,4,5,33,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,111.601152656,107.521255541,115.681049771,461.46465747,453.75617339,469.17314155,11.6609309724,5.78550266615,17.5363592787,86.9572081348,68.7806873218,105.133728948,a,38.1156839786,0.2,4,1,1,3
Stage89N,5,2,1989,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,2.91702774996,2.5922653237,3.24179017622,133.389054036,131.640492739,135.137615334,0,0,0,6.10634252928,5.76869702339,6.44398803517,a,47.4038613719,0.4,4,2,1,3
Stage89N,5,3,365,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,98.211289555,94.2648486135,102.157730496,314.704063713,308.080115076,321.328012351,3.387362129,2.30584914729,4.4688751107,28.7386817019,26.4143765176,31.0629868861,a,47.4038613719,0.4,4,2,1,3
Stage89N,5,4,170,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,83.2017679517,77.2459667326,89.1575691708,411.36241922,405.118828431,417.606010009,14.4860232141,10.9283958147,18.0436506135,51.6508466031,42.723568094,60.5781251121,a,47.4038613719,0.4,4,2,1,3
Stage89N,5,5,57,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,96.0209857422,89.0146161301,103.027355354,463.525977649,454.110768914,472.941186383,8.19268671392,3.64713667209,12.7382367557,35.1002612901,27.3315673653,42.8689552149,a,47.4038613719,0.4,4,2,1,3
Stage89N,6,2,338,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,21.5048753533,19.4968040319,23.5129466747,132.836573706,126.98391825,138.689229162,0,0,0,5.33998786639,4.91281674718,5.76715898559,a,25.9824868132,0.4,4,2,1,3
Stage89N,6,3,75,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,89.5391933714,79.7939497911,99.2844369516,300.51105915,282.801864759,318.220253542,7.61074186364,4.67425441754,10.5472293097,23.7962890177,20.0352044692,27.5573735661,a,25.9824868132,0.4,4,2,1,3
Stage89N,6,4,39,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,57.0862818789,43.1584792373,71.0140845206,412.338348637,403.019785679,421.656911594,7.92927197687,2.94941553853,12.9091284152,30.4228832006,17.4862844917,43.3594819094,a,25.9824868132,0.4,4,2,1,3
Stage89N,6,5,22,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,YES,86.6646052877,75.5663559775,97.762854598,485.001766677,467.811618605,502.191914748,4.27080666189,-1.02296740428,9.56458072806,21.4568981588,9.47360371321,33.4401926045,a,25.9824868132,0.4,4,2,1,3
