record_type,terminal_a,terminal_loc,early_arrival_after_stage,late_arrival_after_stage,early_path_count,late_path_count,descriptive_only,early_mean_cumulative_production_kg,early_CI95_low_cumulative_production_kg,early_CI95_high_cumulative_production_kg,early_mean_ending_inventory_kg,early_CI95_low_ending_inventory_kg,early_CI95_high_ending_inventory_kg,early_mean_htt_kg,early_CI95_low_htt_kg,early_CI95_high_htt_kg,early_mean_ordinary_shortage_kg,early_CI95_low_ordinary_shortage_kg,early_CI95_high_ordinary_shortage_kg,early_mean_terminal_gap_kg,early_CI95_low_terminal_gap_kg,early_CI95_high_terminal_gap_kg,late_mean_cumulative_production_kg,late_minus_early_mean_cumulative_production_kg,late_mean_ending_inventory_kg,late_minus_early_mean_ending_inventory_kg,late_mean_htt_kg,late_minus_early_mean_htt_kg,late_mean_ordinary_shortage_kg,late_minus_early_mean_ordinary_shortage_kg,late_mean_terminal_gap_kg,late_minus_early_mean_terminal_gap_kg
ARRIVAL_GROUP,2,1,2,,4,,YES,140.01,81.1512,198.8688,208.144475204,149.285675204,267.003275204,17.2047335444,-16.5165442026,50.9260112913,0,0,0,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,1,3,,67,,NO,130.64489258,127.523890572,133.765894587,153.962347612,149.610004724,158.314690499,20.0457015153,15.7443680048,24.3470350258,0.679045760175,-0.651883929768,2.00997545012,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,1,4,,139,,NO,186.520608678,179.938178952,193.103038404,170.165877453,163.578949143,176.752805762,20.0020527654,15.4022509347,24.6018545962,0.0177876404139,-0.0170761347973,0.052651415625,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,1,5,,93,,NO,224.27448155,212.414117453,236.134845647,148.970006778,136.756594354,161.183419201,20.0186779518,12.9749058677,27.0624500359,0.561050023761,-0.53860802281,1.66070807033,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,1,6,,18,,YES,273.158466957,245.102559051,301.214374863,152.216946917,124.159591023,180.274302811,34.6943059707,13.3515759783,56.0370359631,0.420070687757,-0.403267860247,1.24340923576,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,2,2,,12,,YES,112.66125,110.867878754,114.454621246,180.795725204,179.002353958,182.58909645,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,2,3,,141,,NO,129.646032487,125.852117861,133.439947113,152.284441759,148.490527133,156.078356385,17.660219406,14.855492472,20.4649463399,0,0,0,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,2,4,,303,,NO,183.69482647,179.743551516,187.646101424,167.681825763,163.647373228,171.716278299,17.9628733171,14.8951850865,21.0305615478,0.35951815864,-0.0135558623109,0.73259217959,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,2,5,,193,,NO,220.602238271,214.991834411,226.21264213,145.438844125,139.643943531,151.233744719,18.7110939219,14.4838264103,22.9383614335,0.702130650541,-0.0126315767599,1.41689287784,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,2,6,,43,,NO,270.125767876,257.107873961,283.143661791,149.720311918,135.70299102,163.737632817,28.4826536527,17.1119753957,39.8533319097,0.956134769945,-0.603564191842,2.51583373173,0,0,0,,,,,,,,,,
