record_type,cohort,stage,global_hour,base_mean_production_kg,b0001_mean_production_kg,paired_delta_mean_kg,base_path_count,b0001_path_count
HOUR,ALL_PATHS,1,1,2.924999999999512,3.65625,0.7312500000004878,10000,10000
HOUR,ALL_PATHS,1,2,2.924999999999512,3.65625,0.7312500000004878,10000,10000
HOUR,ALL_PATHS,1,3,2.924999999999512,3.65625,0.7312500000004878,10000,10000
HOUR,ALL_PATHS,1,4,2.924999999999512,3.65625,0.7312500000004878,10000,10000
HOUR,ALL_PATHS,1,5,2.924999999999512,3.65625,0.7312500000004878,10000,10000
HOUR,ALL_PATHS,1,6,2.924999999999512,3.65625,0.7312500000004878,10000,10000
HOUR,ALL_PATHS,1,7,2.924999999999512,3.65625,0.7312500000004878,10000,10000
HOUR,ALL_PATHS,1,8,2.924999999999512,1.706488468913471,-1.2185115310860413,10000,10000
HOUR,ALL_PATHS,2,9,0.8822209145931786,0.24137315063887022,-0.6408477639543084,8922,8922
HOUR,ALL_PATHS,2,10,0.19309852051109425,0.24137315063887022,0.04827463012777597,8922,8922
HOUR,ALL_PATHS,2,11,0.19309852051109425,0.24137315063887022,0.04827463012777597,8922,8922
HOUR,ALL_PATHS,2,12,0.19309852051109425,0.24137315063887022,0.04827463012777597,8922,8922
HOUR,ALL_PATHS,2,13,0.19309852051109425,0.24137315063887022,0.04827463012777597,8922,8922
HOUR,ALL_PATHS,2,14,0.19309852051109425,0.24137315063887022,0.04827463012777597,8922,8922
HOUR,ALL_PATHS,2,15,0.19309852051109425,0.24137315063887022,0.04827463012777597,8922,8922
HOUR,ALL_PATHS,2,16,0.19309852051109425,0.24137315063887022,0.04827463012777597,8922,8922
HOUR,ALL_PATHS,3,17,0.36187855787476636,0.44864800759013285,0.08676944971536649,7905,7905
HOUR,ALL_PATHS,3,18,0.36187855787476636,0.4290976571118744,0.06721909923710806,7905,7905
HOUR,ALL_PATHS,3,19,0.36072255585609014,0.4058323937984223,0.04510983794233214,7905,7905
HOUR,ALL_PATHS,3,20,0.352258064516132,0.3934675810628464,0.0412095165467144,7905,7905
HOUR,ALL_PATHS,3,21,0.35531341029485697,0.4044077735758474,0.04909436328099043,7905,7905
HOUR,ALL_PATHS,3,22,0.3618284803549971,0.4143595738597379,0.05253109350474078,7905,7905
HOUR,ALL_PATHS,3,23,1.7772011385197852,1.7510362432668334,-0.026164895252951847,7905,7905
HOUR,ALL_PATHS,3,24,2.7399071043240766,3.3585128616477573,0.6186057573236807,7905,7905
HOUR,ALL_PATHS,4,25,2.6886615989064713,3.117860264996463,0.4291986660899916,5854,5854
HOUR,ALL_PATHS,4,26,2.7240913074693625,3.1367730452919713,0.41268173782260886,5854,5854
