base_type,b0001_type,path_count,mean_site_gap_delta,mean_quantity_delta,total_site_gap_delta,total_quantity_delta
ADEQUATE,ADEQUATE,9445,-3.3853280157971944e-18,0.0,-3.19744231092045e-14,0.0
ADEQUATE,PURE_LOCATION,82,10.633528987196936,0.0,871.9493769501488,0.0
MIXED,MIXED,133,-1.2552580672796991,-4.015280468315778,-166.94932294819998,-534.0323022859984
MIXED,PURE_LOCATION,9,5.854556651618079,-6.954984689623979,52.69100986456271,-62.59486220661581
MIXED,PURE_QUANTITY,10,-9.433377552069802,-6.626680919181636,-94.33377552069801,-66.26680919181636
PURE_LOCATION,ADEQUATE,46,-5.640493187248478,0.0,-259.46268661343,0.0
PURE_LOCATION,MIXED,11,32.311354113422105,14.172842378364749,355.4248952476431,155.90126616201223
PURE_LOCATION,PURE_LOCATION,145,10.24872310637318,0.0,1486.0648504241112,0.0
PURE_LOCATION,PURE_QUANTITY,1,42.11088676329402,46.1723007729908,42.11088676329402,46.1723007729908
PURE_QUANTITY,MIXED,33,-2.5605328506508718,-9.369464607495491,-84.49758407147877,-309.1923320473512
PURE_QUANTITY,PURE_LOCATION,1,-9.36664005565197,-17.7296072364297,-9.36664005565197,-17.7296072364297
PURE_QUANTITY,PURE_QUANTITY,84,-4.46930264722552,-4.469302647225464,-375.4214223669437,-375.421422366939
