arm,transition_group,stage,global_hour,path_count,site1_H2_production_kg_mean,site1_P_EL_kW_mean,site1_end_inventory_kg_mean,site1_inventory_before_HTT_kg_mean,site1_HTT_in_kg_mean,site1_HTT_out_kg_mean,site1_ordinary_shortage_kg_mean,site1_electrolyzer_capacity_binding_mean,site1_storage_capacity_binding_mean,site2_H2_production_kg_mean,site2_P_EL_kW_mean,site2_end_inventory_kg_mean,site2_inventory_before_HTT_kg_mean,site2_HTT_in_kg_mean,site2_HTT_out_kg_mean,site2_ordinary_shortage_kg_mean,site2_electrolyzer_capacity_binding_mean,site2_storage_capacity_binding_mean,site3_H2_production_kg_mean,site3_P_EL_kW_mean,site3_end_inventory_kg_mean,site3_inventory_before_HTT_kg_mean,site3_HTT_in_kg_mean,site3_HTT_out_kg_mean,site3_ordinary_shortage_kg_mean,site3_electrolyzer_capacity_binding_mean,site3_storage_capacity_binding_mean,site4_H2_production_kg_mean,site4_P_EL_kW_mean,site4_end_inventory_kg_mean,site4_inventory_before_HTT_kg_mean,site4_HTT_in_kg_mean,site4_HTT_out_kg_mean,site4_ordinary_shortage_kg_mean,site4_electrolyzer_capacity_binding_mean,site4_storage_capacity_binding_mean
BASE,NEW_FAILURES,1,1,82,5.8500000000000085,300.0,62.963615948051505,62.963615948051505,0.0,0.0,0.0,1.0,0.0,3.8999999999999986,200.0,53.89757893241362,53.89757893241362,0.0,0.0,0.0,1.0,0.0,2.3400000000000025,120.0,27.403908845222354,27.403908845222354,0.0,0.0,0.0,1.0,0.0,2.9250000000000043,150.0,35.42711378557882,35.42711378557882,0.0,0.0,0.0,1.0,0.0
BASE,NEW_FAILURES,1,2,82,5.8500000000000085,300.0,68.34814539964279,68.34814539964279,0.0,0.0,0.0,1.0,0.0,3.8999999999999986,200.0,57.48701992620234,57.48701992620234,0.0,0.0,0.0,1.0,0.0,2.3400000000000025,120.0,29.34745965104851,29.34745965104851,0.0,0.0,0.0,1.0,0.0,2.9250000000000043,150.0,38.0913802552468,38.0913802552468,0.0,0.0,0.0,1.0,0.0
BASE,NEW_FAILURES,1,3,82,5.8500000000000085,300.0,73.73267485123355,73.73267485123355,0.0,0.0,0.0,1.0,0.0,3.8999999999999986,200.0,61.07646091999132,61.07646091999132,0.0,0.0,0.0,1.0,0.0,2.3400000000000025,120.0,31.489235053961522,31.489235053961522,0.0,0.0,0.0,1.0,0.0,2.9250000000000043,150.0,40.755646724914754,40.755646724914754,0.0,0.0,0.0,1.0,0.0
BASE,NEW_FAILURES,1,4,82,5.8500000000000085,300.0,79.11720430282465,79.11720430282465,0.0,0.0,0.0,1.0,0.0,3.8999999999999986,200.0,64.35534290756887,64.35534290756887,0.0,0.0,0.0,1.0,0.0,2.3400000000000025,120.0,33.631010456874556,33.631010456874556,0.0,0.0,0.0,1.0,0.0,2.9250000000000043,150.0,43.41991319458283,43.41991319458283,0.0,0.0,0.0,1.0,0.0
BASE,NEW_FAILURES,1,5,82,5.8500000000000085,300.0,84.0362632060069,84.0362632060069,0.0,0.0,0.0,1.0,0.0,3.8999999999999986,200.0,67.01310688272407,67.01310688272407,0.0,0.0,0.0,1.0,0.0,2.3400000000000025,120.0,35.77278585978762,35.77278585978762,0.0,0.0,0.0,1.0,0.0,2.9250000000000043,150.0,45.82344613391885,45.82344613391885,0.0,0.0,0.0,1.0,0.0
BASE,NEW_FAILURES,1,6,82,5.8500000000000085,300.0,88.02438101237115,88.02438101237115,0.0,0.0,0.0,1.0,0.0,3.8999999999999986,200.0,67.88205098210288,67.88205098210288,0.0,0.0,0.0,1.0,0.0,2.3400000000000025,120.0,37.71633666561367,37.71633666561367,0.0,0.0,0.0,1.0,0.0,2.9250000000000043,150.0,47.7055120125907,47.7055120125907,0.0,0.0,0.0,1.0,0.0
BASE,NEW_FAILURES,1,7,82,5.8500000000000085,300.0,89.55481432313624,89.55481432313624,0.0,0.0,0.0,1.0,0.0,3.8999999999999986,200.0,67.99323110632665,67.99323110632665,0.0,0.0,0.0,1.0,0.0,2.3400000000000025,120.0,39.263438277265784,39.263438277265784,0.0,0.0,0.0,1.0,0.0,2.9250000000000043,150.0,48.54464376993476,48.54464376993476,0.0,0.0,0.0,1.0,0.0
BASE,NEW_FAILURES,1,8,82,5.8500000000000085,300.0,90.0053559615926,90.0053559615926,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.96217520570552,64.96217520570552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.677641500570154,37.677641500570154,0.0,0.0,0.0,0.0,0.0,2.9250000000000043,150.0,48.862308466614664,48.862308466614664,0.0,0.0,0.0,1.0,0.0
BASE,NEW_FAILURES,2,9,82,2.715140298489641,139.23796402510987,89.33539078952094,88.40092957084721,0.9344612186737147,0.0,0.0,0.45121951219512196,0.0,1.7597560975609767,90.2439024390244,65.16913627221052,65.16913627221052,0.0,0.0,0.0,0.45121951219512196,0.0,1.0558536585365863,54.146341463414636,36.094302405485166,37.02876362415888,0.0,0.9344612186737147,0.0,0.45121951219512196,0.0,2.033231707317074,104.26829268292683,48.8096719312758,48.8096719312758,0.0,0.0,0.0,0.6951219512195121,0.0
BASE,NEW_FAILURES,2,10,82,2.639634146341462,135.3658536585366,89.64767219381785,89.64767219381785,0.0,0.0,0.0,0.45121951219512196,0.0,1.7597560975609767,90.2439024390244,65.68665634492679,65.68665634492679,0.0,0.0,0.0,0.45121951219512196,0.0,1.0558536585365863,54.146341463414636,35.78637083606345,35.78637083606345,0.0,0.0,0.0,0.45121951219512196,0.0,1.319817073170731,67.6829268292683,48.8258213527865,48.8258213527865,0.0,0.0,0.0,0.45121951219512196,0.0
