arm,penalty,iteration,budget_s,elapsed_seconds,lower_bound,lower_bound_increment,forward_sampled_objective,cuts_before,cut_count,cuts_added,forward_stage_solve_count,backward_cut_solve_count,forward_time_s,backward_time_s,iteration_wall_time_s,cut_violation_flag,warning_id,warning_message,training_identity,convergence_scope,stage1_total_production,stage1_site1_production,stage1_site2_production,stage1_site3_production,stage1_site4_production,stage1_end_inventory_total,stage2_end_inventory_total,stage3_end_inventory_total
Arm-A,1000,1,18000,40.1213107,7666.68421740672,NaN,47308.1057426305,0,1051,1051,3,1051,0.1077685,38.2003791,40.1021128,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,120.12,46.8,31.2,18.72,23.4,127.627481134483,68.134475203772,22.6384092720463
Arm-A,1000,2,18000,93.249989,42398.2513893521,34731.5671719454,34060.2608720669,1051,2102,1051,2,1051,0.0551651,49.7585287,50.9300514,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,0,0,0,0,0,247.747481134483,308.374475203772,308.374475203772
Arm-A,1000,3,18000,146.2745235,53677.9820523609,11279.7306630088,77636.0835316125,2102,3153,1051,5,1051,0.1455201,51.1069469,52.3621634,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,92.5865840156767,40.9115840156767,19.5,11.7,20.475,127.627481134483,77.7570592582599,84.6039504270365
Arm-A,1000,4,18000,197.2067789,54304.8029813809,626.820929020047,78122.5226047836,3153,4204,1051,5,1051,0.1500091,49.4604881,50.4896144,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,98.865,40.95,23.4,14.04,20.475,220.21406515016,177.717044927356,158.350978995631
Arm-A,1000,5,18000,243.0782638,55839.6995847478,1534.89660336685,256983.678194066,4204,5255,1051,5,1051,0.1266805,44.4631019,45.3541115,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,98.865,40.95,23.4,14.04,20.475,226.492481134483,287.119475203772,356.200670107713
Arm-A,1000,6,18000,290.2788318,55844.1670904278,4.46750568000425,78714.3331765614,5255,6306,1051,5,1051,0.1169728,46.1786195,46.781263,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,101.79,40.95,23.4,14.04,23.4,226.492481134483,166.999475203772,147.633409272046
Arm-A,1000,7,18000,338.4250245,56015.9602312843,171.793140856469,9471.51371740672,6306,7357,1051,1,1051,0.0389907,47.065655,47.7417612,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,101.79,40.95,23.4,14.04,23.4,229.417481134483,229.417481134483,229.417481134483
Arm-A,1000,8,18000,383.1140769,56017.1231312857,1.16290000140725,58273.9149498269,7357,8408,1051,4,1051,0.0889293,43.9086221,44.5798913,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,229.417481134483,178.699475203772,147.243409272046
Arm-A,1000,9,18000,427.8469416,56272.2296150417,255.106483756019,9704.96321740672,8408,9459,1051,1,1051,0.0550233,44.0366586,44.6612963,0,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,237.607481134483,237.607481134483
Arm-A,1000,10,18000,475.0730395,56272.4836782711,0.254063229396706,9704.96321740672,9459,10510,1051,1,1051,0.0269612,46.2943348,46.9970159,0,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,237.607481134483,237.607481134483
