metric,serialization_off,serialization_on,absolute_difference,pass,smoke_pass
reported_objective,47308.1057426305,47308.1057426305,0,1,1
total_H2_production,0,0,0,1,1
terminal_inventory_total,22.6384092720463,22.6384092720463,0,1,1
ordinary_shortage_total,0,0,0,1,1
total_HTT,0,0,0,1,1
stage_objective_stage1,7666.68421740672,7666.68421740672,0,1,1
stage_objective_stage2,19151.4186546602,19151.4186546602,0,1,1
stage_objective_stage3,20490.0028705636,20490.0028705636,0,1,1
stage_production_stage1,0,0,0,1,1
stage_production_stage2,0,0,0,1,1
stage_production_stage3,0,0,0,1,1
stage_end_inventory_stage1,127.627481134483,127.627481134483,0,1,1
stage_end_inventory_stage2,68.134475203772,68.134475203772,0,1,1
stage_end_inventory_stage3,22.6384092720463,22.6384092720463,0,1,1
stage_ordinary_shortage_stage1,0,0,0,1,1
stage_ordinary_shortage_stage2,0,0,0,1,1
stage_ordinary_shortage_stage3,0,0,0,1,1
stage_HTT_stage1,0,0,0,1,1
stage_HTT_stage2,0,0,0,1,1
stage_HTT_stage3,0,0,0,1,1
