arm,penalty,path_id,stage,state_id,hurricane_a,hurricane_loc,hurricane_lf,beta,hour_in_stage,global_hour,tariff_yuan_per_kwh,total_P_EL_kW,pv_available_kw,pv_used_kw,root_grid_import,min_voltage_pu,min_voltage_bus,max_line_mva,max_line_id,max_line_from,max_line_to,max_line_loading_pct,grid_or_electrolyzer_binding_flag,total_HTT_kg,fleet_capacity_kg,fleet_utilization,fleet_capacity_binding
Arm-A,1000,1,1,81,2,4,1,0,1,1,0.3,0,0,0,2909.00103,0.934819904639515,18,3.42138506247874,1,1,2,0.570230843746456,0,0,160,0,0
Arm-A,1000,1,1,81,2,4,1,0,2,2,0.3,0,0,0,2741.0013,0.938707313677102,18,3.22379428791567,1,1,2,0.537299047985945,0,0,160,0,0
Arm-A,1000,1,1,81,2,4,1,0,3,3,0.3,0,0,0,2686.000725,0.939976499462418,18,3.15910605171634,1,1,2,0.526517675286056,0,0,160,0,0
Arm-A,1000,1,1,81,2,4,1,0,4,4,0.3,0,0,0,2630.000815,0.941266987498855,18,3.09324246019531,1,1,2,0.515540410032552,0,0,160,0,0
Arm-A,1000,1,1,81,2,4,1,0,5,5,0.32,0,0,0,2596.001135,0.942049629506017,18,3.05325416315402,1,1,2,0.508875693859004,0,0,160,0,0
Arm-A,1000,1,1,81,2,4,1,0,6,6,0.36,0,0,0,2518.000995,0.943842670248739,18,2.96151527715327,1,1,2,0.493585879525545,0,0,160,0,0
Arm-A,1000,1,1,81,2,4,1,0,7,7,0.45,0,0,0,2462.001085,0.945127879387662,18,2.89565168563225,1,1,2,0.482608614272041,0,0,160,0,0
Arm-A,1000,1,1,81,2,4,1,0,8,8,0.58,0,0,0,2630.000815,0.941266987498855,18,3.09324246019531,1,1,2,0.515540410032552,0,0,160,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,1,9,0.68,0,11.9752,11.9752,2964.025855,0.933695183382614,18,3.49001019097837,1,1,2,0.581668365163062,0,0,151.92380952381,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,2,10,0.74,0,34.5872,34.5872,2941.413855,0.934506838151662,18,3.47082660621506,1,1,2,0.578471101035844,0,0,151.92380952381,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,3,11,0.78,0,75.9904,75.9904,3057.01027,0.932348215697739,18,3.62045027682417,1,1,2,0.603408379470696,0,0,151.92380952381,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,4,12,0.82,0,139.5368,139.5368,3105.46369,0.932029559840564,18,3.69865614117145,1,1,2,0.616442690195241,0,0,151.92380952381,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,5,13,0.86,0,175.7824,175.7824,3125.218,0.931940611513906,33,3.73411946633581,1,1,2,0.622353244389301,0,0,151.92380952381,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,6,14,0.88,0,268.004,268.004,3133.996105,0.93136217871749,33,3.77598811848273,1,1,2,0.629331353080456,0,0,151.92380952381,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,7,15,0.8,0,308.4672,308.4672,2992.5332,0.934351791079408,33,3.62379850356587,1,1,2,0.603966417260978,0,0,151.92380952381,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,8,16,0.72,0,265.932,265.932,3035.0684,0.933579509550005,33,3.65900271030544,1,1,2,0.609833785050907,0,0,151.92380952381,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,1,17,0.7,0,218.4496,218.4496,3048.55112,0.933475249017343,33,3.65851472983338,1,1,2,0.60975245497223,0,0,137.142857142857,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,2,18,0.78,0,142.0192,142.0192,2990.98147,0.934719750392014,18,3.5648728686945,1,1,2,0.594145478115749,0,0,137.142857142857,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,3,19,0.92,0,42.2304,42.2304,3168.77041,0.929315773171461,18,3.74073835966949,1,1,2,0.623456393278249,0,0,137.142857142857,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,4,20,0.98,0,0,0,3625.00041,0.918067572956939,18,4.26349874969047,1,1,2,0.710583124948412,0,0,137.142857142857,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,5,21,0.95,0,0,0,3715,0.915940163768486,18,4.36935063825278,1,1,2,0.728225106375464,0,0,137.142857142857,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,6,22,0.8,0,0,0,3625.00041,0.918067572956939,18,4.26349874969047,1,1,2,0.710583124948412,0,0,137.142857142857,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,7,23,0.55,0,0,0,3580.99995,0.919105863079785,18,4.211748160731,1,1,2,0.701958026788501,0,0,137.142857142857,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,8,24,0.35,0,0,0,3301.0004,0.925685799078383,18,3.88243020312589,1,1,2,0.647071700520982,0,0,137.142857142857,0,0
