arm,penalty,path_id,stage,state_id,hurricane_a,hurricane_loc,hurricane_lf,beta,hour_in_stage,global_hour,site,electrical_bus,tariff_yuan_per_kwh,ordinary_demand_kg,ordinary_served_kg,ordinary_shortage_kg,H2_production_kg,P_EL_kW,pv_available_kw,pv_used_kw,root_grid_import,site_voltage_pu,begin_inventory_kg,inventory_before_HTT_kg,end_inventory_kg,HTT_in_kg,HTT_out_kg,begin_inventory_source,inventory_before_HTT_source,end_inventory_source,electrolyzer_capacity_binding,storage_capacity_binding
Arm-A,1000,1,1,81,2,4,1,0,1,1,1,24,0.3,0.930941096817874,0.930941096817874,0,0,0,0,0,2909.00103,0.979387522747568,58.0445570448695,57.1136159480516,57.1136159480516,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,1,1,2,14,0.3,0.31055900621118,0.31055900621118,0,0,0,0,0,2909.00103,0.938953520456351,50.3081379386248,49.9975789324136,49.9975789324136,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,1,1,3,18,0.3,0.19822459708696,0.19822459708696,0,0,0,0,0,2909.00103,0.934819904639515,25.2621334423093,25.0639088452224,25.0639088452224,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,1,1,4,31,0.3,0.521467060664001,0.521467060664001,0,0,0,0,0,2909.00103,0.938400391399781,33.0235808462428,32.5021137855788,32.5021137855788,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,2,2,1,24,0.3,0.465470548408937,0.465470548408937,0,0,0,0,0,2741.0013,0.980589717141008,57.1136159480516,56.6481453996427,56.6481453996427,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,2,2,2,14,0.3,0.31055900621118,0.31055900621118,0,0,0,0,0,2741.0013,0.942586636247568,49.9975789324136,49.6870199262024,49.6870199262024,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,2,2,3,18,0.3,0.396449194173921,0.396449194173921,0,0,0,0,0,2741.0013,0.938707313677102,25.0639088452224,24.6674596510485,24.6674596510485,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,2,2,4,31,0.3,0.260733530332001,0.260733530332001,0,0,0,0,0,2741.0013,0.942067470135764,32.5021137855788,32.2413802552468,32.2413802552468,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,3,3,1,24,0.3,0.465470548408937,0.465470548408937,0,0,0,0,0,2686.000725,0.980982977313253,56.6481453996427,56.1826748512337,56.1826748512337,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,3,3,2,14,0.3,0.31055900621118,0.31055900621118,0,0,0,0,0,2686.000725,0.943773024606416,49.6870199262024,49.3764609199912,49.3764609199912,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,3,3,3,18,0.3,0.19822459708696,0.19822459708696,0,0,0,0,0,2686.000725,0.939976499462418,24.6674596510485,24.4692350539615,24.4692350539615,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,3,3,4,31,0.3,0.260733530332001,0.260733530332001,0,0,0,0,0,2686.000725,0.943264918700606,32.2413802552468,31.9806467249148,31.9806467249148,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,4,4,1,24,0.3,0.465470548408937,0.465470548408937,0,0,0,0,0,2630.000815,0.981383220932609,56.1826748512337,55.7172043028248,55.7172043028248,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,4,4,2,14,0.3,0.62111801242236,0.62111801242236,0,0,0,0,0,2630.000815,0.944979438785021,49.3764609199912,48.7553429075689,48.7553429075689,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,4,4,3,18,0.3,0.19822459708696,0.19822459708696,0,0,0,0,0,2630.000815,0.941266987498855,24.4692350539615,24.2710104568745,24.2710104568745,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
