level,metric,max_absolute_residual,median_absolute_residual,violation_count,pass
hour_to_stage_site,ordinary_demand_kg,4.97379915032e-14,7.9936057773e-15,0,True
hour_to_stage_site,served_demand_kg,6.03961325396e-14,7.1054273576e-15,0,True
hour_to_stage_site,shortage_kg,5.86197757002e-14,0,0,True
hour_to_stage_site,production_kg,6.03961325396e-14,0,0,True
hour_to_stage_site,htt_in_kg,1.13686837722e-13,0,0,True
hour_to_stage_site,htt_out_kg,1.03028696685e-13,0,0,True
hour_to_stage_site,beginning_inventory_kg,0,0,0,True
hour_to_stage_site,ending_inventory_kg,0,0,0,True
hour_to_stage,production_kg,4.83169060317e-13,0,0,True
hour_to_stage,ordinary_shortage_kg,7.1054273576e-14,0,0,True
hour_to_stage,htt_kg,1.13686837722e-13,0,0,True
hour_to_stage,beginning_inventory_kg,1.02318153949e-12,1.13686837722e-13,0,True
hour_to_stage,ending_inventory_kg,1.53477230924e-12,8.52651282912e-14,0,True
stage_to_path,total_H2_production,1.02318153949e-12,1.42108547152e-14,0,True
stage_to_path,ordinary_shortage_total,3.97903932026e-13,0,0,True
stage_to_path,total_HTT,5.11590769747e-13,0,0,True
stage_to_path,actual_operating_cost,5.67524693906e-10,2.18278728426e-11,0,True
