global_hour,active_path_count,mean_production_kg,mean_inventory_kg,mean_shortage_kg,mean_HTT_kg,mean_P_EL_kW,active_path_fraction
1,10000,15.015,179.692217511,0,0,770,1
2,10000,15.015,193.274005232,0,0,770,1
3,10000,15.015,207.05401755,0,0,770,1
4,10000,15.015,220.523470862,0,0,770,1
5,10000,15.015,232.645602082,0,0,770,1
6,10000,15.015,241.328280673,0,0,770,1
7,10000,15.015,245.356127477,0,0,770,1
8,10000,8.775,241.507481134,0,0,450,1
9,8922,1.77881362589,233.623333262,0,0.14602854904,91.2212115842,0.8922
10,8922,0.991239071957,228.377530688,0,0,50.8327729209,0.8922
11,8922,0.991239071957,224.369351653,0,0.105118298175,50.8327729209,0.8922
12,8922,0.991239071957,220.077632351,0,0.00873203291301,50.8327729209,0.8922
13,8922,0.991239071957,214.733273831,0,0.127090842134,50.8327729209,0.8922
14,8922,0.991239071957,208.138051493,0,0.0778580107135,50.8327729209,0.8922
15,8922,0.991239071957,200.043518133,0,0.011838371338,50.8327729209,0.8922
16,8922,0.991239071957,190.731962333,0,0.0214718389032,50.8327729209,0.8922
17,7905,1.93261811503,181.773990992,0.126693537643,1.72624267518,99.1086212838,0.7905
18,7905,1.83435673624,172.518401107,0.12219038355,0.0584989213097,94.0695762176,0.7905
19,7905,1.78713240591,166.338874143,0.0862537071899,0.0358485356002,91.6478156874,0.7905
20,7905,1.61549937673,162.791228919,0.0557397995484,0.130670864488,82.8461218834,0.7905
21,7905,1.56184640404,160.680513406,0.0400712571904,0.00259020418787,80.0946873869,0.7905
22,7905,1.68065118089,160.080925631,0.0252552937447,0.0650066876841,86.1872400456,0.7905
23,7905,5.5259572338,164.188750416,0.0150798303961,0.13004444676,283.382422246,0.7905
24,7905,12.4965416729,175.155791549,0.0160461478939,0.368915020418,640.848290919,0.7905
25,5854,11.4931900979,188.093081711,0.0857634520397,3.51052441077,589.394363996,0.5854
26,5854,11.6846295679,198.397187458,0.0526884573918,0.126601008476,599.211772715,0.5854
27,5854,11.5529752782,208.764270934,0.0490958802757,0.149518483226,592.460270675,0.5854
28,5854,11.4594143448,218.734737621,0.0565990301911,0.198627396281,587.662274093,0.5854
29,5854,9.51718891813,225.467855277,0.108797517384,0.099505841158,488.06097016,0.5854
30,5854,7.29110607612,226.657942286,0.231302342601,0.420634644879,373.902875698,0.5854
31,5854,5.55906820183,221.651341567,0.42148427536,0.179452070578,285.080420606,0.5854
32,5854,3.44230084565,212.919930708,0.449934637719,0.593787134486,176.528248495,0.5854
33,2581,4.76537929741,225.581583804,0.398497265276,3.53208737262,244.378425508,0.2581
34,2581,3.48655905901,223.10191518,0.270813963566,0.197992387246,178.797900462,0.2581
35,2581,3.25663130176,221.577063565,0.217935189807,0.27418890138,167.006733424,0.2581
36,2581,3.11822465262,219.643216106,0.230886261416,0.279546640273,159.908956545,0.2581
37,2581,3.05585632164,216.636911409,0.273436574228,0.162261397798,156.710580597,0.2581
38,2581,3.0034637667,212.380616147,0.326702381752,0.265282362566,154.023782908,0.2581
39,2581,3.18453442618,206.860727563,0.381349421108,0.143394072502,163.309457753,0.2581
40,2581,3.94478638613,200.927725178,0.425006100755,0.81793385272,202.29673775,0.2581
41,474,5.61233873809,211.683806406,0.619306829901,4.98466899644,287.812242979,0.0474
42,474,4.37848747696,205.451642504,0.601485625171,0.647111901173,224.537819331,0.0474
43,474,3.69731562917,201.530975302,0.434930246386,0.348962455096,189.605929701,0.0474
44,474,3.10228832476,199.697883077,0.283503850356,0.227959663429,159.091708962,0.0474
45,474,3.10235816128,199.291362574,0.203754510218,0.346280652509,159.095290322,0.0474
46,474,3.74560178271,200.860326371,0.128856263272,0.364516750313,192.082142703,0.0474
47,474,7.22217857077,206.72979641,0.0805037480147,0.907910347938,370.368131834,0.0474
48,474,10.5931217194,215.864216672,0.086845230132,1.38961528064,543.237011254,0.0474
