terminal_a,terminal_loc,path_count,mean_target_kg,mean_final_inventory_kg,adequate_probability,positive_gap_probability,gap_if_positive_kg,adequate_surplus_mean_kg,adequate_surplus_median_kg,mean_production_kg,mean_final16h_production_kg,mean_final8h_production_kg,mean_HTT_kg,ordinary_shortage_probability,ordinary_shortage_if_positive_kg,mean_ordinary_shortage_kg,mean_actual_operating_cost_yuan,arrival_stage_distribution
2,1,321,0,169.400789638,1,0,,169.400789638,161.351253753,199.428928828,66.1967702228,32.6738358058,5.35027728742,0.01246105919,21.8596398981,0.272394266643,65010.5395477,after Stage2:4;after Stage3:67;after Stage4:139;after Stage5:93;after Stage6:18
2,2,692,0,166.232401261,1,0,,166.232401261,161.351253753,195.908298067,66.3263649929,32.2912973483,4.27486807864,0.0158959537572,25.1016276029,0.399014311606,64754.9670276,after Stage2:12;after Stage3:141;after Stage4:303;after Stage5:193;after Stage6:43
2,3,632,0,167.887076486,1,0,,167.887076486,161.351253753,195.15574583,68.2075146408,32.9303083335,3.72638788808,0.0221518987342,27.4898529936,0.608952439731,64162.1758327,after Stage2:12;after Stage3:146;after Stage4:265;after Stage5:175;after Stage6:34
2,4,660,0,162.262872456,1,0,,162.262872456,160.308409272,190.961485738,64.0010294546,30.735139804,2.85835792679,0.00606060606061,33.5030864144,0.203049008572,64219.2089874,after Stage2:18;after Stage3:132;after Stage4:291;after Stage5:177;after Stage6:42
2,5,645,0,155.989919612,1,0,,155.989919612,153.454475204,186.492752749,55.7627212096,25.3278010569,3.69739838225,0.015503875969,22.3200315497,0.34604700077,64934.6599617,after Stage2:6;after Stage3:136;after Stage4:282;after Stage5:177;after Stage6:44
2,6,527,0,154.62426129,1,0,,154.62426129,151.620006221,188.364193013,56.6000270347,21.6502363741,3.70317985195,0.00759013282732,24.1593612437,0.183372760863,65813.1108566,after Stage2:5;after Stage3:104;after Stage4:214;after Stage5:169;after Stage6:35
2,7,1210,0,146.346551038,1,0,,146.346551038,145.293409272,178.656054026,49.7485735303,20.1224014509,2.19175578605,0.00330578512397,25.0406635329,0.0827790530014,65043.234833,after Stage2:15;after Stage3:237;after Stage4:522;after Stage5:349;after Stage6:87
3,1,70,142.923283799,281.840303822,0.685714285714,0.314285714286,14.5609860012,190.617498862,189.372131688,314.063556514,159.693343258,92.9475939191,28.0754179651,0.271428571429,21.2968891879,5.78058420815,73098.9083607,after Stage3:9;after Stage4:35;after Stage5:19;after Stage6:7
3,2,114,180.565756528,272.089539425,0.605263157895,0.394736842105,32.190850872,159.493312963,147.371376594,301.963259787,142.354407472,79.439934045,25.5178137933,0.210526315789,36.1990897014,7.62086098976,72883.2350599,after Stage2:1;after Stage3:19;after Stage4:45;after Stage5:42;after Stage6:7
3,3,113,156.407515605,263.953724392,0.699115044248,0.300884955752,7.0690531714,149.2267533,132.961959599,291.571749572,140.593534516,83.4277112762,22.1829364097,0.185840707965,31.9186991951,5.93179365573,70654.037116,after Stage3:16;after Stage4:60;after Stage5:29;after Stage6:8
3,4,115,180.836278269,262.807213021,0.6,0.4,25.7185472357,147.294069274,151.459137218,294.478881165,140.038876084,78.7202620363,20.0101820198,0.147826086957,27.2071845008,4.02193162186,71273.9514836,after Stage2:2;after Stage3:19;after Stage4:49;after Stage5:35;after Stage6:10
3,5,125,58.1956878969,250.117974145,0.976,0.024,1.96100869747,193.516722995,198.278784901,282.648481263,141.623280466,80.8426324162,25.5989004658,0.2,19.9856320576,3.99712641152,71178.043169,after Stage3:21;after Stage4:54;after Stage5:42;after Stage6:8
3,6,95,0,253.742144051,1,0,,253.742144051,251.186343625,282.521757124,142.128394669,77.7472703501,22.4083192044,0.126315789474,21.4914721256,2.7147122685,69160.5581154,after Stage3:17;after Stage4:45;after Stage5:30;after Stage6:3
3,7,219,0,244.679928375,1,0,,244.679928375,228.742481134,280.599415575,127.563121375,67.3806697037,18.834191987,0.0365296803653,19.2498401115,0.703190506356,70682.6646134,after Stage2:5;after Stage3:41;after Stage4:79;after Stage5:75;after Stage6:19
4,1,35,374.764778406,415.566428008,0.228571428571,0.771428571429,48.7835038426,101.643158025,119.690878089,440.805889747,214.972741217,112.536015859,69.1203844721,0.657142857143,42.7153417863,28.0700817453,89175.0993015,after Stage3:4;after Stage4:12;after Stage5:12;after Stage6:7
4,2,63,395.525364721,406.639859706,0.174603174603,0.825396825397,56.8233992242,104.439116824,121.813103532,426.552358959,214.688401794,116.99971463,61.1967362688,0.666666666667,41.2777426696,27.518495113,85593.7003374,after Stage3:6;after Stage4:24;after Stage5:28;after Stage6:5
