arrival_after_stage,terminal_a,N,gap_probability,gap_if_positive_kg,adequate_surplus_mean_kg
2,2,72,0,,185.613587779
2,3,8,0.375,14.9461060096,182.014475204
2,4,0,,,
2,5,0,,,
2,6,0,,,
3,2,963,0,,153.181526535
3,3,142,0.267605633803,25.7286506389,206.944349359
3,4,38,0.605263157895,65.3871913981,228.332136136
3,5,6,0.833333333333,120.801649996,254.927174612
3,6,0,,,
4,2,2016,0,,168.650234279
4,3,367,0.174386920981,15.9235145881,198.664539951
4,4,182,0.604395604396,57.330099803,262.497288442
4,5,47,0.723404255319,78.252180264,234.962318798
4,6,1,0,,188.88250824
5,2,1333,0,,147.275976134
5,3,272,0.128676470588,25.6583669955,209.341676241
5,4,168,0.452380952381,41.9192224086,296.560972739
5,5,67,0.537313432836,65.0568080896,273.088647376
5,6,1,0,,202.094716459
6,2,303,0,,147.170551306
6,3,62,0.161290322581,25.8539167244,214.706027904
6,4,41,0.463414634146,43.9909527631,259.742762455
6,5,33,0.545454545455,44.201902471,280.604992872
6,6,2,1,77.9502213585,
