deficit_site_combination,count,fraction_of_shortfall_paths,number_of_deficit_sites
site1+site2+site3+site4,105,0.221987315011,4
site4,61,0.128964059197,1
site3,55,0.116279069767,1
site1+site4,54,0.114164904863,2
site2+site3,40,0.0845665961945,2
site1+site3+site4,37,0.0782241014799,3
site3+site4,32,0.0676532769556,2
site2,20,0.0422832980973,1
site1,14,0.0295983086681,1
site1+site2+site3,12,0.0253699788584,3
site2+site3+site4,12,0.0253699788584,3
site1+site2+site4,12,0.0253699788584,3
site1+site3,11,0.0232558139535,2
site2+site4,5,0.0105708245243,2
site1+site2,3,0.00634249471459,2
