path_id,final_gap_kg,other_site_surplus_at_minus16h_kg,deficit_at_minus16h_kg,remaining_fleet_spare_proxy_minus16h_kg,realized_helpful_HTT_minus16h_kg,realized_total_HTT_minus16h_kg,any_saved_OD_flow_minus16h,fleet_capacity_binding_fraction_minus16h,enough_other_inventory_minus16h,other_site_surplus_at_minus8h_kg,deficit_at_minus8h_kg,remaining_fleet_spare_proxy_minus8h_kg,realized_helpful_HTT_minus8h_kg,realized_total_HTT_minus8h_kg,any_saved_OD_flow_minus8h,fleet_capacity_binding_fraction_minus8h,enough_other_inventory_minus8h,other_site_surplus_at_minus4h_kg,deficit_at_minus4h_kg,remaining_fleet_spare_proxy_minus4h_kg,realized_helpful_HTT_minus4h_kg,realized_total_HTT_minus4h_kg,any_saved_OD_flow_minus4h,fleet_capacity_binding_fraction_minus4h,enough_other_inventory_minus4h,diagnosis,road_accessibility_evidence,od_specific_capacity_evidence
11,53.0799968209,12.53003467,156.869055767,1611.00122974,19.1645653298,70.3701988337,True,0,False,48.2173256264,72.436346723,753.951902036,0,9.47666939222,True,0,False,83.3356517235,63.5284889174,378.726626238,0,2.98765947656,True,0,True,有库存但出现得太晚,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
16,42.2756145101,7.99464047944,162.012524066,1849.65002098,59.9588146458,166.349979021,True,0,False,42.2577164435,135.648605961,821.325369858,36.9972286826,70.103201571,True,0,False,39.955666137,74.5791246108,406.340943569,7.90774733231,39.3733421457,True,0,False,没有足够可搬库存,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
24,11.1824243848,12.9558592197,97.5873145662,1723.36710155,16.7649564711,93.3186127319,True,0,False,28.3198479,26.0915539858,764.043655349,3.05489402809,63.3849160793,True,0,True,63.4397001269,6.02267697127,359.103090272,0,54.6111954426,True,0,True,有库存也有系统HTT空间但未充分调运（道路可达性未保存，属候选诊断）,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
156,32.6665038588,7.42326746802,101.948241261,1626.40285568,8.09424460494,43.6923824178,True,0,False,21.9653914608,55.8633711842,775.892437382,6.09475369093,28.6789911895,True,0,False,42.4308360043,59.6009989911,402.285714286,0,0,False,0,False,没有足够可搬库存,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
182,1.41822735169,128.1611274,0,2230.85714286,0,0,False,0,True,68.6681214688,0,1097.14285714,0,0,False,0,True,32.2973348662,0.128392937871,548.571428571,0,0,False,0,True,mixed / unresolved,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
202,1.8058673584,59.9930295069,84.2120506034,1794.88750909,52.2063802911,79.3982051918,True,0,False,92.470438209,35.5803874431,811.712042506,14.9686506655,15.7165289226,True,0,True,105.83368498,15.0660138385,407.829043594,5.13736386335,5.88524212042,True,0,True,有库存也有系统HTT空间但未充分调运（道路可达性未保存，属候选诊断）,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
216,3.30179982923,5.52263281298,149.86165391,1766.02604565,43.6118905775,94.5453829229,True,0,False,51.0611823212,75.2802034177,851.16956062,34.1892577645,40.2590108086,True,0,False,60.2027787326,24.3617998292,445.714285714,0,0,False,0,True,有库存但出现得太晚,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
230,38.8568513058,2.56021279097,185.994258446,1934.61524614,24.470202295,74.9847538584,True,0,False,42.9209676976,145.24594149,872.88745134,24.470202295,50.5411200886,True,0,False,59.048323242,103.01802857,411.173165626,24.470202295,50.5411200886,True,0,False,没有足够可搬库存,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
285,0.448467790115,0,171.647322222,1734.91535205,13.2736891644,50.0751241365,True,0,False,0,90.5382503594,737.038137934,3.8665308184,26.3904334945,True,0,False,2.38899374584,32.8672441053,381.714285714,0,0,False,0,False,没有足够可搬库存,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
289,8.77135533998,0,135.579586925,2055.82746603,22.3471795764,50.6868196862,True,0,False,12.2985156271,66.7690306901,958.784792794,22.3471795764,35.9580643484,True,0,False,33.3687679738,32.2930938291,461.413364223,22.3471795764,35.9580643484,True,0,True,有库存但出现得太晚,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
313,14.7681317123,0,161.728449416,1904.08910419,10.0777681381,43.034705329,True,0,False,5.24223944386,106.34369479,854.562173141,10.0777681381,36.8663982877,True,0,False,6.32386348776,48.6578877903,415.833694427,3.09196113813,29.8805912877,True,0,False,没有足够可搬库存,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
439,10.964019956,12.9558592197,97.5873145662,1715.95739814,13.710062443,81.5283161432,True,0,False,24.5218298434,22.2935359292,772.035933881,0,55.3926375473,True,0,True,60.5128478822,2.22465891468,362.644065338,0,51.0702203767,True,0,True,有库存也有系统HTT空间但未充分调运（道路可达性未保存，属候选诊断）,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
462,43.3033998993,34.1815333316,127.572422849,1663.90059951,23.0663332549,50.3851147761,True,0,False,48.1672593106,72.3862804072,742.35762314,9.35628354383,21.0709482891,True,0,False,79.7699425359,48.7457951714,381.714285714,0,0,False,0,True,有库存但出现得太晚,NOT_AVAILABLE_FROM_SAVED_DATA,NOT_AVAILABLE_FROM_SAVED_DATA
