record_type,mechanism,relative_hour,site,N,mean_inventory_minus_target_kg,median_inventory_minus_target_kg,deficit_probability,surplus_probability,path_id,first_observed_deficit_relative_hour,first_observed_simultaneous_deficit_surplus_hour,mismatch_hour_count,observed_hour_count
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-24,1,128,-71.3398659115,-79.2628077555,0.7890625,0.2109375,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-24,2,128,-9.37386217164,-0.0306890727963,0.5,0.5,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-24,3,128,-1.24991830254,3.1365906995,0.4921875,0.5078125,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-24,4,128,-53.0696276027,-46.0027895682,0.921875,0.078125,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-16,1,152,-66.5004258477,-86.2692347644,0.901315789474,0.0986842105263,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-16,2,152,-8.46459563644,-4.82634124671,0.572368421053,0.427631578947,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-16,3,152,-4.89794814775,-0.854553030433,0.592105263158,0.407894736842,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-16,4,152,-51.3204373802,-45.7545313522,0.973684210526,0.0263157894737,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-8,1,152,-40.1349850224,-34.9535810716,0.901315789474,0.0986842105263,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-8,2,152,-5.02009237527,-1.535848038,0.513157894737,0.486842105263,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-8,3,152,-8.67333264828,-4.40203854585,0.703947368421,0.296052631579,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-8,4,152,-40.057914486,-29.3937726894,0.980263157895,0.0197368421053,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-4,1,152,-21.3347322497,-16.3180453819,0.828947368421,0.171052631579,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-4,2,152,-5.53141926473,-0.395639554994,0.5,0.5,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-4,3,152,-8.32659265347,-4.73659043116,0.677631578947,0.322368421053,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,-4,4,152,-27.7480951981,-20.3816755051,0.888157894737,0.111842105263,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,0,1,152,-10.767392658,-8.95662438767,0.578947368421,0.355263157895,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,0,2,152,-2.8010500492,4.34375968,0.375,0.611842105263,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,0,3,152,-4.69705859387,-1.51174229708,0.598684210526,0.342105263158,,,,,
checkpoint_site_summary,MIXED_QUANTITY_AND_SPATIAL,0,4,152,-20.3807341934,-16.5188952282,0.756578947368,0.243421052632,,,,,
