record_type,N,denominator_all_paths,occurrence_probability,unconditional_mean_kg,shortage_if_positive_kg_mean,shortage_if_positive_kg_median,shortage_if_positive_kg_q25,shortage_if_positive_kg_q75,shortage_if_positive_kg_q90,shortage_if_positive_kg_q95,shortage_if_positive_kg_q99,shortage_if_positive_kg_max,hours_mean,hours_median,hours_q25,hours_q75,hours_q90,hours_q95,hours_q99,hours_max,site,shortage_hour_rows,affected_paths,shortage_kg,stage,global_hour,reached_stage7,terminal_gap_flag,mean_shortage_kg,terminal_a,terminal_loc,arrival_after_stage
positive_path_distribution,550,10000,0.055,2.00460466949,36.4473576271,39.0109281376,21.9577116029,45.4960659317,59.4930059307,75.2120497995,98.5039340683,111.654629209,,,,,,,,,,,,,,,,,,,,
shortage_hours_per_affected_path,550,,,,,,,,,,,,9.38,8,8,8,16,16,18.04,24,,,,,,,,,,,,
by_site,,,,,,,,,,,,,,,,,,,,,1,4451,531,9285.95709259,,,,,,,,
by_site,,,,,,,,,,,,,,,,,,,,,2,2675,311,3932.85703824,,,,,,,,
by_site,,,,,,,,,,,,,,,,,,,,,3,2671,307,2324.04571434,,,,,,,,
by_site,,,,,,,,,,,,,,,,,,,,,4,4077,466,4503.18684976,,,,,,,,
by_stage,,,,,,,,,,,,,,,,,,,,,,2587,110,3852.34331133,3,,,,,,,
by_stage,,,,,,,,,,,,,,,,,,,,,,6959,353,8521.4663812,4,,,,,,,
by_stage,,,,,,,,,,,,,,,,,,,,,,3478,176,6516.06269456,5,,,,,,,
by_stage,,,,,,,,,,,,,,,,,,,,,,850,34,1156.17430784,6,,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,319,108,1001.51241507,,17,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,324,110,965.914981966,,18,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,324,110,681.835555336,,19,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,324,110,440.62311543,,20,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,324,110,316.76328809,,21,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,324,110,199.643097052,,22,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,324,110,119.206059281,,23,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,324,110,126.844799101,,24,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,878,331,502.059248241,,25,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,868,336,308.438229571,,26,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,884,352,287.407283134,,27,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,878,352,331.330722739,,28,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,888,345,636.900666767,,29,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,890,341,1354.04391359,,30,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,869,332,2467.36894796,,31,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,804,309,2633.91736921,,32,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,411,154,1028.52144168,,33,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,455,170,698.970839964,,34,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,443,169,562.490724893,,35,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,442,169,595.917440715,,36,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,436,166,705.739798083,,37,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,435,165,843.218847301,,38,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,434,163,984.262855879,,39,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,422,158,1096.94074605,,40,,,,,,
