arm,penalty,path_id,stage,state_id,hurricane_a,hurricane_loc,hurricane_lf,beta,hour_in_stage,global_hour,origin_site,destination_site,flow_kg,distance_km,unit_cost_yuan_per_kg,htt_cost_yuan,lt5,lt10,source_inventory_pre_htt_kg,source_ending_inventory_kg,destination_inventory_pre_htt_kg,destination_ending_inventory_kg,destination_demand_kg,destination_served_kg,destination_shortage_kg,source_production_kg,fleet_capacity_kg,total_hour_htt_kg,fleet_capacity_binding
Arm-A,1000,1889,3,196,4,4,4,0.212142857143,1,17,2,1,25.0107835238,28.2276208211,32.163357667,804.430776009,0,0,85.4037901125,60.3930065887,120.182437884,145.193221408,5.02708192282,0,5.02708192282,3.9,126.057142857,25.0107835238,0
Arm-A,1000,1889,3,196,4,4,4,0.212142857143,7,23,3,1,29.9766292001,28.2276208211,32.163357667,964.149046614,0,0,58.2508537987,28.2742245986,180.293221408,210.269850608,0.465470548409,0,0.465470548409,1.31697705118,126.057142857,29.9766292001,0
Arm-A,1000,1889,4,181,4,2,5,0.242857142857,1,25,2,3,0.962322835533,8,9.50857142857,9.15031541902,1,1,91.2824475825,90.3201247469,32.7560000015,33.718322837,0.198224597087,0.198224597087,0,3.9,121.142857143,0.962322835533,0
Arm-A,1000,1889,4,181,4,2,5,0.242857142857,8,32,1,4,34.2745542788,24.388346875,28.9872922857,993.526522841,0,0,248.080649525,213.806095246,98.2140553813,132.48860966,2.60733530332,2.60733530332,0,5.85,121.142857143,34.2745542788,0
Arm-A,1000,1889,5,190,4,3,6,0.328571428571,1,33,3,1,12.6215136587,28.2276208211,37.4217601742,472.31925717,0,0,46.9673239574,34.3458102987,215.336528557,227.958042216,4.31956668923,4.31956668923,0,2.34,107.428571429,12.6215136587,0
Arm-A,1000,1889,5,190,4,3,6,0.328571428571,8,40,2,1,2.88846866801,28.2276208211,37.4217601742,108.091581765,1,1,121.459436953,118.570968285,250.754690828,253.643159496,3.72376438727,3.72376438727,0,3.9,107.428571429,2.88846866801,0
Arm-A,1000,3175,4,141,3,4,5,0.188571428571,1,25,2,4,18.5246012316,22.9939521853,25.3327656076,469.279380974,0,0,76.3975789324,57.8729777008,55.1521137856,73.6767150172,0.521467060664,0.521467060664,0,3.9,129.828571429,18.5246012316,0
Arm-A,1000,3175,4,141,3,4,5,0.188571428571,7,31,3,1,17.561262789,28.2276208211,31.0987731103,546.133727005,0,0,45.91137263,28.350109841,128.154814323,145.716077112,4.31956668923,4.31956668923,0,2.34,129.828571429,17.561262789,0
Arm-A,1000,3909,5,166,3,7,6,0.285714285714,1,33,2,1,1.63324522926,28.2276208211,35.4861518893,57.9575882782,1,1,35.2093801746,33.5761349454,72.0810220162,80.825517111,4.31956668923,4.31956668923,0,3.9,114.285714286,8.74449509479,0
Arm-A,1000,3909,5,166,3,7,6,0.285714285714,1,33,3,1,7.11124986553,28.2276208211,35.4861518893,252.350892851,0,1,19.7614691318,12.6502192663,72.0810220162,80.825517111,4.31956668923,4.31956668923,0,2.34,114.285714286,8.74449509479,0
