group,N,actual_cost_yuan_mean,actual_cost_yuan_median,actual_cost_yuan_q25,actual_cost_yuan_q75,actual_cost_yuan_q90,actual_cost_yuan_q95,actual_cost_yuan_q99,actual_cost_yuan_max,mean_production_kg,mean_HTT_kg,mean_ordinary_shortage_kg,mean_terminal_gap_kg,mean_terminal_surplus_kg
all_10000,10000,56192.3696759,58228.7647362,49613.7064926,77299.8426255,82521.1618388,98829.1622353,110053.971647,139200.112218,195.428090389,7.42590312804,2.00460466949,2.15882815314,178.985175345
physical_dissipation,3497,35266.6123888,28954.6708721,9797.55821741,50087.2897426,59037.07571,78040.238814,85878.3190154,111666.20024,137.762226374,0.397912174673,0.014667103924,0,192.651636203
Stage7_all,6124,67856.7771376,59009.1349955,58093.5305143,78423.8952705,94162.6812062,100064.944093,114112.706709,139200.112218,227.559097304,11.4605609612,3.15304396766,3.52519293459,169.331573089
Stage7_adequate,5651,66981.676185,58895.7258317,57511.8603018,78274.4287834,89465.4885616,99717.8752552,110012.481033,135468.790538,217.102169466,8.95843428198,1.88690375684,1.57171902265e-17,169.331573089
Stage7_shortfall,473,78311.7358751,73843.241275,60578.0604361,94710.5780931,107074.331517,118259.45768,127716.703185,139200.112218,352.489539612,41.3538334018,18.2798057676,45.6411871701,
pure_quantity,118,72982.9465649,69586.3772418,60604.3449868,82646.5017915,99449.6074809,100825.422957,112917.917308,115945.297829,287.045826365,27.9401898761,16.2632883194,88.9719315728,
pure_location,203,82226.1527404,77998.3417976,63384.3541732,99556.6691101,115205.389255,120429.101411,132952.66378,139200.112218,408.39354222,52.1132293341,17.6253106855,14.4028348256,
mixed,152,77220.7524209,73929.5532589,58993.6046597,89272.7822817,100391.675345,114383.838431,128367.850997,132634.568461,328.633260885,37.3976002555,20.719355508,53.7224877385,
difficult4,245,79607.749952,77169.0526719,63319.6711457,96660.5441177,110406.064483,119724.555062,129148.861638,139039.554509,353.695141788,42.2228070423,19.5683653645,47.8405788407,
extreme1,62,75368.3654764,69586.3772418,63541.1264962,83741.0954387,99550.8778713,101878.262633,115904.076879,119387.462409,318.760398936,33.7866315478,26.8629575372,139.720010978,
normal95,5817,67281.788859,58909.9900547,57649.56496,78312.3095796,90457.9316184,99824.0384764,111642.935524,139200.112218,221.274446866,9.92695830242,2.20895450857,0.207099713742,169.331573089
