path_id,surplus_bin,final_target_kg,final_inventory_kg,final_surplus_kg,first_positive_inventory_hour,first_25pct_target_hour,first_50pct_target_hour,first_75pct_target_hour,first_100pct_target_hour,stable_100pct_target_hour,arrival_stage,final_intensity,final_location,peak_observed_operating_intensity,max_hypothetical_target_from_observed_operating_states_kg,hypothetical_target_drop_to_final_kg,operating_location_changed,risk_later_weakened_signal,HTT_last24h_kg,mechanism_signal_count,mechanism_signals,interpretation_limit,total_inventory_minus24h_kg,inventory_minus_target_minus24h_kg,production_minus24h_kg,HTT_minus24h_kg,ordinary_shortage_minus24h_kg,storm_intensity_minus24h,storm_location_minus24h,system_electrolyzer_utilization_minus24h,inventory_site1_minus24h_kg,gap_site1_minus24h_kg,inventory_site2_minus24h_kg,gap_site2_minus24h_kg,inventory_site3_minus24h_kg,gap_site3_minus24h_kg,inventory_site4_minus24h_kg,gap_site4_minus24h_kg,total_inventory_minus16h_kg,inventory_minus_target_minus16h_kg,production_minus16h_kg,HTT_minus16h_kg,ordinary_shortage_minus16h_kg,storm_intensity_minus16h,storm_location_minus16h,system_electrolyzer_utilization_minus16h,inventory_site1_minus16h_kg,gap_site1_minus16h_kg,inventory_site2_minus16h_kg,gap_site2_minus16h_kg,inventory_site3_minus16h_kg,gap_site3_minus16h_kg,inventory_site4_minus16h_kg,gap_site4_minus16h_kg,total_inventory_minus8h_kg,inventory_minus_target_minus8h_kg,production_minus8h_kg,HTT_minus8h_kg,ordinary_shortage_minus8h_kg,storm_intensity_minus8h,storm_location_minus8h,system_electrolyzer_utilization_minus8h,inventory_site1_minus8h_kg,gap_site1_minus8h_kg,inventory_site2_minus8h_kg,gap_site2_minus8h_kg,inventory_site3_minus8h_kg,gap_site3_minus8h_kg,inventory_site4_minus8h_kg,gap_site4_minus8h_kg,total_inventory_minus4h_kg,inventory_minus_target_minus4h_kg,production_minus4h_kg,HTT_minus4h_kg,ordinary_shortage_minus4h_kg,storm_intensity_minus4h,storm_location_minus4h,system_electrolyzer_utilization_minus4h,inventory_site1_minus4h_kg,gap_site1_minus4h_kg,inventory_site2_minus4h_kg,gap_site2_minus4h_kg,inventory_site3_minus4h_kg,gap_site3_minus4h_kg,inventory_site4_minus4h_kg,gap_site4_minus4h_kg,total_inventory_t0h_kg,inventory_minus_target_t0h_kg,production_t0h_kg,HTT_t0h_kg,ordinary_shortage_t0h_kg,storm_intensity_t0h,storm_location_t0h,system_electrolyzer_utilization_t0h,inventory_site1_t0h_kg,gap_site1_t0h_kg,inventory_site2_t0h_kg,gap_site2_t0h_kg,inventory_site3_t0h_kg,gap_site3_t0h_kg,inventory_site4_t0h_kg,gap_site4_t0h_kg
19,0-50 kg,180.836278269,229.714926623,48.878648354,-39,-39,-39,-39,-38,-6,5,3,4,3,0,-180.836278269,True,False,12.1986636821,2,LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",182.014475204,1.17819693502,0,0,0,2,7,0,67.5324378844,3.3453016791,50.3037901125,0,28.6029194459,0,35.5753277609,3.70132720443,147.633409272,-33.2028689967,11.115,0,0,2,5,0.74025974026,55.6945570449,15.1831825186,41.6081379386,6.16240694465,20.9821334423,1.92920541433,29.3485808462,9.92807411909,169.087932553,-11.7483457153,0,0,0,2,6,0,70.9540799059,0,35.4388015036,12.3317433797,23.4854242996,0,39.2096268443,0.0670281209959,202.965552929,22.1292746599,15.015,0,0,3,7,1,96.1820597694,0,42.4462916985,5.32425318474,19.0907068952,3.82063196148,45.2464945655,0,229.714926623,48.878648354,15.015,0,0,3,7,1,107.479825511,0,48.8226892141,0,24.0897657592,0,49.3226461386,0
27,>200 kg,346.859686167,548.954402626,202.094716459,-39,-39,-39,-29,-17,-17,5,6,7,5,386.76593055,39.9062443836,True,True,64.3691444259,4,EARLY_INVENTORY_BUILD_SIGNAL;RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",302.134475204,-44.7252109628,15.015,0,0,3,3,1,114.332437884,87.3659248773,81.5037901125,0,47.3229194459,0,58.9753277609,17.4520040722,371.306343625,24.4466574582,15.015,3.47707757168,0,3,2,1,143.444557045,58.2538057168,100.531060367,0,54.1071453668,0,73.2235808462,3.20375098684,457.728737646,110.869051479,15.015,6.48671967686,0.359385082387,4,3,1,175.405355962,26.2930068001,112.598377957,0,35.2274168392,0,134.497586888,0,505.741853537,158.88216737,15.015,0,2.65478058198,5,6,1,212.685864272,0,122.763595348,0,44.5874168392,0,125.704977078,0,548.954402626,202.094716459,15.015,3.56396972624,5.11133656688,5,6,1,236.085864272,0,125.576023138,0,59.8880498992,0,127.404465317,0
28,100-200 kg,316.940731494,499.00728354,182.066552046,-31,-31,-31,-26,-15,-15,4,4,5,4,423.861526765,106.920795271,True,True,116.994746576,3,RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",241.507481134,-75.4332503594,8.775,0,0,2,4,0.584415584416,90.0053559616,79.2628077555,64.9621752057,0,37.6776415006,0,48.8623084666,18.5977699741,302.134475204,-14.8062562901,15.015,2.15141660421,0,3,6,1,160.354816682,8.91334703499,81.5037901125,0,1.30054064822,28.1569318281,58.9753277609,8.48475067983,416.802409557,99.8616780626,15.015,0,1.54554668825,4,5,1,207.154816682,0,93.6700797778,0,33.6021853357,0,82.3753277609,0,471.469671737,154.528940243,15.015,0,0.260733530332,4,4,1,228.22746394,0,72.117414122,0,35.3488126947,0,135.775980981,0,499.00728354,182.066552046,15.015,0,0,4,4,1,229.399078436,0,76.6242464201,0,41.7354437384,0,151.248514946,0
29,100-200 kg,386.76593055,524.843426503,138.077495953,-31,-31,-29,-18,-10,-10,4,4,3,4,395.525364721,8.75943417116,True,True,97.0973544938,3,RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",241.507481134,-145.258449416,8.775,0,0,2,4,0.584415584416,90.0053559616,94.2930938291,64.9621752057,17.4937995792,37.6776415006,0,48.8623084666,36.7821372818,302.134475204,-84.6314553465,15.015,0,0,3,5,1,114.332437884,69.9660119063,81.5037901125,0.952184672406,47.3229194459,0,58.9753277609,26.6691179875,416.802409557,30.0364790063,15.015,0,1.54554668825,4,6,1,198.069458796,0,97.2946912662,0,51.1410445997,0,70.2972148951,15.3472308533,475.871286571,89.1053560209,15.015,0,1.34732209116,4,2,1,221.469458796,0,126.953490546,0,41.513504788,0,85.9348324418,0,524.843426503,138.077495953,15.015,0,5.63839120394,4,2,1,194.591050927,0,142.553490546,0,47.9001358317,0,139.798749198,0
42,100-200 kg,180.836278269,288.589475204,107.753196935,-39,-39,-39,-39,-38,-14,5,3,4,3,156.407515605,-24.428762664,True,False,8.81162096044,2,LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",184.939475204,4.10319693502,0,0,0,2,2,0,67.5324378844,3.3453016791,50.3037901125,0,28.6029194459,0,38.5003277609,0.776327204434,163.233409272,-17.6028689967,15.015,0,0,2,4,1,61.5445570449,9.33318251864,45.5081379386,2.26240694465,20.9821334423,1.92920541433,35.1985808462,4.07807411909,227.962481134,47.1262028657,8.775,0,0,2,2,0.584415584416,93.5053559616,0,52.3621752057,0,31.0576415006,0,51.0373084666,0,261.84010151,81.0038232409,15.015,0,0,3,3,1,115.346293103,0,55.8490653263,0,33.5705668921,0,57.0741761878,0,288.589475204,107.753196935,15.015,0,0,3,3,1,126.644058845,0,62.2254628418,0,38.5696257562,0,61.1503277609,0
77,>200 kg,332.579156112,561.406415205,228.827259093,-39,-39,-39,-30,-18,-18,5,5,6,5,455.499334558,122.920178446,True,True,75.1324877481,4,EARLY_INVENTORY_BUILD_SIGNAL;RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",302.134475204,-30.4446809087,15.015,0,0,3,7,1,114.332437884,66.7780938413,81.5037901125,0,47.3229194459,0,58.9753277609,22.85103641,367.422817367,34.8436612547,15.015,0,0,3,6,1,143.444557045,37.6659746808,104.2454244,0,46.5092550761,0,73.2235808462,8.60278332461,448.53188923,115.952733117,15.015,0,0,4,7,1,213.961052848,0,114.699473092,0,30.8090548233,0,89.0623084666,0,504.27232254,171.693166428,15.015,0,5.2829583731,5,5,1,219.461418561,0,107.540036289,0,48.3508635086,0,128.920004182,0,561.406415205,228.827259093,15.015,0,7.37688753678,5,5,1,239.935511226,0,123.140036289,0,57.7108635086,0,140.620004182,0
91,100-200 kg,316.940731494,509.114224464,192.17349297,-31,-31,-31,-26,-14,-14,4,4,5,4,386.76593055,69.8251990563,True,True,73.9074878817,3,RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",241.507481134,-75.4332503594,8.775,0,0,2,4,0.584415584416,90.0053559616,79.2628077555,64.9621752057,0,37.6776415006,0,48.8623084666,18.5977699741,302.134475204,-14.8062562901,15.015,0,0,3,7,1,114.332437884,54.9357258327,81.5037901125,0,47.3229194459,0,58.9753277609,8.48475067983,388.994224464,72.0534929704,15.015,0,0.465470548409,4,6,1,187.26811648,0,104.008137939,0,28.9839827123,0.473489764041,68.7339873331,0,449.054224464,132.11349297,15.015,0,1.54554668825,4,3,1,162.896307195,6.37185652253,119.608137939,0,38.8498650942,0,127.699914237,0,509.114224464,192.17349297,15.015,0,12.6236463422,4,3,1,186.296307195,0,135.208137939,0,48.2098650942,0,139.399914237,0
107,100-200 kg,156.407515605,302.752143968,146.344628363,-23,-23,-23,-23,-23,-23,3,3,3,3,180.565756528,24.1582409231,True,True,43.6655497257,3,RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",,,,,,,,,,,,,,,,,241.507481134,85.0999655297,8.775,0,0,2,4,0.584415584416,90.0053559616,0,64.9621752057,0,37.6776415006,0,48.8623084666,0,188.084209615,31.6766940104,0,0,0,2,2,0,70.6771722959,0,50.3037901125,0,28.6029194459,0,38.5003277609,0.62254457604,246.851640659,90.4441250543,13.7224310439,0,5.21888439962,3,2,0.913914821439,133.303714276,0,26.6772481321,0,36.6703504898,0,50.2003277609,0,302.752143968,146.344628363,15.015,4.43900774522,1.54554668825,3,2,1,160.92795228,0,42.0624783901,0,37.6466157955,0,62.1150975029,0
116,>200 kg,58.1956878969,357.002441878,298.806753981,-31,-31,-31,-31,-31,-31,4,3,5,4,11.1833565999,-47.012331297,True,True,47.0929091133,4,EARLY_INVENTORY_BUILD_SIGNAL;RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",241.507481134,183.311793238,8.775,0,0,2,4,0.584415584416,90.0053559616,0,64.9621752057,0,37.6776415006,0,48.8623084666,0,182.014475204,123.818787307,0,0,0,2,6,0,67.5324378844,0,50.3037901125,0,28.6029194459,0,35.5753277609,0,251.186343625,192.990655728,15.015,28.9697577081,0,3,7,1,126.34616951,0,72.076283182,0,2.940310087,5.24232672392,49.8235808462,0,308.762607497,250.5669196,15.015,0,0.924428675828,4,7,1,148.815228413,0,68.7321915023,0,18.1417802309,0,73.0734073509,0,357.002441878,298.806753981,15.015,0,9.59259044156,4,7,1,171.488230496,0,73.2390238005,0,27.5017802309,0,84.7734073509,0
135,>200 kg,142.923283799,371.306343625,228.383059826,-23,-23,-23,-23,-23,-23,3,3,1,3,156.407515605,13.4842318057,True,True,18.9239362913,4,EARLY_INVENTORY_BUILD_SIGNAL;RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",,,,,,,,,,,,,,,,,241.507481134,98.5841973354,8.775,0,0,2,4,0.584415584416,90.0053559616,0,64.9621752057,0,37.6776415006,0,48.8623084666,5.68863150142,302.134475204,159.211191405,15.015,0,0,3,6,1,114.332437884,0,81.5037901125,0,47.3229194459,0,58.9753277609,0,324.402726707,181.479442908,13.7224310439,0,0,3,3,0.913914821439,142.226787175,0,90.2714919759,0,28.6860987628,0,63.2183487934,0,371.306343625,228.383059826,15.015,0,0,3,3,1,162.368493336,0,104.008137939,0,31.7061315037,0,73.2235808462,0
