group,near_max_site_count,path_hour_count,fraction
adequate_positive_target,0,1496,0.143846153846
adequate_positive_target,1,233,0.0224038461538
adequate_positive_target,2,506,0.0486538461538
adequate_positive_target,3,1380,0.132692307692
adequate_positive_target,4,6785,0.652403846154
shortfall,0,1799,0.23771141649
shortfall,1,190,0.0251057082452
shortfall,2,438,0.0578752642706
shortfall,3,999,0.132003171247
shortfall,4,4142,0.547304439746
pure_quantity,0,628,0.332627118644
pure_quantity,1,31,0.0164194915254
pure_quantity,2,97,0.0513771186441
pure_quantity,3,225,0.119173728814
pure_quantity,4,907,0.480402542373
pure_location,0,576,0.177339901478
pure_location,1,87,0.0267857142857
pure_location,2,174,0.0535714285714
pure_location,3,460,0.141625615764
pure_location,4,1951,0.600677339901
mixed,0,595,0.244654605263
mixed,1,72,0.0296052631579
mixed,2,167,0.0686677631579
mixed,3,314,0.129111842105
mixed,4,1284,0.527960526316
surplus_gt100,0,664,0.0798076923077
surplus_gt100,1,198,0.0237980769231
surplus_gt100,2,359,0.0431490384615
surplus_gt100,3,1142,0.137259615385
surplus_gt100,4,5957,0.715985576923
